date,strat,method,center,em,short_k,long_k,credit,exit_kind,exit_val,pnl,note
2026-03-09,eodic_p,vix252,6740.02,125.2,6615.0,6590.0,3.7,settle,0.0,366.74,
2026-03-09,eodic_p,vix365,6740.02,104.0,6635.0,6610.0,4.9,settle,0.0,486.74,
2026-03-09,eodic_p,straddle,6740.02,64.8,6675.0,6650.0,8.4,stop,13.4,-506.52,
2026-03-09,eodic_c,vix252,6740.02,125.2,6865.0,6890.0,0.05,settle,0.0,1.74,
2026-03-09,eodic_c,vix365,6740.02,104.0,6845.0,6870.0,0.15,settle,0.0,11.74,
2026-03-09,eodic_c,straddle,6740.02,64.8,6805.0,6830.0,0.75,settle,0.0,71.74,
2026-03-09,openic_p,vix252,6699.8,125.2,6575.0,6550.0,1.2,settle,0.0,116.74,
2026-03-09,openic_p,vix365,6699.8,104.0,6595.0,6570.0,1.9,settle,0.0,186.74,
2026-03-09,openic_p,straddle,6699.8,64.8,6635.0,6610.0,4.9,settle,0.0,486.74,
2026-03-09,openic_c,vix252,6699.8,125.2,6825.0,6850.0,0.1,settle,0.0,6.74,
2026-03-09,openic_c,vix365,6699.8,104.0,6805.0,6830.0,0.15,settle,0.0,11.74,
2026-03-09,openic_c,straddle,6699.8,64.8,6765.0,6790.0,0.8,stop,19.3,-1856.52,
