date,strat,method,center,em,short_k,long_k,credit,exit_kind,exit_val,pnl,note,book
2022-06-07,eodic_p,vix252,4121.43,65.1,4055.0,4030.0,4.4,settle,0.0,436.74,,ic
2022-06-07,eodic_p,vix365,4121.43,54.1,4065.0,4040.0,5.5,settle,0.0,546.74,,ic
2022-06-07,eodic_p,straddle,4121.43,38.5,4085.0,4060.0,9.0,settle,0.0,896.74,,ic
2022-06-07,eodic_c,vix252,4121.43,65.1,4185.0,4210.0,0.1,settle,0.0,6.74,,ic
2022-06-07,eodic_c,vix365,4121.43,54.1,4175.0,4200.0,0.25,settle,0.0,21.74,,ic
2022-06-07,eodic_c,straddle,4121.43,38.5,4160.0,4185.0,0.7,stop,4.3,-366.52,,ic
2022-06-07,openic_p,vix252,4096.47,65.1,4030.0,4005.0,0.6,settle,0.0,56.74,,ic
2022-06-07,openic_p,vix365,4096.47,54.1,4040.0,4015.0,0.95,settle,0.0,91.74,,ic
2022-06-07,openic_p,straddle,4096.47,38.5,4060.0,4035.0,2.2,settle,0.0,216.74,,ic
2022-06-07,openic_c,vix252,4096.47,65.1,4160.0,4185.0,0.7,stop,4.3,-366.52,,ic
2022-06-07,openic_c,vix365,4096.47,54.1,4150.0,4175.0,1.5,stop,6.45,-501.52,,ic
2022-06-07,openic_c,straddle,4096.47,38.5,4135.0,4160.0,3.35,stop,8.65,-536.52,,ic
2022-06-07,eodfly_p,,4121.43,,4120.0,4095.0,15.7,stop,14.4,123.48,,fly
2022-06-07,eodfly_c,,4121.43,,4120.0,4145.0,4.0,stop,15.6,-1166.52,,fly
2022-06-07,openfly_p,,4105.25,,4105.0,4080.0,8.3,stop,10.7,-246.52,,fly
2022-06-07,openfly_c,,4105.25,,4105.0,4130.0,9.9,stop,16.9,-706.52,,fly
