book,level,date,base,sim,delta,breach_t
combined,1500,2024-08-28,77,41,-37,14:08:00
combined,1500,2024-09-03,-1096,-1161,-65,13:04:00
combined,1500,2024-09-06,116,48,-68,11:00:00
combined,1500,2024-09-11,-3484,-1022,2462,10:26:00
combined,1500,2024-10-01,-289,-1236,-947,10:21:00
combined,1500,2024-10-30,-1613,-1649,-37,10:07:00
combined,1500,2024-11-15,-1121,-1146,-25,13:58:00
combined,1500,2024-11-21,-1219,-897,322,09:47:00
combined,1500,2024-12-13,-1498,-1599,-102,11:01:00
combined,1500,2024-12-18,-4506,-4462,43,14:57:00
combined,1500,2024-12-20,-2147,-1672,475,11:27:00
combined,1500,2024-12-27,-1431,-1521,-90,12:13:00
combined,1500,2025-01-02,-2232,-2367,-135,12:38:00
combined,1500,2025-01-06,-1219,-1332,-113,14:08:00
combined,1500,2025-01-07,-1707,-1282,425,12:13:00
combined,1500,2025-01-31,-1741,-1757,-17,15:45:00
combined,1500,2025-02-21,-1031,-1081,-50,13:07:00
combined,1500,2025-02-27,-2067,-1562,505,14:43:00
combined,1500,2025-03-03,-2647,-1637,1010,13:36:00
combined,1500,2025-03-04,-1417,-737,680,10:17:00
combined,1500,2025-03-06,-1022,-1457,-435,12:09:00
combined,1500,2025-03-07,-744,-1062,-318,14:25:00
combined,1500,2025-03-10,-1757,-1782,-25,15:03:00
combined,1500,2025-03-26,-3227,-3236,-8,13:39:00
combined,1500,2025-03-27,-1049,-1407,-358,10:36:00
combined,1500,2025-03-28,-1607,-1637,-30,12:23:00
combined,1500,2025-03-31,-1416,-1302,113,14:20:00
combined,1500,2025-04-02,-417,-827,-410,12:52:00
combined,1500,2025-04-03,-451,-476,-25,15:38:00
combined,1500,2025-04-04,-734,-927,-193,13:22:00
combined,1500,2025-04-07,-5802,-2196,3607,09:41:00
combined,1500,2025-04-08,-4234,-3562,672,13:30:00
combined,1500,2025-04-09,-4326,-4412,-87,13:32:00
combined,1500,2025-04-10,-1822,-2002,-180,12:26:00
combined,1500,2025-04-16,-1722,-1287,435,13:51:00
combined,1500,2025-04-21,-644,-707,-63,13:13:00
combined,1500,2025-04-22,-461,-1062,-601,12:10:00
combined,1500,2025-04-24,-589,-572,17,14:09:00
combined,1500,2025-05-21,-1719,-1986,-267,14:05:00
combined,1500,2025-06-20,-1664,-2102,-438,10:51:00
combined,1500,2025-07-30,-1397,-1662,-265,15:05:00
combined,1500,2025-07-31,-1549,-1566,-17,15:59:00
combined,1500,2025-08-07,-1131,-1226,-95,14:21:00
combined,1500,2025-08-20,-751,-869,-118,10:59:00
combined,1500,2025-08-22,-894,-1082,-188,10:11:00
combined,1500,2025-09-05,-529,-1402,-873,10:26:00
combined,1500,2025-10-10,-5294,-3614,1680,11:08:00
combined,1500,2025-10-14,-3267,-1591,1677,10:13:00
combined,1500,2025-10-15,-1886,-2566,-680,13:19:00
combined,1500,2025-11-07,-1617,-1697,-80,14:41:00
combined,1500,2025-11-13,-1286,-1111,175,11:47:00
combined,1500,2025-11-14,-806,-911,-105,11:26:00
combined,1500,2025-11-17,-1356,-1762,-407,15:10:00
combined,1500,2025-11-20,-3684,-3594,90,12:05:00
combined,1500,2025-11-25,-2483,-2559,-77,10:47:00
combined,1500,2025-12-12,-596,-796,-200,11:13:00
combined,1500,2025-12-17,706,198,-508,13:58:00
combined,1500,2026-01-02,-1588,-1894,-307,11:08:00
combined,1500,2026-01-14,-1061,-1266,-205,11:57:00
combined,1500,2026-01-21,-1149,-1967,-818,14:48:00
combined,1500,2026-01-29,-1326,-1296,30,10:40:00
combined,1500,2026-02-03,-2296,-2309,-13,12:41:00
combined,1500,2026-02-06,-19,-382,-363,11:17:00
combined,1500,2026-02-12,-2264,-2076,188,11:16:00
combined,1500,2026-02-13,-939,-982,-43,15:38:00
combined,1500,2026-02-17,-1144,-1322,-178,11:22:00
combined,1500,2026-02-23,487,-419,-907,11:15:00
combined,1500,2026-03-09,-2924,-3001,-77,15:30:00
combined,1500,2026-03-13,-1554,-1872,-318,11:06:00
combined,1500,2026-03-20,276,288,12,15:31:00
combined,1500,2026-03-31,-786,-936,-150,12:50:00
combined,1500,2026-04-17,-798,-1051,-253,10:43:00
combined,1500,2026-06-05,-2544,-1511,1033,11:17:00
combined,1500,2026-06-09,-4259,-2316,1943,10:20:00
combined,1500,2026-06-10,-104,-137,-33,15:22:00
combined,1500,2026-06-11,-2282,-1282,1000,15:18:00
combined,1500,2026-06-17,-3391,-2797,593,15:38:00
combined,1500,2026-06-25,239,-1102,-1341,10:02:00
combined,1500,2026-07-02,-1191,-1111,80,11:54:00
combined,1500,2026-07-29,-1351,-1367,-17,15:49:00
combined,1500,2026-07-31,-1482,-1497,-15,10:12:00
combined,1500,2026-08-03,-378,-526,-148,10:31:00
combined,1500,2026-08-04,-1349,-1397,-48,12:33:00
combined,1500,2026-09-03,-609,-744,-135,11:37:00
combined,2000,2022-05-18,-784,-887,-103,12:16:00
combined,2000,2022-05-20,-2217,-1737,480,12:18:00
combined,2000,2022-05-26,-249,-282,-33,15:45:00
combined,2000,2022-06-01,-659,-1097,-438,11:31:00
combined,2000,2022-06-24,-704,-737,-33,15:45:00
combined,2000,2022-06-28,-2547,-1952,595,11:49:00
combined,2000,2022-07-05,-2322,-2451,-128,15:34:00
combined,2000,2022-07-18,-922,-947,-25,15:40:00
combined,2000,2022-07-19,-1066,-1111,-45,14:12:00
combined,2000,2022-07-27,-859,-892,-33,15:34:00
combined,2000,2022-07-28,-1824,-1937,-113,11:32:00
combined,2000,2022-08-26,361,228,-133,11:06:00
combined,2000,2022-09-02,-2131,-2147,-17,15:46:00
combined,2000,2022-09-07,-489,-532,-43,14:44:00
combined,2000,2022-09-13,-921,-946,-25,15:40:00
combined,2000,2022-09-27,-1547,-2187,-640,12:10:00
combined,2000,2022-09-29,-299,-1297,-998,10:04:00
combined,2000,2022-10-13,-2271,-1876,395,11:24:00
combined,2000,2022-10-14,-1967,-1697,270,11:44:00
combined,2000,2022-10-21,-1649,-1302,347,09:55:00
combined,2000,2022-10-28,-934,-977,-43,14:43:00
combined,2000,2022-11-30,-3436,-2802,633,14:16:00
combined,2000,2022-12-06,-609,-662,-53,13:06:00
combined,2000,2022-12-15,-774,-837,-63,13:06:00
combined,2000,2022-12-22,-1394,-1447,-53,12:39:00
combined,2000,2022-12-29,-864,-1442,-578,10:19:00
combined,2000,2023-01-03,-2727,-2042,685,10:06:00
combined,2000,2023-01-18,-2636,-2652,-17,15:42:00
combined,2000,2023-01-23,-1089,-1222,-133,11:17:00
combined,2000,2023-02-01,-2186,-2202,-17,15:40:00
combined,2000,2023-02-07,-1491,-1507,-17,15:53:00
combined,2000,2023-02-14,-1304,-2112,-808,10:39:00
combined,2000,2023-03-07,-747,-782,-35,13:28:00
combined,2000,2023-03-09,-2981,-3042,-62,14:58:00
combined,2000,2023-03-10,-2301,-2572,-272,13:37:00
combined,2000,2023-03-13,-2417,-2882,-465,11:06:00
combined,2000,2023-03-16,-1602,-1137,465,11:51:00
combined,2000,2023-05-02,-2434,-2456,-22,10:55:00
combined,2000,2023-06-15,-1592,-1622,-30,13:50:00
combined,2000,2023-08-10,-3571,-2397,1173,10:47:00
combined,2000,2023-08-24,-2491,-2507,-17,15:50:00
combined,2000,2023-08-29,-1244,-1337,-93,11:41:00
combined,2000,2023-10-06,-1657,-1347,310,11:38:00
combined,2000,2023-10-13,-2311,-2737,-427,13:34:00
combined,2000,2023-12-13,-2281,-2307,-27,14:46:00
combined,2000,2023-12-20,-3209,-3399,-190,15:08:00
combined,2000,2024-04-04,-1931,-1944,-13,14:39:00
combined,2000,2024-04-09,-2041,-2801,-760,10:51:00
combined,2000,2024-04-15,-2511,-2081,430,13:29:00
combined,2000,2024-05-01,-1527,-2492,-965,14:58:00
combined,2000,2024-05-23,-927,-952,-25,14:57:00
combined,2000,2024-06-03,-1241,-1831,-590,12:24:00
combined,2000,2024-07-11,-1847,-1897,-50,12:02:00
combined,2000,2024-07-18,-2911,-2492,418,12:03:00
combined,2000,2024-07-30,-1862,-2347,-485,12:00:00
combined,2000,2024-08-01,-3596,-2977,618,11:11:00
combined,2000,2024-08-05,-1819,-2663,-843,09:44:00
combined,2000,2024-08-22,-1084,-1101,-17,15:45:00
combined,2000,2024-09-03,-1096,-1161,-65,13:04:00
combined,2000,2024-09-06,116,38,-78,12:59:00
combined,2000,2024-09-11,-3484,-1022,2462,10:26:00
combined,2000,2024-10-01,-289,-1236,-947,10:21:00
combined,2000,2024-11-15,-1121,-1146,-25,13:58:00
combined,2000,2024-12-18,-4506,-4462,43,14:57:00
combined,2000,2024-12-20,-2147,-1672,475,11:27:00
combined,2000,2024-12-27,-1431,-1521,-90,12:13:00
combined,2000,2025-01-02,-2232,-2607,-375,12:48:00
combined,2000,2025-01-07,-1707,-1732,-25,15:20:00
combined,2000,2025-02-21,-1031,-1081,-50,13:07:00
combined,2000,2025-02-27,-2067,-1562,505,14:43:00
combined,2000,2025-03-03,-2647,-1637,1010,13:36:00
combined,2000,2025-03-10,-1757,-1782,-25,15:03:00
combined,2000,2025-03-26,-3227,-3236,-8,13:39:00
combined,2000,2025-03-28,-1607,-1637,-30,12:23:00
combined,2000,2025-03-31,-1416,-1452,-37,14:40:00
combined,2000,2025-04-02,-417,-827,-410,12:52:00
combined,2000,2025-04-04,-734,-927,-193,13:22:00
combined,2000,2025-04-07,-5802,-2196,3607,09:41:00
combined,2000,2025-04-08,-4234,-3562,672,13:30:00
combined,2000,2025-04-09,-4326,-4412,-87,13:32:00
combined,2000,2025-04-10,-1822,-2002,-180,12:26:00
combined,2000,2025-04-16,-1722,-1747,-25,15:14:00
combined,2000,2025-04-21,-644,-707,-63,13:13:00
combined,2000,2025-04-24,-589,-632,-43,14:41:00
combined,2000,2025-05-21,-1719,-1986,-267,14:05:00
combined,2000,2025-08-07,-1131,-1226,-95,14:21:00
combined,2000,2025-08-22,-894,-1057,-163,10:41:00
combined,2000,2025-10-10,-5294,-3614,1680,11:08:00
combined,2000,2025-10-14,-3267,-2871,397,12:31:00
combined,2000,2025-10-15,-1886,-2566,-680,13:19:00
combined,2000,2025-11-13,-1286,-1111,175,11:47:00
combined,2000,2025-11-14,-806,-911,-105,11:26:00
combined,2000,2025-11-20,-3684,-3594,90,12:05:00
combined,2000,2025-11-25,-2483,-2559,-77,10:47:00
combined,2000,2025-12-12,-596,-796,-200,11:13:00
combined,2000,2026-01-29,-1326,-1296,30,10:40:00
combined,2000,2026-02-03,-2296,-2309,-13,12:41:00
combined,2000,2026-02-12,-2264,-2076,188,11:16:00
combined,2000,2026-03-09,-2924,-3001,-77,15:30:00
combined,2000,2026-03-31,-786,-816,-30,15:45:00
combined,2000,2026-06-05,-2544,-2571,-27,14:35:00
combined,2000,2026-06-09,-4259,-3366,893,10:55:00
combined,2000,2026-06-11,-2282,-2307,-25,15:39:00
combined,2000,2026-06-17,-3391,-2797,593,15:38:00
combined,2000,2026-07-02,-1191,-1326,-135,12:41:00
combined,2000,2026-08-04,-1349,-1397,-48,12:33:00
combined,3000,2022-05-20,-2217,-2272,-55,13:18:00
combined,3000,2022-06-28,-2547,-2572,-25,14:25:00
combined,3000,2022-10-13,-2271,-2416,-145,11:39:00
combined,3000,2022-10-14,-1967,-1997,-30,14:27:00
combined,3000,2022-10-21,-1649,-1717,-68,14:09:00
combined,3000,2022-11-30,-3436,-3462,-27,14:25:00
combined,3000,2023-01-03,-2727,-3222,-495,12:52:00
combined,3000,2023-02-01,-2186,-2202,-17,15:40:00
combined,3000,2023-03-09,-2981,-2997,-17,15:01:00
combined,3000,2023-03-13,-2417,-3132,-715,11:21:00
combined,3000,2023-03-16,-1602,-1647,-45,13:13:00
combined,3000,2023-08-10,-3571,-3452,118,13:05:00
combined,3000,2023-10-06,-1657,-1692,-35,14:19:00
combined,3000,2023-12-20,-3209,-3209,0,15:10:00
combined,3000,2024-04-15,-2511,-2081,430,13:29:00
combined,3000,2024-07-18,-2911,-2927,-17,15:21:00
combined,3000,2024-08-01,-3596,-3622,-27,12:41:00
combined,3000,2024-09-11,-3484,-3522,-38,14:35:00
combined,3000,2024-12-18,-4506,-4462,43,14:57:00
combined,3000,2024-12-20,-2147,-2202,-55,11:46:00
combined,3000,2025-02-27,-2067,-2092,-25,15:48:00
combined,3000,2025-03-03,-2647,-2672,-25,15:06:00
combined,3000,2025-03-26,-3227,-3236,-8,13:39:00
combined,3000,2025-04-07,-5802,-6156,-353,10:21:00
combined,3000,2025-04-08,-4234,-3662,572,14:44:00
combined,3000,2025-04-09,-4326,-4412,-87,13:32:00
combined,3000,2025-10-10,-5294,-5024,270,11:29:00
combined,3000,2025-10-14,-3267,-3281,-13,12:56:00
combined,3000,2025-11-20,-3684,-3684,0,12:06:00
combined,3000,2026-01-29,-1326,-1431,-105,10:43:00
combined,3000,2026-02-03,-2296,-2314,-18,12:47:00
combined,3000,2026-02-12,-2264,-2301,-37,12:21:00
combined,3000,2026-03-09,-2924,-3001,-77,15:30:00
combined,3000,2026-06-09,-4259,-4286,-27,11:33:00
combined,3000,2026-06-11,-2282,-2307,-25,15:39:00
combined,3000,2026-06-17,-3391,-3407,-17,15:39:00
