date,dow,event,gap_pct,prior_ret,prior_range,prior2_ret,vix_prior,vix_chg,em_pts,cr_eodic_c,cr_eodic_p,ic_pnl,fly_pnl,puts_band_pnl,next_ret
2022-05-17,Tue,,1.1,-0.39,1.56,2.39,27.47,-1.4,69.4,9.1,,15.0,-440.0,0.0,-4.04
2022-05-18,Wed,,-0.9,2.02,1.39,-0.39,26.1,-1.37,67.2,0.1,6.6,-1485.0,520.0,0.0,-0.58
2022-05-19,Thu,,-0.63,-4.04,3.57,2.02,30.96,4.86,76.5,0.55,,228.0,-1346.0,0.0,0.01
2022-05-20,Fri,,0.69,-0.58,1.78,-4.04,29.35,-1.61,72.1,4.8,0.95,-1560.0,-783.0,-2203.0,1.86
2022-05-23,Mon,,0.46,0.01,3.41,-0.58,29.43,0.08,72.3,4.5,0.9,-256.0,970.0,268.0,-0.81
