rule,book,removed,n_train,n_test,train_delta,test_delta,p_train,p_test,p_joint,p_bonf,top1_share_test,test_ex_april,test_ex_top1,n_april_skips,jaccard_vix25_test
skip_vix/5dma>1.10,ic,day,45,38,2647,2004,0.3818,0.3076,0.3689798450043182,1.0,1.622,-3387,-1246,4,0.143
skip_vix/5dma>1.10,fly,day,45,38,17257,27193,0.0272,0.0,5.010253290911296e-07,0.00019790500499099618,0.124,20458,23817,4,0.143
skip_vix/5dma>1.10,combined,day,45,38,16647,27128,0.1392,0.0028,0.00344936796817,1.0,0.199,13672,21739,4,0.143
skip_vix/5dma>1.20,ic,day,7,8,2420,5124,0.117,0.0136,0.01184372618057149,1.0,0.634,-267,1874,4,0.135
skip_vix/5dma>1.20,fly,day,7,8,23,10860,0.7736,0.0,1.1659862346675736e-05,0.004605645626936916,0.311,4125,7484,4,0.135
skip_vix/5dma>1.20,combined,day,7,8,1714,17065,0.4362,0.0004,0.0016843776520856502,0.6653291725738318,0.316,3609,11676,4,0.135
skip_vix/10dma>1.15,ic,day,40,38,1942,8872,0.4342,0.0242,0.05837679819363173,1.0,0.366,4808,5622,5,0.22
skip_vix/10dma>1.15,fly,day,40,38,10792,24029,0.222,0.0,3.623170637026465e-06,0.0014311524016254538,0.14,16028,20653,5,0.22
skip_vix/10dma>1.15,combined,day,40,38,10943,31069,0.3204,0.001,0.00289831928582353,1.0,0.173,17674,25680,5,0.22
skip_vix/10dma>1.25,ic,day,11,13,2083,8166,0.1976,0.0024,0.00410397670601906,1.0,0.398,2775,4916,4,0.175
skip_vix/10dma>1.25,fly,day,11,13,2078,11665,0.4986,0.0,7.734014786596287e-06,0.0030549358407055333,0.289,4930,8289,4,0.175
skip_vix/10dma>1.25,combined,day,11,13,3303,19984,0.3512,0.0002,0.0007419867448306909,0.2930847642081229,0.27,6528,14595,4,0.175
skip_event&vixchg>2,fly,day,6,6,622,2281,0.6112,0.2634,0.4550243794469424,1.0,0.662,2641,770,1,0.026
skip_event&vixchg>2,combined,day,6,6,5940,377,0.0412,0.5594,0.10994030839092683,1.0,2.069,-403,-403,1,0.026
skip_event&vix>25,ic,day,12,3,3767,953,0.0796,0.2014,0.08229264367483466,1.0,1.196,-1107,-187,2,0.088
skip_event&vix>25,fly,day,12,3,9851,1669,0.0006,0.2064,0.0012379690551435332,0.4889977767816956,0.95,1586,83,2,0.088
skip_event&vix>25,combined,day,12,3,13141,2560,0.0036,0.1392,0.004308962987061298,1.0,0.532,417,1197,2,0.088
skip_event&vix/5dma>1.10,fly,day,8,4,2944,2563,0.2222,0.1242,0.1266724220017075,1.0,0.59,2923,1052,1,0.027
skip_event&vix/5dma>1.10,combined,day,8,4,10185,1190,0.0058,0.3566,0.014852397140166344,1.0,0.655,410,410,1,0.027
skip_FOMC,ic,day,21,13,2080,2042,0.3052,0.2062,0.23698372767167086,1.0,1.32,2042,-653,0,0.0
skip_FOMC,fly,day,21,13,7661,2047,0.1128,0.536,0.23009929770441867,1.0,0.702,2047,611,0,0.0
skip_FOMC,combined,day,21,13,9497,4697,0.1296,0.2596,0.1477623175189149,1.0,1.321,4697,-1507,0,0.0
skip_CPI,fly,day,31,19,14748,2219,0.007,0.6272,0.028222961720017394,1.0,0.715,1776,633,1,0.039
skip_NFP,ic,day,30,18,5120,1656,0.1252,0.278,0.1516820037702653,1.0,1.189,516,-313,1,0.02
