date,open,high,low,close,gap_pct,oc_pct,cc_pct,range_pct,lo_vs_open_pct,hi_vs_open_pct,vix_close
2026-06-03,7605.31,7605.35,7551.22,7553.68,,-0.68,,0.72,-0.71,0.0,16.06
2026-06-04,7516.54,7598.19,7516.54,7584.31,-0.49,0.9,0.41,1.08,0.0,1.09,15.4
2026-06-05,7537.36,7541.81,7368.63,7383.74,-0.62,-2.04,-2.64,2.35,-2.24,0.06,21.51
2026-06-08,7440.57,7466.81,7395.13,7405.73,0.77,-0.47,0.3,0.97,-0.61,0.35,18.92
2026-06-09,7438.66,7483.15,7237.85,7386.65,0.44,-0.7,-0.26,3.32,-2.7,0.6,19.87
2026-06-10,7350.54,7396.56,7265.93,7266.99,-0.49,-1.14,-1.62,1.8,-1.15,0.63,22.22
2026-06-11,7287.67,7412.68,7257.33,7394.3,0.28,1.46,1.75,2.1,-0.42,1.72,19.44
2026-06-12,7410.85,7456.4,7363.01,7431.46,0.22,0.28,0.5,1.26,-0.65,0.61,17.68
