date,dow,event,gap_pct,prior_ret,prior_range,prior2_ret,vix_prior,vix_chg,em_pts,cr_eodic_c,cr_eodic_p,ic_pnl,fly_pnl,puts_band_pnl,next_ret
2023-12-15,Fri,,-0.11,0.26,0.94,1.37,12.48,0.29,37.1,0.4,1.0,212.0,-465.0,97.0,0.45
2023-12-18,Mon,,0.14,-0.01,0.44,0.26,12.28,-0.2,36.5,0.7,0.15,122.0,-113.0,0.0,0.59
2023-12-19,Tue,,0.07,0.45,0.51,-0.01,12.56,0.28,37.5,0.15,0.15,42.0,645.0,0.0,-1.47
2023-12-20,Wed,,-0.08,0.59,0.52,0.45,12.53,-0.03,37.6,0.05,0.7,-2315.0,-51.0,-1377.0,1.03
2023-12-21,Thu,,0.55,-1.47,1.71,0.59,13.67,1.14,40.5,7.1,0.05,344.0,-596.0,57.0,0.17
2023-12-22,Fri,,0.15,1.03,0.85,-1.47,13.65,-0.02,40.8,1.25,0.3,292.0,-83.0,0.0,0.42
