book,threshold,n_killer_days_baseline,days_fired_mid,train_delta_opt,test_delta_opt,train_delta_mid,test_delta_mid,train_delta_pess,test_delta_pess,killer_days_avoided,winning_days_lost,verdict_mid
ic,-1000,60,115,38987.0,30702.0,7398.0,10547.0,-16435.0,-6380.0,40,0,ROBUST
ic,-1500,60,67,10762.0,15219.0,-8145.0,2146.0,-11394.0,-2596.0,14,0,DEAD
ic,-2000,60,27,2370.0,5355.0,-5639.0,372.0,-5689.0,-1488.0,4,0,DEAD
ic,-3000,60,3,0.0,274.0,-108.0,-777.0,-108.0,-777.0,0,0,DEAD
fly,-1000,33,243,29304.0,25561.0,-29639.0,-18367.0,-54950.0,-47627.0,30,7,DEAD
fly,-1500,33,63,6312.0,6569.0,-10197.0,-9612.0,-14686.0,-16276.0,18,0,DEAD
fly,-2000,33,14,1610.0,2471.0,-663.0,-1575.0,-1867.0,-3614.0,7,0,DEAD
fly,-3000,33,2,0.0,376.0,0.0,-730.0,0.0,-1087.0,1,0,DEAD
puts_band,-1000,12,24,6799.0,7685.0,3183.0,3966.0,-47.0,0.0,7,0,ROBUST
puts_band,-1500,12,11,2540.0,3062.0,0.0,1317.0,0.0,0.0,1,0,DEAD
puts_band,-2000,12,5,714.0,946.0,0.0,0.0,0.0,0.0,0,0,DEAD
puts_band,-3000,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,DEAD
combined,-1000,74,424,69128.0,53773.0,-95009.0,-44620.0,-223759.0,-136069.0,70,53,DEAD
combined,-1500,74,188,34012.0,33502.0,-47522.0,-20194.0,-110445.0,-65771.0,53,6,DEAD
combined,-2000,74,103,14777.0,22754.0,-31117.0,-11789.0,-63786.0,-37688.0,35,1,DEAD
combined,-3000,74,33,1629.0,7802.0,-12509.0,-2934.0,-18344.0,-11884.0,7,0,DEAD
