policy,trades,win%,avg_t,$/tr,$/tr@slip1t,net_$,PF,t_stat
pure_d1,3031,31.6,1.952,20.4,7.9,61838,1.22,3.79
pure_d3,2934,31.6,1.925,20.06,7.56,58870,1.201,3.53
pure_d2,2987,31.9,1.911,19.89,7.39,59420,1.208,3.64
cap8_pure_d2,3121,23.7,1.738,17.72,5.22,55309,1.247,3.84
be12_d1,3085,28.3,1.559,15.49,2.99,47772,1.186,3.22
cap10_be5_d2,3291,13.5,1.485,14.57,2.07,47936,1.334,3.93
be8_d3,3156,19.9,1.427,13.84,1.34,43663,1.208,3.16
be5_d3,3257,14.2,1.42,13.76,1.26,44803,1.285,3.58
be8_d2,3179,20.6,1.387,13.34,0.84,42409,1.201,3.12
be5_d2,3274,14.7,1.387,13.34,0.84,43660,1.277,3.53
be5_d1,3287,14.9,1.372,13.15,0.65,43233,1.274,3.51
be8_d1,3193,21.1,1.368,13.1,0.6,41840,1.198,3.09
R2.0,3097,35.2,1.366,13.08,0.58,40499,1.103,3.09
be3_d1,3393,9.4,1.127,10.09,-2.41,34240,1.288,3.18
R1.0,3431,51.2,0.857,6.71,-5.79,23013,1.071,2.99
R3.0,2727,26.0,0.765,5.56,-6.94,15167,1.038,1.32
R1.5,3270,40.4,0.612,3.65,-8.85,11920,1.031,1.67
cap10_R1.5,3486,41.2,0.275,-0.56,-13.06,-1969,0.992,1.34
