method,total,per_day,win,stop,avg_cr,worst,maxdd
vix252,-23094.319999999978,-27.07423212192259,81.00820633059789,10.844079718640094,1.165254982415006,-3249.56,-31432.56000000012
vix365,-26102.079999999984,-30.600328253223882,81.12543962485346,16.00234466588511,1.72123388042204,-4058.0400000000004,-36292.1800000001
straddle,-7131.339999999971,-8.360304806565022,68.58147713950761,32.15123094958968,3.496175263774912,-3247.8199999999997,-29389.619999999915
