label,total,win,stop,maxdd
fly book (all 4),-200835.59999999995,33.101368591974015,76.52516817443748,-203002.08000000136
eodfly_p,-72406.37999999998,42.89693593314763,68.33797585886722,-74234.89999999935
eodfly_c,-85979.56,36.83720930232558,77.30232558139535,-87630.01999999976
openfly_p,-11385.93999999999,27.870370370370374,77.68518518518519,-22703.34000000029
openfly_c,-31063.719999999983,24.837812789620017,82.76181649675625,-34651.36000000018
