rule,kept_total,train_delta,test_delta,robust
puts_only,-2178.399999999985,16973.41999999999,5796.619999999994,YES
credit<=2.5,-14533.27999999998,5624.519999999997,4790.639999999999,YES
drop_credit<0.5,-7914.900000000001,17208.619999999995,-175.08000000000266,no
calls_only_if_gap_dn,-4775.859999999981,13841.419999999998,6331.159999999995,YES
puts+credit<=2.5,1217.820000000007,22761.73999999999,3404.5199999999954,YES
puts+credit0.5-2.5,14934.100000000006,33512.19999999999,6370.339999999993,YES
no_day_after_-1%,-21561.819999999978,-409.5,3796.119999999998,no
puts+no_big_gap,3789.020000000006,21301.09999999999,7436.359999999996,YES
puts+vix<25,-2172.519999999991,16036.759999999993,6739.159999999996,YES
