vix_b,side,n,total,avg,win,slice,gap_b,pr_b,dow,cr_b
<15,c,537,-390.0199999999992,-0.7262942271880805,74.487895716946,VIX regime,,,,
<15,p,538,-3163.0999999999995,-5.879368029739776,88.10408921933085,VIX regime,,,,
15-20,c,983,-4029.2999999999993,-4.098982706002034,70.6002034587996,VIX regime,,,,
15-20,p,986,-9917.399999999996,-10.058215010141984,88.5395537525355,VIX regime,,,,
20-25,c,382,-8443.019999999999,-22.102146596858635,79.05759162303664,VIX regime,,,,
20-25,p,384,10907.980000000001,28.40619791666667,86.19791666666666,VIX regime,,,,
>25,c,249,-9907.699999999999,-39.78995983935742,78.3132530120482,VIX regime,,,,
>25,p,247,-5.87999999999883,-0.023805668016189597,80.97165991902834,VIX regime,,,,
,c,242,-538.2599999999999,-2.2242148760330576,70.24793388429752,overnight gap,gap<-0.5,,,
,p,242,-4143.179999999998,-17.120578512396683,61.15702479338842,overnight gap,gap<-0.5,,,
,c,310,-2059.2,-6.642580645161289,76.45161290322581,overnight gap,-0.5..-0.2,,,
,p,310,14747.080000000002,47.57122580645162,88.70967741935483,overnight gap,-0.5..-0.2,,,
,c,871,-6347.379999999999,-7.287462686567164,75.77497129735936,overnight gap,flat,,,
,p,875,2275.160000000001,2.6001828571428587,91.31428571428572,overnight gap,flat,,,
,c,480,-11671.179999999998,-24.31495833333333,74.79166666666667,overnight gap,+0.2..0.5,,,
,p,480,-7764.5599999999995,-16.176166666666667,91.45833333333333,overnight gap,+0.2..0.5,,,
,c,248,-2154.019999999998,-8.685564516129025,66.53225806451613,overnight gap,gap>+0.5,,,
,p,248,-7292.9,-29.406854838709677,87.5,overnight gap,gap>+0.5,,,
,c,260,-10315.48,-39.67492307692307,80.0,prior-day return,,<-1%,,
,p,258,6928.860000000001,26.85604651162791,87.59689922480621,prior-day return,,<-1%,,
,c,732,-13055.859999999999,-17.83587431693989,73.49726775956285,prior-day return,,-1..0,,
,p,731,-8225.459999999997,-11.252339261285906,85.22571819425444,prior-day return,,-1..0,,
,c,854,-5667.159999999999,-6.636018735362996,68.61826697892272,prior-day return,,0..1,,
,p,858,-3274.139999999998,-3.8160139860139837,88.57808857808858,prior-day return,,0..1,,
,c,305,6268.460000000001,20.552327868852462,84.91803278688525,prior-day return,,>1%,,
,p,308,2392.340000000001,7.767337662337666,87.33766233766234,prior-day return,,>1%,,
,c,431,-15401.619999999999,-35.73461716937355,75.63805104408353,weekday,,,Fri,
,p,434,1147.3800000000015,2.6437327188940127,86.63594470046083,weekday,,,Fri,
,c,399,9.420000000000755,0.02360902255639287,74.93734335839599,weekday,,,Mon,
,p,402,10877.980000000001,27.059651741293536,92.53731343283582,weekday,,,Mon,
,c,431,-2163.2399999999993,-5.019118329466356,74.70997679814386,weekday,,,Thu,
,p,429,-8683.139999999998,-20.240419580419577,84.84848484848484,weekday,,,Thu,
,c,448,-3884.2799999999993,-8.670267857142855,69.41964285714286,weekday,,,Tue,
,p,446,-2941.2199999999993,-6.594663677130043,86.99551569506725,weekday,,,Tue,
,c,442,-1330.3199999999988,-3.0097737556561057,75.3393665158371,weekday,,,Wed,
,p,444,-2579.3999999999987,-5.809459459459457,85.13513513513513,weekday,,,Wed,
,c,1381,-3111.7799999999997,-2.2532802317161473,72.84576393917452,entry credit,,,,<0.5
,p,1065,-10697.439999999999,-10.044544600938966,93.42723004694837,entry credit,,,,<0.5
,c,269,-2850.44,-10.5964312267658,89.21933085501858,entry credit,,,,0.5-1
,p,396,-6959.280000000001,-17.573939393939394,91.41414141414141,entry credit,,,,0.5-1
,c,133,-3572.0399999999995,-26.857443609022553,82.70676691729322,entry credit,,,,1-1.5
,p,188,5736.96,30.515744680851064,90.42553191489363,entry credit,,,,1-1.5
,c,150,-6216.839999999998,-41.44559999999999,76.0,entry credit,,,,1.5-2.5
,p,193,13137.580000000002,68.07036269430053,87.56476683937824,entry credit,,,,1.5-2.5
,c,218,-7018.939999999998,-32.19697247706421,55.5045871559633,entry credit,,,,>2.5
,p,313,-3396.2199999999957,-10.8505431309904,58.146964856230035,entry credit,,,,>2.5
