date,strat,short_k_live,long_k_live,credit_live,pnl_live,close_reason,short_k_bt,long_k_bt,credit_bt,exit_kind,pnl_bt,d_pnl,d_strike
2026-08-06,eodfly_c,7725.0,7750.0,11.5,-131.30000000000007,level ACCEPTED: spot 7736 held above the 7725 short strike for 10min (>10) — the wall we sold did not hold,7725.0,7750.0,10.4,stop,-336.52,205.0,0.0
2026-08-06,eodfly_p,7725.0,7700.0,7.1,-471.3000000000001,level ACCEPTED: spot 7714 held below the 7725 short strike for 10min (>10) — the wall we sold did not hold,7725.0,7700.0,8.4,stop,-286.52,-185.0,0.0
2026-08-06,eodic_c,7800.0,7825.0,0.4,37.4,expired,7800.0,7825.0,0.45,settle,41.74,-4.0,0.0
2026-08-06,eodic_p,7645.0,7620.0,0.65,62.4,expired,7645.0,7620.0,0.75,settle,71.74,-9.0,0.0
2026-08-06,openfly_c,7735.0,7760.0,9.2,-181.30000000000007,level ACCEPTED: spot 7740 held above the 7735 short strike for 10min (>10) — the wall we sold did not hold,7735.0,7760.0,9.6,stop,-26.52,-155.0,0.0
2026-08-06,openfly_p,7735.0,7710.0,8.4,-41.30000000000003,level ACCEPTED: spot 7732 held below the 7735 short strike for 10min (>10) — the wall we sold did not hold,7735.0,7710.0,8.0,stop,-46.52,5.0,0.0
2026-08-06,openic_c,7815.0,7840.0,0.15,12.4,expired,7790.0,7815.0,0.7,settle,66.74,-54.0,25.0
2026-08-06,openic_p,7660.0,7635.0,0.55,52.400000000000006,expired,7635.0,7610.0,0.2,settle,16.74,36.0,25.0
2026-08-07,eodfly_c,7710.0,7735.0,15.3,-211.29999999999978,level ACCEPTED: spot 7737 held above the 7710 short strike for 10min (>10) — the wall we sold did not hold,7710.0,7735.0,15.1,stop,-206.52,-5.0,0.0
2026-08-07,eodfly_p,7710.0,7685.0,5.0,497.4,expired,7710.0,7685.0,5.1,settle,506.74,-9.0,0.0
2026-08-07,eodic_c,7785.0,7810.0,1.6,157.4,expired,7785.0,7810.0,1.65,settle,161.74,-4.0,0.0
2026-08-07,eodic_p,7635.0,7610.0,0.45,42.4,expired,7635.0,7610.0,0.45,settle,41.74,1.0,0.0
2026-08-07,openfly_c,7730.0,7755.0,12.2,-31.30000000000007,level ACCEPTED: spot 7737 held above the 7730 short strike for 10min (>10) — the wall we sold did not hold,7730.0,7755.0,9.4,stop,-656.52,625.0,0.0
2026-08-07,openfly_p,7730.0,7705.0,7.9,787.4,expired,7730.0,7705.0,8.7,settle,866.74,-79.0,0.0
2026-08-07,openic_c,7805.0,7830.0,0.6,57.4,expired,7810.0,7835.0,0.15,settle,11.74,46.0,5.0
2026-08-07,openic_p,7655.0,7630.0,0.7,67.4,expired,7660.0,7635.0,0.9,settle,86.74,-19.0,5.0
2026-08-10,eodfly_c,7760.0,7785.0,7.9,-201.3,level ACCEPTED: spot 7765 held above the 7760 short strike for 10min (>10) — the wall we sold did not hold,7760.0,7785.0,7.9,stop,-206.52,5.0,0.0
2026-08-10,eodfly_p,7760.0,7735.0,7.7,118.70000000000002,level ACCEPTED: spot 7758 held below the 7760 short strike for 10min (>10) — the wall we sold did not hold,7760.0,7735.0,9.1,stop,-196.52,315.0,0.0
2026-08-10,eodic_c,,,,,,7830.0,7855.0,0.2,settle,16.74,,
2026-08-10,eodic_p,7680.0,7655.0,0.1,7.4,expired,7685.0,7660.0,0.45,settle,41.74,-34.0,5.0
2026-08-10,openfly_c,7760.0,7785.0,7.9,-176.3,level ACCEPTED: spot 7765 held above the 7760 short strike for 10min (>10) — the wall we sold did not hold,7760.0,7785.0,7.8,stop,-216.52,40.0,0.0
2026-08-10,openfly_p,7760.0,7735.0,7.1,73.7,level ACCEPTED: spot 7758 held below the 7760 short strike for 11min (>10) — the wall we sold did not hold,7760.0,7735.0,6.9,stop,38.48,35.0,0.0
2026-08-10,openic_c,,,,,,7825.0,7850.0,0.1,settle,6.74,,
2026-08-10,openic_p,7680.0,7655.0,0.1,7.4,expired,7680.0,7655.0,0.15,settle,11.74,-4.0,0.0
2026-08-11,eodfly_c,7755.0,7780.0,10.4,58.69999999999997,level ACCEPTED: spot 7760 held above the 7755 short strike for 10min (>10) — the wall we sold did not hold,7755.0,7780.0,11.3,stop,53.48,5.0,0.0
2026-08-11,eodfly_p,7755.0,7730.0,6.6,-231.30000000000007,level ACCEPTED: spot 7749 held below the 7755 short strike for 10min (>10) — the wall we sold did not hold,7755.0,7730.0,5.9,stop,-216.52,-15.0,0.0
2026-08-11,eodic_c,7830.0,7855.0,0.15,12.4,expired,7830.0,7855.0,0.15,settle,11.74,1.0,0.0
2026-08-11,eodic_p,7675.0,7650.0,0.15,12.4,expired,7680.0,7655.0,0.2,settle,16.74,-4.0,5.0
2026-08-11,openfly_c,7765.0,7790.0,6.85,682.4,expired,7760.0,7785.0,8.6,settle,856.74,-174.0,5.0
2026-08-11,openfly_p,7765.0,7740.0,10.1,-41.30000000000003,level ACCEPTED: spot 7756 held below the 7765 short strike for 10min (>10) — the wall we sold did not hold,7760.0,7735.0,6.35,stop,-71.52,30.0,5.0
2026-08-11,openic_c,,,,,,7845.0,7870.0,0.0,settle,-3.26,,
2026-08-11,openic_p,7685.0,7660.0,0.35,32.4,expired,7690.0,7665.0,0.15,settle,11.74,21.0,5.0
2026-08-12,eodfly_c,7730.0,7755.0,15.8,-21.29999999999993,level ACCEPTED: spot 7752 held above the 7730 short strike for 10min (>10) — the wall we sold did not hold,7730.0,7755.0,17.4,stop,203.48,-225.0,0.0
2026-08-12,eodfly_p,7730.0,7705.0,4.15,412.40000000000003,expired,7730.0,7705.0,3.2,settle,316.74,96.0,0.0
2026-08-12,eodic_c,7805.0,7830.0,1.8,177.4,expired,7805.0,7830.0,1.65,settle,161.74,16.0,0.0
2026-08-12,eodic_p,7655.0,7630.0,0.15,12.4,expired,7655.0,7630.0,0.15,settle,11.74,1.0,0.0
2026-08-12,openfly_c,7740.0,7765.0,11.0,-61.29999999999996,level ACCEPTED: spot 7748 held above the 7740 short strike for 10min (>10) — the wall we sold did not hold,7740.0,7765.0,9.8,stop,-146.52,85.0,0.0
2026-08-12,openfly_p,7740.0,7715.0,6.5,628.7,time stop 14:45 CT — flat before the 0DTE gamma cliff,7740.0,7715.0,7.6,settle,756.74,-128.0,0.0
2026-08-12,openic_c,7815.0,7840.0,0.15,12.4,expired,7840.0,7865.0,0.0,settle,-3.26,16.0,25.0
2026-08-12,openic_p,7665.0,7640.0,0.3,27.4,expired,7690.0,7665.0,1.1,settle,106.74,-79.0,25.0
2026-08-13,eodfly_c,7750.0,7775.0,15.0,-411.3000000000001,level ACCEPTED: spot 7781 held above the 7750 short strike for 10min (>10) — the wall we sold did not hold,7750.0,7775.0,14.4,stop,-586.52,175.0,0.0
2026-08-13,eodfly_p,7750.0,7725.0,3.45,342.4,expired,7750.0,7725.0,3.9,settle,386.74,-44.0,0.0
2026-08-13,eodic_c,7820.0,7845.0,0.35,32.4,expired,7820.0,7845.0,0.3,settle,26.74,6.0,0.0
2026-08-13,eodic_p,7675.0,7650.0,0.09999999999999998,7.399999999999999,expired,7675.0,7650.0,0.1,settle,6.74,1.0,0.0
2026-08-13,openfly_c,7765.0,7790.0,10.5,-321.29999999999995,level ACCEPTED: spot 7781 held above the 7765 short strike for 10min (>10) — the wall we sold did not hold,7805.0,7830.0,7.9,stop,-266.52,-55.0,40.0
2026-08-13,openfly_p,7765.0,7740.0,6.2,617.4,expired,7805.0,7780.0,6.9,stop,-126.52,744.0,40.0
2026-08-13,openic_c,,,,,,7835.0,7860.0,1.3,settle,126.74,,
2026-08-13,openic_p,7695.0,7670.0,0.2,17.4,expired,7690.0,7665.0,0.05,settle,1.74,16.0,5.0
2026-08-14,eodfly_c,7800.0,7825.0,9.3,-11.299999999999965,level ACCEPTED: spot 7803 held above the 7800 short strike for 10min (>10) — the wall we sold did not hold,7800.0,7825.0,9.2,stop,13.48,-25.0,0.0
2026-08-14,eodfly_p,7800.0,7775.0,6.7,-251.29999999999993,level ACCEPTED: spot 7794 held below the 7800 short strike for 10min (>10) — the wall we sold did not hold,7800.0,7775.0,7.1,stop,-236.52,-15.0,0.0
2026-08-14,eodic_c,7870.0,7895.0,0.15,12.4,expired,7870.0,7895.0,0.1,settle,6.74,6.0,0.0
2026-08-14,eodic_p,7725.0,7700.0,0.2,17.4,expired,7725.0,7700.0,0.2,settle,16.74,1.0,0.0
2026-08-14,openfly_c,7810.0,7835.0,7.15,712.4,expired,7810.0,7835.0,6.5,settle,646.74,66.0,0.0
2026-08-14,openfly_p,7810.0,7785.0,7.05,-226.3000000000001,level ACCEPTED: spot 7804 held below the 7810 short strike for 10min (>10) — the wall we sold did not hold,7810.0,7785.0,7.55,stop,-121.52,-105.0,0.0
2026-08-14,openic_c,,,,,,7880.0,7905.0,0.0,settle,-3.26,,
2026-08-14,openic_p,7735.0,7710.0,0.1,7.4,expired,7735.0,7710.0,0.1,settle,6.74,1.0,0.0
