date,open,high,low,close
2022-05-02,4130.61,4169.81,4062.51,4155.38
2022-05-03,4159.78,4200.1,4147.08,4175.48
2022-05-04,4181.18,4307.66,4148.91,4300.17
2022-05-05,4270.43,4270.43,4106.01,4146.87
2022-05-06,4128.17,4157.69,4067.91,4123.34
2022-05-09,4081.27,4081.27,3975.48,3991.24
2022-05-10,4035.18,4068.82,3958.17,4001.05
2022-05-11,3990.08,4049.09,3928.82,3935.18
2022-05-12,3903.95,3964.8,3858.87,3930.08
2022-05-13,3963.9,4038.88,3963.9,4023.89
2022-05-16,4013.02,4046.46,3983.99,4008.01
2022-05-17,4052.0,4090.72,4033.93,4088.85
2022-05-18,4051.98,4051.98,3911.91,3923.68
2022-05-19,3899.0,3945.96,3876.58,3900.79
2022-05-20,3927.76,3943.42,3810.32,3901.36
2022-05-23,3919.42,3981.88,3909.04,3973.75
2022-05-24,3942.94,3955.68,3875.13,3941.48
2022-05-25,3929.59,3999.33,3925.03,3978.73
2022-05-26,3984.6,4075.14,3984.6,4057.84
2022-05-27,4077.43,4158.49,4077.43,4158.24
2022-05-31,4151.09,4168.34,4104.88,4132.15
2022-06-01,4149.78,4166.54,4073.85,4101.23
2022-06-02,4095.41,4177.51,4074.37,4176.82
2022-06-03,4137.57,4142.67,4098.67,4108.54
2022-06-06,4134.72,4168.78,4109.18,4121.43
2022-06-07,4096.47,4164.86,4080.19,4160.68
2022-06-08,4147.12,4160.14,4107.2,4115.77
2022-06-09,4101.65,4119.1,4017.17,4017.82
2022-06-10,3974.39,3974.39,3900.16,3900.86
2022-06-13,3838.15,3838.15,3734.3,3749.63
2022-06-14,3763.52,3778.18,3705.68,3735.48
2022-06-15,3764.05,3837.56,3722.3,3789.99
2022-06-16,3728.18,3728.18,3639.77,3666.77
2022-06-17,3665.9,3707.71,3636.87,3674.84
2022-06-21,3715.31,3779.65,3715.31,3764.79
2022-06-22,3733.89,3801.79,3717.69,3759.89
2022-06-23,3774.71,3802.58,3743.52,3795.73
2022-06-24,3821.75,3913.65,3821.75,3911.74
2022-06-27,3920.76,3927.72,3889.66,3900.11
2022-06-28,3913.0,3945.86,3820.14,3821.55
2022-06-29,3825.09,3836.5,3799.02,3818.83
2022-06-30,3785.99,3818.99,3738.67,3785.38
2022-07-01,3781.0,3829.82,3752.1,3825.33
2022-07-05,3792.61,3832.19,3742.06,3831.39
2022-07-06,3831.98,3870.91,3809.37,3845.08
2022-07-07,3858.85,3910.63,3858.85,3902.62
2022-07-08,3888.26,3918.5,3869.34,3899.38
2022-07-11,3880.94,3880.94,3847.22,3854.43
2022-07-12,3851.95,3873.41,3802.36,3818.8
2022-07-13,3779.67,3829.44,3759.07,3801.78
2022-07-14,3763.99,3796.41,3721.56,3790.38
2022-07-15,3818.0,3863.62,3817.18,3863.16
2022-07-18,3883.79,3902.44,3818.63,3830.85
2022-07-19,3860.73,3939.81,3860.73,3936.69
2022-07-20,3935.32,3974.13,3922.03,3959.9
2022-07-21,3955.47,3999.29,3927.64,3998.95
2022-07-22,3998.43,4012.44,3938.86,3961.63
2022-07-25,3965.72,3975.3,3943.46,3966.84
2022-07-26,3953.22,3953.22,3910.74,3921.05
2022-07-27,3951.43,4039.56,3951.43,4023.61
2022-07-28,4026.13,4078.95,3992.97,4072.43
2022-07-29,4087.33,4140.15,4079.22,4130.29
2022-08-01,4112.38,4144.95,4096.02,4118.63
2022-08-02,4104.21,4140.47,4079.81,4091.19
2022-08-03,4107.96,4167.66,4107.96,4155.17
