slice,total,n,win_pct,exp_per_trade,pf,max_dd,max_collateral,acct_heuristic
AUG 8/6-8/31 ic,825,72,80.6,11.5,1.48,-1658,9985,13300.0
AUG 8/6-8/31 ic ex-artifact,2492,70,82.9,35.6,51.73,0,9960,10000.0
AUG 8/6-8/31 fly,959,70,45.7,13.7,1.1,-1734,7150,10600.0
AUG 8/6-8/31 combined,1785,142,63.4,12.6,1.16,-2029,17095,21200.0
AUG 8/6-8/31 combined ex-artifact,3451,140,64.3,24.7,1.35,-1310,17095,19700.0
LIVE-WIN 8/6-9/4 ic,630,88,80.7,7.2,1.24,-1658,9985,13300.0
LIVE-WIN 8/6-9/4 ic ex-artifact,2296,86,82.6,26.7,3.44,-861,9960,11700.0
LIVE-WIN 8/6-9/4 fly,2668,86,46.5,31.0,1.22,-2232,7150,11600.0
LIVE-WIN 8/6-9/4 combined,3298,174,63.8,19.0,1.23,-2030,17095,21200.0
LIVE-WIN 8/6-9/4 combined ex-artifact,4964,172,64.5,28.9,1.39,-1311,17095,19700.0
4.3yr ic,-24948,4306,80.6,-5.8,0.92,-32646,9995,75300.0
4.3yr fly,-200836,4311,33.1,-46.6,0.75,-203002,8185,414200.0
4.3yr combined,-225784,8617,56.8,-26.2,0.8,-229024,18180,476200.0
