strat,short_k,long_k,entry_et,credit,exit_kind,exit_val,pnl,note,date,policy,wait_day,k_live,cr_live,pnl_live,k_match,d_cr
eodfly_c,7725.0,7750.0,09:31:00,10.4,stop,13.7,-336.52,,2026-08-06,eod,,7725.0,11.5,-131.30000000000007,True,-1.1
eodfly_p,7725.0,7700.0,09:31:00,8.4,stop,11.2,-286.52,,2026-08-06,eod,,7725.0,7.1,-471.3000000000001,True,1.3
eodic_c,7800.0,7825.0,09:31:00,0.45,settle,0.0,41.74,,2026-08-06,eod,,7800.0,0.4,37.4,True,0.05
eodic_p,7645.0,7620.0,09:31:00,0.75,settle,0.0,71.74,,2026-08-06,eod,,7645.0,0.65,62.4,True,0.1
openfly_c,7735.0,7760.0,10:08:00,9.9,stop,11.0,-116.52,,2026-08-06,deskwait,True,7735.0,9.2,-181.30000000000007,True,0.7
openfly_p,7735.0,7710.0,10:08:00,7.6,stop,8.4,-86.52,,2026-08-06,deskwait,True,7735.0,8.4,-41.30000000000003,True,-0.8
openic_c,7815.0,7840.0,10:08:00,0.2,settle,0.0,16.74,,2026-08-06,deskwait,True,7815.0,0.15,12.4,True,0.05
openic_p,7660.0,7635.0,10:08:00,0.5,settle,0.0,46.74,,2026-08-06,deskwait,True,7660.0,0.55,52.400000000000006,True,-0.05
eodfly_c,7710.0,7735.0,09:31:00,15.1,stop,17.1,-206.52,,2026-08-07,eod,,7710.0,15.3,-211.29999999999978,True,-0.2
eodfly_p,7710.0,7685.0,09:31:00,5.1,settle,0.0,506.74,,2026-08-07,eod,,7710.0,5.0,497.4,True,0.1
eodic_c,7785.0,7810.0,09:31:00,1.65,settle,0.0,161.74,,2026-08-07,eod,,7785.0,1.6,157.4,True,0.05
eodic_p,7635.0,7610.0,09:31:00,0.45,settle,0.0,41.74,,2026-08-07,eod,,7635.0,0.45,42.4,True,0.0
openfly_c,7735.0,7760.0,09:33:00,10.5,stop,12.1,-166.52,,2026-08-07,deskwait,False,7730.0,12.2,-31.30000000000007,False,-1.7
openfly_p,7735.0,7710.0,09:33:00,8.5,stop,10.7,-226.52,,2026-08-07,deskwait,False,7730.0,7.9,787.4,False,0.6
openic_c,7810.0,7835.0,09:33:00,0.45,settle,0.0,41.74,,2026-08-07,deskwait,False,7805.0,0.6,57.4,False,-0.15
openic_p,7665.0,7640.0,09:33:00,0.85,settle,0.0,81.74,,2026-08-07,deskwait,False,7655.0,0.7,67.4,False,0.15
eodfly_c,7760.0,7785.0,09:31:00,7.9,stop,9.9,-206.52,,2026-08-10,eod,,7760.0,7.9,-201.3,True,0.0
eodfly_p,7760.0,7735.0,09:31:00,9.1,stop,11.0,-196.52,,2026-08-10,eod,,7760.0,7.7,118.70000000000002,True,1.4
eodic_c,7835.0,7860.0,09:31:00,0.15,settle,0.0,11.74,,2026-08-10,eod,,,,,False,
eodic_p,7680.0,7655.0,09:31:00,0.35,settle,0.0,31.74,,2026-08-10,eod,,7680.0,0.1,7.4,True,0.25
openfly_c,7755.0,7780.0,09:33:00,9.6,stop,10.6,-106.52,,2026-08-10,deskwait,False,7760.0,7.9,-176.3,False,1.7
openfly_p,7755.0,7730.0,09:33:00,7.4,stop,9.4,-206.52,,2026-08-10,deskwait,False,7760.0,7.1,73.7,False,0.3
openic_c,7835.0,7860.0,09:33:00,0.1,settle,0.0,6.74,,2026-08-10,deskwait,False,,,,False,
