strat,short_k,long_k,entry_et,credit,exit_kind,exit_val,pnl,note,date,policy,wait_day,k_live,cr_live,pnl_live,k_match,d_cr
openic_p,7680.0,7655.0,09:33:00,0.25,settle,0.0,21.74,,2026-08-10,deskwait,False,7680.0,0.1,7.4,True,0.15
eodfly_c,7755.0,7780.0,09:31:00,11.3,stop,10.7,53.48,,2026-08-11,eod,,7755.0,10.4,58.69999999999997,True,0.9
eodfly_p,7755.0,7730.0,09:31:00,5.9,stop,8.0,-216.52,,2026-08-11,eod,,7755.0,6.6,-231.30000000000007,True,-0.7
eodic_c,7830.0,7855.0,09:31:00,0.15,settle,0.0,11.74,,2026-08-11,eod,,7830.0,0.15,12.4,True,0.0
eodic_p,7675.0,7650.0,09:31:00,0.15,settle,0.0,11.74,,2026-08-11,eod,,7675.0,0.15,12.4,True,0.0
openfly_c,7760.0,7785.0,09:33:00,8.3,settle,0.0,826.74,,2026-08-11,deskwait,False,7765.0,6.85,682.4,False,1.45
openfly_p,7760.0,7735.0,09:33:00,8.4,stop,8.0,33.48,,2026-08-11,deskwait,False,7765.0,10.1,-41.30000000000003,False,-1.7
openic_c,7835.0,7860.0,09:33:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-11,deskwait,False,,,,False,
openic_p,7680.0,7655.0,09:33:00,0.25,settle,0.0,21.74,,2026-08-11,deskwait,False,7685.0,0.35,32.4,False,-0.1
eodfly_c,7730.0,7755.0,09:31:00,17.4,stop,15.3,203.48,,2026-08-12,eod,,7730.0,15.8,-21.29999999999993,True,1.6
eodfly_p,7730.0,7705.0,09:31:00,3.2,settle,0.0,316.74,,2026-08-12,eod,,7730.0,4.15,412.40000000000003,True,-0.95
eodic_c,7805.0,7830.0,09:31:00,1.65,settle,0.0,161.74,,2026-08-12,eod,,7805.0,1.8,177.4,True,-0.15
eodic_p,7655.0,7630.0,09:31:00,0.15,settle,0.0,11.74,,2026-08-12,eod,,7655.0,0.15,12.4,True,0.0
openfly_c,7745.0,7770.0,10:08:00,9.0,stop,10.5,-156.52,,2026-08-12,deskwait,True,7740.0,11.0,-61.29999999999996,False,-2.0
openfly_p,7745.0,7720.0,10:08:00,7.9,stop,8.4,-56.52,,2026-08-12,deskwait,True,7740.0,6.5,628.7,False,1.4
openic_c,7820.0,7845.0,10:08:00,0.1,settle,0.0,6.74,,2026-08-12,deskwait,True,7815.0,0.15,12.4,False,-0.05
openic_p,7670.0,7645.0,10:08:00,0.3,settle,0.0,26.74,,2026-08-12,deskwait,True,7665.0,0.3,27.4,False,0.0
eodfly_c,7750.0,7775.0,09:31:00,14.4,stop,20.2,-586.52,,2026-08-13,eod,,7750.0,15.0,-411.3000000000001,True,-0.6
eodfly_p,7750.0,7725.0,09:31:00,3.9,settle,0.0,386.74,,2026-08-13,eod,,7750.0,3.45,342.4,True,0.45
eodic_c,7820.0,7845.0,09:31:00,0.3,settle,0.0,26.74,,2026-08-13,eod,,7820.0,0.35,32.4,True,-0.05
eodic_p,7675.0,7650.0,09:31:00,0.1,settle,0.0,6.74,,2026-08-13,eod,,7675.0,0.09999999999999998,7.399999999999999,True,0.0
openfly_c,7770.0,7795.0,09:33:00,8.4,stop,12.3,-396.52,,2026-08-13,deskwait,False,7765.0,10.5,-321.29999999999995,False,-2.1
openfly_p,7770.0,7745.0,09:33:00,7.5,settle,0.0,746.74,,2026-08-13,deskwait,False,7765.0,6.2,617.4,False,1.3
openic_c,7840.0,7865.0,09:33:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-13,deskwait,False,,,,False,
openic_p,7700.0,7675.0,09:33:00,0.3,settle,0.0,26.74,,2026-08-13,deskwait,False,7695.0,0.2,17.4,False,0.1
eodfly_c,7800.0,7825.0,09:31:00,9.2,stop,9.0,13.48,,2026-08-14,eod,,7800.0,9.3,-11.299999999999965,True,-0.1
eodfly_p,7800.0,7775.0,09:31:00,7.1,stop,9.4,-236.52,,2026-08-14,eod,,7800.0,6.7,-251.29999999999993,True,0.4
eodic_c,7870.0,7895.0,09:31:00,0.1,settle,0.0,6.74,,2026-08-14,eod,,7870.0,0.15,12.4,True,-0.05
eodic_p,7725.0,7700.0,09:31:00,0.2,settle,0.0,16.74,,2026-08-14,eod,,7725.0,0.2,17.4,True,0.0
openfly_c,7810.0,7835.0,10:08:00,7.2,settle,0.0,716.74,,2026-08-14,deskwait,True,7810.0,7.15,712.4,True,0.05
openfly_p,7810.0,7785.0,10:08:00,7.0,stop,9.2,-226.52,,2026-08-14,deskwait,True,7810.0,7.05,-226.3000000000001,True,-0.05
openic_c,7880.0,7905.0,10:08:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-14,deskwait,True,,,,False,
openic_p,7735.0,7710.0,10:08:00,0.1,settle,0.0,6.74,,2026-08-14,deskwait,True,7735.0,0.1,7.4,True,0.0
eodfly_c,7785.0,7810.0,09:31:00,8.85,settle,0.0,881.74,,2026-08-17,eod,,7785.0,8.5,847.4,True,0.35
eodfly_p,7785.0,7760.0,09:31:00,6.4,stop,9.1,-276.52,,2026-08-17,eod,,7785.0,6.05,-336.30000000000007,True,0.35
eodic_c,7860.0,7885.0,09:31:00,0.0,SKIP,,,gate: broken (credit 0.00 <= 0),2026-08-17,eod,,,,,False,
eodic_p,7710.0,7685.0,09:31:00,0.2,settle,0.0,16.74,,2026-08-17,eod,,7710.0,0.2,17.4,True,0.0
openfly_c,7780.0,7805.0,09:33:00,8.5,settle,0.0,846.74,,2026-08-17,deskwait,False,7785.0,6.65,662.4,False,1.85
openfly_p,7780.0,7755.0,09:33:00,6.7,stop,8.0,-136.52,,2026-08-17,deskwait,False,7785.0,8.4,-101.3,False,-1.7
openic_c,7855.0,7880.0,09:33:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-17,deskwait,False,,,,False,
openic_p,7710.0,7685.0,09:33:00,0.25,settle,0.0,21.74,,2026-08-17,deskwait,False,7715.0,0.25,22.4,False,0.0
eodfly_c,7745.0,7770.0,09:31:00,1.55,settle,0.0,151.74,,2026-08-18,eod,,7745.0,1.35,132.4,True,0.2
eodfly_p,7745.0,7720.0,09:31:00,18.4,stop,18.0,33.48,,2026-08-18,eod,,7745.0,18.9,-41.30000000000021,True,-0.5
eodic_c,7825.0,7850.0,09:31:00,-0.05,SKIP,,,gate: broken (credit -0.05 <= 0),2026-08-18,eod,,7825.0,0.0,-2.6,True,-0.05
eodic_p,7665.0,7640.0,09:31:00,1.75,settle,0.0,171.74,,2026-08-18,eod,,7665.0,1.5999999999999999,157.4,True,0.15
openfly_c,7705.0,7730.0,09:33:00,9.7,stop,10.4,-76.52,,2026-08-18,deskwait,False,7710.0,10.1,1007.4,False,-0.4
openfly_p,7705.0,7680.0,09:33:00,7.9,stop,9.4,-156.52,,2026-08-18,deskwait,False,7710.0,9.5,-31.30000000000007,False,-1.6
openic_c,7785.0,7810.0,09:33:00,0.1,settle,0.0,6.74,,2026-08-18,deskwait,False,,,,False,
openic_p,7625.0,7600.0,09:33:00,0.3,settle,0.0,26.74,,2026-08-18,deskwait,False,7630.0,0.5,47.4,False,-0.2
eodfly_c,7690.0,7715.0,09:31:00,18.7,stop,16.9,173.48,,2026-08-19,eod,,7690.0,19.0,218.69999999999993,True,-0.3
eodfly_p,7690.0,7665.0,09:31:00,1.9,time,0.15,168.48,,2026-08-19,eod,,7690.0,1.9,187.4,True,0.0
eodic_c,7770.0,7795.0,09:31:00,0.6,settle,0.0,56.74,,2026-08-19,eod,,7770.0,0.75,72.4,True,-0.15
eodic_p,7615.0,7590.0,09:31:00,0.0,SKIP,,,gate: broken (credit 0.00 <= 0),2026-08-19,eod,,,,,False,
openfly_c,7715.0,7740.0,10:08:00,9.5,stop,13.8,-436.52,,2026-08-19,deskwait,True,7715.0,9.5,947.4,True,0.0
openfly_p,7715.0,7690.0,10:08:00,6.7,stop,5.75,88.48,,2026-08-19,deskwait,True,7715.0,7.0,-4.6,True,-0.3
openic_c,7795.0,7820.0,10:08:00,0.0,SKIP,,,gate: broken (credit 0.00 <= 0),2026-08-19,deskwait,True,7795.0,0.0,-2.6,True,0.0
openic_p,7640.0,7615.0,10:08:00,0.2,settle,0.0,16.74,,2026-08-19,deskwait,True,7640.0,0.2,17.4,True,0.0
eodfly_c,7710.0,7735.0,09:31:00,2.4,settle,0.0,236.74,,2026-08-20,eod,,7710.0,3.15,312.4,True,-0.75
eodfly_p,7710.0,7685.0,09:31:00,16.7,stop,14.5,213.48,,2026-08-20,eod,,7710.0,14.999999999999998,258.69999999999976,True,1.7
eodic_c,7780.0,7805.0,09:31:00,0.0,SKIP,,,gate: broken (credit 0.00 <= 0),2026-08-20,eod,,,,,False,
eodic_p,7635.0,7610.0,09:31:00,1.9,time,0.2,163.48,,2026-08-20,eod,,7635.0,1.65,162.4,True,0.25
openfly_c,7685.0,7710.0,09:33:00,9.7,stop,12.9,-326.52,,2026-08-20,deskwait,False,7680.0,10.9,-321.29999999999995,False,-1.2
openfly_p,7685.0,7660.0,09:33:00,7.7,stop,9.1,-146.52,,2026-08-20,deskwait,False,7680.0,7.1,-271.3000000000001,False,0.6
openic_c,7760.0,7785.0,09:33:00,0.1,settle,0.0,6.74,,2026-08-20,deskwait,False,7755.0,0.15,12.4,False,-0.05
openic_p,7610.0,7585.0,09:33:00,0.5,settle,0.0,46.74,,2026-08-20,deskwait,False,7610.0,0.5,47.4,True,0.0
eodfly_c,7640.0,7665.0,09:31:00,18.6,stop,18.5,3.48,,2026-08-21,eod,,7640.0,18.6,-71.29999999999993,True,0.0
eodfly_p,7640.0,7615.0,09:31:00,2.3,settle,0.0,226.74,,2026-08-21,eod,,7640.0,2.5,247.4,True,-0.2
eodic_c,7715.0,7740.0,09:31:00,1.2,settle,0.0,116.74,,2026-08-21,eod,,7715.0,1.2,117.4,True,0.0
eodic_p,7565.0,7540.0,09:31:00,0.1,settle,0.0,6.74,,2026-08-21,eod,,7565.0,0.1,7.4,True,0.0
openfly_c,7670.0,7695.0,09:33:00,9.2,stop,12.2,-306.52,,2026-08-21,deskwait,False,7675.0,7.1,-131.30000000000007,False,2.1
openfly_p,7670.0,7645.0,09:33:00,7.7,stop,8.7,-106.52,,2026-08-21,deskwait,False,7675.0,9.0,38.70000000000004,False,-1.3
openic_c,7745.0,7770.0,09:33:00,0.2,settle,0.0,16.74,,2026-08-21,deskwait,False,7750.0,0.15,12.4,False,0.05
openic_p,7595.0,7570.0,09:33:00,0.4,settle,0.0,36.74,,2026-08-21,deskwait,False,7600.0,0.55,52.400000000000006,False,-0.15
eodfly_c,7675.0,7700.0,09:31:00,3.5,settle,0.0,346.74,,2026-08-24,eod,,7675.0,2.5,247.4,True,1.0
eodfly_p,7675.0,7650.0,09:31:00,13.7,stop,14.8,-116.52,,2026-08-24,eod,,7675.0,13.6,-501.3000000000002,True,0.1
eodic_c,7750.0,7775.0,09:31:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-24,eod,,,,,False,
eodic_p,7595.0,7570.0,09:31:00,0.65,settle,0.0,61.74,,2026-08-24,eod,,7595.0,0.6,57.4,True,0.05
openfly_c,7655.0,7680.0,09:33:00,8.85,stop,9.5,-71.52,,2026-08-24,deskwait,False,7665.0,4.95,-196.30000000000004,False,3.9
openfly_p,7655.0,7630.0,09:33:00,7.4,stop,9.0,-166.52,,2026-08-24,deskwait,False,7665.0,11.1,-411.29999999999995,False,-3.7
openic_c,7730.0,7755.0,09:33:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-24,deskwait,False,,,,False,
openic_p,7580.0,7555.0,09:33:00,0.25,settle,0.0,21.74,,2026-08-24,deskwait,False,7585.0,0.3,27.4,False,-0.05
eodfly_c,7655.0,7680.0,09:31:00,-10.4,SKIP,,,gate: broken (credit -10.40 <= 0),2026-08-25,eod,,7655.0,17.8,-11.299999999999788,True,-28.2
eodfly_p,7655.0,7630.0,09:31:00,-17.4,SKIP,,,gate: broken (credit -17.40 <= 0),2026-08-25,eod,,7655.0,1.95,192.4,True,-19.35
eodic_c,7730.0,7755.0,09:31:00,-8.2,SKIP,,,gate: broken (credit -8.20 <= 0),2026-08-25,eod,,7730.0,0.25,22.4,True,-8.45
eodic_p,7575.0,7550.0,09:31:00,-8.4,SKIP,,,gate: broken (credit -8.40 <= 0),2026-08-25,eod,,,,,False,
openfly_c,7670.0,7695.0,10:08:00,7.85,stop,7.2,58.48,,2026-08-25,deskwait,True,7670.0,8.3,58.70000000000006,True,-0.45
openfly_p,7670.0,7645.0,10:08:00,6.8,stop,9.0,-226.52,,2026-08-25,deskwait,True,7670.0,6.05,-206.29999999999998,True,0.75
openic_c,7745.0,7770.0,10:08:00,-0.05,SKIP,,,gate: broken (credit -0.05 <= 0),2026-08-25,deskwait,True,7750.0,0.0,-2.6,False,-0.05
openic_p,7595.0,7570.0,10:08:00,0.1,settle,0.0,6.74,,2026-08-25,deskwait,True,,,,False,
eodfly_c,7675.0,7700.0,09:31:00,5.25,stop,12.1,-691.52,,2026-08-26,eod,,7675.0,6.45,-616.3,True,-1.2
eodfly_p,7675.0,7650.0,09:31:00,10.2,stop,7.2,293.48,,2026-08-26,eod,,7675.0,8.4,-81.29999999999988,True,1.8
eodic_c,7755.0,7780.0,09:31:00,0.0,SKIP,,,gate: broken (credit 0.00 <= 0),2026-08-26,eod,,,,,False,
eodic_p,7600.0,7575.0,09:31:00,0.3,settle,0.0,26.74,,2026-08-26,eod,,7600.0,0.35,32.4,True,-0.05
openfly_c,7685.0,7710.0,10:08:00,7.15,stop,5.1,198.48,,2026-08-26,deskwait,True,7685.0,7.6,238.69999999999993,True,-0.45
openfly_p,7685.0,7660.0,10:08:00,6.8,stop,8.9,-216.52,,2026-08-26,deskwait,True,7685.0,6.5,-261.29999999999995,True,0.3
openic_c,7760.0,7785.0,10:08:00,0.0,SKIP,,,gate: broken (credit 0.00 <= 0),2026-08-26,deskwait,True,,,,False,
openic_p,7610.0,7585.0,10:08:00,0.1,settle,0.0,6.74,,2026-08-26,deskwait,True,,,,False,
eodfly_c,7675.0,7700.0,09:31:00,16.8,stop,16.8,-6.52,,2026-08-27,eod,,7675.0,14.600000000000001,-281.2999999999997,True,2.2
eodfly_p,7675.0,7650.0,09:31:00,3.25,settle,0.0,321.74,,2026-08-27,eod,,7675.0,3.15,312.4,True,0.1
eodic_c,7750.0,7775.0,09:31:00,1.05,settle,0.0,101.74,,2026-08-27,eod,,7750.0,0.95,92.4,True,0.1
eodic_p,7605.0,7580.0,09:31:00,0.1,settle,0.0,6.74,,2026-08-27,eod,,,,,False,
openfly_c,7705.0,7730.0,10:08:00,9.0,stop,11.7,-276.52,,2026-08-27,deskwait,True,7705.0,9.700000000000001,-191.29999999999987,True,-0.7
openfly_p,7705.0,7680.0,10:08:00,8.2,settle,0.0,816.74,,2026-08-27,deskwait,True,7705.0,7.1,707.4,True,1.1
openic_c,7775.0,7800.0,10:08:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-27,deskwait,True,,,,False,
openic_p,7630.0,7605.0,10:08:00,0.35,settle,0.0,31.74,,2026-08-27,deskwait,True,7635.0,0.3,27.4,False,0.05
eodfly_c,7730.0,7755.0,09:31:00,12.1,stop,14.3,-226.52,,2026-08-28,eod,,7730.0,11.9,-231.2999999999999,True,0.2
eodfly_p,7730.0,7705.0,09:31:00,7.5,stop,11.4,-396.52,,2026-08-28,eod,,7730.0,7.6,-481.30000000000007,True,-0.1
eodic_c,7800.0,7825.0,09:31:00,0.7,settle,0.0,66.74,,2026-08-28,eod,,7800.0,0.55,52.400000000000006,True,0.15
eodic_p,7660.0,7635.0,09:31:00,1.0,settle,0.0,96.74,,2026-08-28,eod,,7660.0,0.95,92.4,True,0.05
openfly_c,7725.0,7750.0,10:08:00,10.9,stop,15.8,-496.52,,2026-08-28,deskwait,True,7735.0,8.600000000000001,-551.2999999999997,False,2.3
openfly_p,7725.0,7700.0,10:08:00,7.8,stop,10.9,-316.52,,2026-08-28,deskwait,True,7735.0,10.6,218.69999999999993,False,-2.8
openic_c,7800.0,7825.0,10:08:00,0.15,settle,0.0,11.74,,2026-08-28,deskwait,True,7805.0,0.2,17.4,False,-0.05
openic_p,7655.0,7630.0,10:08:00,0.85,settle,0.0,81.74,,2026-08-28,deskwait,True,7665.0,1.0,97.4,False,-0.15
eodfly_c,7710.0,7735.0,09:31:00,3.75,settle,0.0,371.74,,2026-08-31,eod,,7710.0,2.7,267.4,True,1.05
eodfly_p,7710.0,7685.0,09:31:00,13.4,stop,18.0,-466.52,,2026-08-31,eod,,7710.0,13.7,-501.3,True,-0.3
eodic_c,7785.0,7810.0,09:31:00,0.05,SKIP,,,gate: thin_credit (0.05 < 0.1),2026-08-31,eod,,,,,False,
eodic_p,7640.0,7615.0,09:31:00,0.95,settle,0.0,91.74,,2026-08-31,eod,,7640.0,0.9999999999999999,97.39999999999999,True,-0.05
openfly_c,7685.0,7710.0,09:33:00,8.8,stop,1.35,738.48,,2026-08-31,deskwait,False,7690.0,5.7,567.4,False,3.1
openfly_p,7685.0,7660.0,09:33:00,7.7,stop,9.0,-136.52,,2026-08-31,deskwait,False,7690.0,10.4,-81.29999999999988,False,-2.7
openic_c,7760.0,7785.0,09:33:00,0.1,settle,0.0,6.74,,2026-08-31,deskwait,False,7765.0,0.1,7.4,False,0.0
openic_p,7610.0,7585.0,09:33:00,0.3,settle,0.0,26.74,,2026-08-31,deskwait,False,7615.0,0.45,42.4,False,-0.15
