date,policy,strat,event,center,em,short_k,long_k,credit,entry_et,exit_kind,exit_val,pnl,note
2022-05-16,eod,eodic_p,,4023.89,73.2,3950.0,3925.0,2.55,09:31:00,settle,0.0,251.74,
2022-05-16,eod,eodic_c,,4023.89,73.2,4095.0,4120.0,1.2,09:31:00,settle,0.0,116.74,
2022-05-16,eod,eodfly_p,,4023.89,73.2,4025.0,4000.0,12.1,09:31:00,stop,11.9,13.48,
2022-05-16,eod,eodfly_c,,4023.89,73.2,4025.0,4050.0,7.9,09:31:00,stop,10.9,-306.52,
2022-05-16,nowait,openic_p,,4007.55,73.2,3935.0,3910.0,2.0,09:33:00,settle,0.0,196.74,
2022-05-16,nowait,openic_c,,4007.55,73.2,4080.0,4105.0,2.0,09:33:00,settle,0.0,196.74,
2022-05-16,nowait,openfly_p,,4007.55,73.2,4010.0,3985.0,10.3,09:33:00,stop,13.2,-296.52,
2022-05-16,nowait,openfly_c,,4007.55,73.2,4010.0,4035.0,9.7,09:33:00,stop,11.9,-226.52,
2022-05-16,calwait,openic_p,,4007.55,73.2,3935.0,3910.0,2.0,09:33:00,settle,0.0,196.74,
2022-05-16,calwait,openic_c,,4007.55,73.2,4080.0,4105.0,2.0,09:33:00,settle,0.0,196.74,
2022-05-16,calwait,openfly_p,,4007.55,73.2,4010.0,3985.0,10.3,09:33:00,stop,13.2,-296.52,
2022-05-16,calwait,openfly_c,,4007.55,73.2,4010.0,4035.0,9.7,09:33:00,stop,11.9,-226.52,
2022-05-17,eod,eodic_p,,4008.01,69.4,3940.0,3915.0,,09:31:00,SKIP,,,no entry quote
2022-05-17,eod,eodic_c,,4008.01,69.4,4075.0,4100.0,9.1,09:31:00,stop,10.3,-126.52,
2022-05-17,eod,eodfly_p,,4008.01,69.4,4010.0,3985.0,,09:31:00,SKIP,,,no entry quote
2022-05-17,eod,eodfly_c,,4008.01,69.4,4010.0,4035.0,19.6,09:31:00,stop,21.3,-176.52,
2022-05-17,nowait,openic_p,,4063.3,69.4,3995.0,3970.0,1.45,09:33:00,settle,0.0,141.74,
2022-05-17,nowait,openic_c,,4063.3,69.4,4135.0,4160.0,0.75,09:33:00,settle,0.0,71.74,
2022-05-17,nowait,openfly_p,,4063.3,69.4,4065.0,4040.0,9.3,09:33:00,stop,11.6,-236.52,
2022-05-17,nowait,openfly_c,,4063.3,69.4,4065.0,4090.0,10.1,09:33:00,stop,11.2,-116.52,
2022-05-17,calwait,openic_p,,4063.3,69.4,3995.0,3970.0,1.45,09:33:00,settle,0.0,141.74,
2022-05-17,calwait,openic_c,,4063.3,69.4,4135.0,4160.0,0.75,09:33:00,settle,0.0,71.74,
2022-05-17,calwait,openfly_p,,4063.3,69.4,4065.0,4040.0,9.3,09:33:00,stop,11.6,-236.52,
2022-05-17,calwait,openfly_c,,4063.3,69.4,4065.0,4090.0,10.1,09:33:00,stop,11.2,-116.52,
2022-05-18,eod,eodic_p,,4088.85,67.2,4020.0,3995.0,6.6,09:31:00,stop,13.0,-646.52,
2022-05-18,eod,eodic_c,,4088.85,67.2,4155.0,4180.0,0.1,09:31:00,settle,0.0,6.74,
2022-05-18,eod,eodfly_p,,4088.85,67.2,4090.0,4065.0,18.0,09:31:00,stop,22.0,-406.52,
2022-05-18,eod,eodfly_c,,4088.85,67.2,4090.0,4115.0,2.7,09:31:00,settle,0.0,266.74,
2022-05-18,nowait,openic_p,,4039.2,67.2,3970.0,3945.0,1.7,09:33:00,stop,10.6,-896.52,
2022-05-18,nowait,openic_c,,4039.2,67.2,4105.0,4130.0,1.55,09:33:00,settle,0.0,151.74,
2022-05-18,nowait,openfly_p,,4039.2,67.2,4040.0,4015.0,9.6,09:33:00,stop,12.4,-286.52,
2022-05-18,nowait,openfly_c,,4039.2,67.2,4040.0,4065.0,10.3,09:33:00,settle,0.0,1026.74,
2022-05-18,calwait,openic_p,,4039.2,67.2,3970.0,3945.0,1.7,09:33:00,stop,10.6,-896.52,
2022-05-18,calwait,openic_c,,4039.2,67.2,4105.0,4130.0,1.55,09:33:00,settle,0.0,151.74,
2022-05-18,calwait,openfly_p,,4039.2,67.2,4040.0,4015.0,9.6,09:33:00,stop,12.4,-286.52,
2022-05-18,calwait,openfly_c,,4039.2,67.2,4040.0,4065.0,10.3,09:33:00,settle,0.0,1026.74,
2022-05-19,eod,eodic_p,,3923.68,76.5,3845.0,3820.0,,09:31:00,SKIP,,,no entry quote
2022-05-19,eod,eodic_c,,3923.68,76.5,4000.0,4025.0,0.55,09:31:00,settle,0.0,51.74,
2022-05-19,eod,eodfly_p,,3923.68,76.5,3925.0,3900.0,13.9,09:31:00,stop,11.7,213.48,
2022-05-19,eod,eodfly_c,,3923.68,76.5,3925.0,3950.0,5.5,09:31:00,stop,12.5,-706.52,
2022-05-19,nowait,openic_p,,3901.95,76.5,3825.0,3800.0,1.7,09:33:00,settle,0.0,166.74,
2022-05-19,nowait,openic_c,,3901.95,76.5,3980.0,4005.0,1.6,09:33:00,settle,0.0,156.74,
2022-05-19,nowait,openfly_p,,3901.95,76.5,3900.0,3875.0,9.4,09:33:00,stop,12.4,-306.52,
2022-05-19,nowait,openfly_c,,3901.95,76.5,3900.0,3925.0,10.8,09:33:00,stop,14.5,-376.52,
2022-05-19,calwait,openic_p,,3901.95,76.5,3825.0,3800.0,1.7,09:33:00,settle,0.0,166.74,
2022-05-19,calwait,openic_c,,3901.95,76.5,3980.0,4005.0,1.6,09:33:00,settle,0.0,156.74,
2022-05-19,calwait,openfly_p,,3901.95,76.5,3900.0,3875.0,9.4,09:33:00,stop,12.4,-306.52,
2022-05-19,calwait,openfly_c,,3901.95,76.5,3900.0,3925.0,10.8,09:33:00,stop,14.5,-376.52,
2022-05-20,eod,eodic_p,,3900.79,72.1,3830.0,3805.0,0.95,09:31:00,stop,12.6,-1171.52,
2022-05-20,eod,eodic_c,,3900.79,72.1,3975.0,4000.0,4.8,09:31:00,settle,0.0,476.74,
2022-05-20,eod,eodfly_p,,3900.79,72.1,3900.0,3875.0,4.9,09:31:00,stop,13.6,-876.52,
2022-05-20,eod,eodfly_c,,3900.79,72.1,3900.0,3925.0,12.4,09:31:00,stop,17.2,-486.52,
2022-05-20,nowait,openic_p,,3937.1,72.1,3865.0,3840.0,2.5,09:33:00,stop,14.6,-1216.52,
2022-05-20,nowait,openic_c,,3937.1,72.1,4010.0,4035.0,1.8,09:33:00,settle,0.0,176.74,
2022-05-20,nowait,openfly_p,,3937.1,72.1,3935.0,3910.0,8.8,09:33:00,stop,10.7,-196.52,
2022-05-20,nowait,openfly_c,,3937.1,72.1,3935.0,3960.0,10.8,09:33:00,settle,0.0,1076.74,
2022-05-20,calwait,openic_p,,3937.1,72.1,3865.0,3840.0,2.5,09:33:00,stop,14.6,-1216.52,
2022-05-20,calwait,openic_c,,3937.1,72.1,4010.0,4035.0,1.8,09:33:00,settle,0.0,176.74,
2022-05-20,calwait,openfly_p,,3937.1,72.1,3935.0,3910.0,8.8,09:33:00,stop,10.7,-196.52,
2022-05-20,calwait,openfly_c,,3937.1,72.1,3935.0,3960.0,10.8,09:33:00,settle,0.0,1076.74,
2022-05-23,eod,eodic_p,,3901.36,72.3,3830.0,3805.0,0.9,09:31:00,settle,0.0,86.74,
2022-05-23,eod,eodic_c,,3901.36,72.3,3975.0,4000.0,4.5,09:31:00,stop,10.9,-646.52,
2022-05-23,eod,eodfly_p,,3901.36,72.3,3900.0,3875.0,4.9,09:31:00,settle,0.0,486.74,
2022-05-23,eod,eodfly_c,,3901.36,72.3,3900.0,3925.0,15.5,09:31:00,stop,15.7,-26.52,
2022-05-23,nowait,openic_p,,3931.8,72.3,3860.0,3835.0,2.05,09:33:00,settle,0.0,201.74,
2022-05-23,nowait,openic_c,,3931.8,72.3,4005.0,4030.0,1.55,09:33:00,settle,0.0,151.74,
2022-05-23,nowait,openfly_p,,3931.8,72.3,3930.0,3905.0,9.2,09:33:00,stop,12.9,-376.52,
2022-05-23,nowait,openfly_c,,3931.8,72.3,3930.0,3955.0,10.9,09:33:00,stop,14.3,-346.52,
2022-05-23,calwait,openic_p,,3931.8,72.3,3860.0,3835.0,2.05,09:33:00,settle,0.0,201.74,
2022-05-23,calwait,openic_c,,3931.8,72.3,4005.0,4030.0,1.55,09:33:00,settle,0.0,151.74,
2022-05-23,calwait,openfly_p,,3931.8,72.3,3930.0,3905.0,9.2,09:33:00,stop,12.9,-376.52,
2022-05-23,calwait,openfly_c,,3931.8,72.3,3930.0,3955.0,10.9,09:33:00,stop,14.3,-346.52,
2022-05-24,eod,eodic_p,,3973.75,71.3,3900.0,3875.0,4.8,09:31:00,stop,14.0,-926.52,
2022-05-24,eod,eodic_c,,3973.75,71.3,4045.0,4070.0,0.1,09:31:00,settle,0.0,6.74,
2022-05-24,eod,eodfly_p,,3973.75,71.3,3975.0,3950.0,16.8,09:31:00,stop,20.1,-336.52,
2022-05-24,eod,eodfly_c,,3973.75,71.3,3975.0,4000.0,3.5,09:31:00,time,0.2,323.48,
2022-05-24,nowait,openic_p,,3936.8,71.3,3865.0,3840.0,1.7,09:33:00,settle,0.0,166.74,
2022-05-24,nowait,openic_c,,3936.8,71.3,4010.0,4035.0,1.1,09:33:00,settle,0.0,106.74,
2022-05-24,nowait,openfly_p,,3936.8,71.3,3935.0,3910.0,8.5,09:33:00,stop,12.3,-386.52,
2022-05-24,nowait,openfly_c,,3936.8,71.3,3935.0,3960.0,10.7,09:33:00,stop,16.6,-596.52,
2022-05-24,calwait,openic_p,,3936.8,71.3,3865.0,3840.0,1.7,09:33:00,settle,0.0,166.74,
2022-05-24,calwait,openic_c,,3936.8,71.3,4010.0,4035.0,1.1,09:33:00,settle,0.0,106.74,
2022-05-24,calwait,openfly_p,,3936.8,71.3,3935.0,3910.0,8.5,09:33:00,stop,12.3,-386.52,
2022-05-24,calwait,openfly_c,,3936.8,71.3,3935.0,3960.0,10.7,09:33:00,stop,16.6,-596.52,
2022-05-25,eod,eodic_p,,3941.48,73.1,3870.0,3845.0,3.1,09:31:00,settle,0.0,306.74,
2022-05-25,eod,eodic_c,,3941.48,73.1,4015.0,4040.0,1.2,09:31:00,time,0.15,98.48,
2022-05-25,eod,eodfly_p,,3941.48,73.1,3940.0,3915.0,9.8,09:31:00,settle,0.0,976.74,
2022-05-25,eod,eodfly_c,,3941.48,73.1,3940.0,3965.0,9.1,09:31:00,stop,12.7,-366.52,
2022-05-25,nowait,openic_p,,3936.55,73.1,3865.0,3840.0,2.55,09:33:00,settle,0.0,251.74,
2022-05-25,nowait,openic_c,,3936.55,73.1,4010.0,4035.0,1.95,09:33:00,time,0.25,163.48,
2022-05-25,nowait,openfly_p,,3936.55,73.1,3935.0,3910.0,9.3,09:33:00,settle,0.0,926.74,
2022-05-25,nowait,openfly_c,,3936.55,73.1,3935.0,3960.0,10.9,09:33:00,stop,13.4,-256.52,
2022-05-25,calwait,openic_p,,3936.55,73.1,3865.0,3840.0,2.55,09:33:00,settle,0.0,251.74,
2022-05-25,calwait,openic_c,,3936.55,73.1,4010.0,4035.0,1.95,09:33:00,time,0.25,163.48,
2022-05-25,calwait,openfly_p,,3936.55,73.1,3935.0,3910.0,9.3,09:33:00,settle,0.0,926.74,
2022-05-25,calwait,openfly_c,,3936.55,73.1,3935.0,3960.0,10.9,09:33:00,stop,13.4,-256.52,
2022-05-26,eod,eodic_p,,3978.73,71.1,3910.0,3885.0,1.25,09:31:00,settle,0.0,121.74,
2022-05-26,eod,eodic_c,,3978.73,71.1,4050.0,4075.0,2.2,09:31:00,stop,10.9,-876.52,
2022-05-26,eod,eodfly_p,,3978.73,71.1,3980.0,3955.0,7.3,09:31:00,settle,0.0,726.74,
2022-05-26,eod,eodfly_c,,3978.73,71.1,3980.0,4005.0,12.4,09:31:00,stop,18.1,-576.52,
2022-05-26,nowait,openic_p,,3998.35,71.1,3925.0,3900.0,1.6,09:33:00,settle,0.0,156.74,
