book,month,pnl,n,win_pct,avg
puts_credit_band,2023-03,1211.32,17,94.12,71.25
puts_credit_band,2023-04,-0.64,13,92.31,-0.05
puts_credit_band,2023-05,810.24,24,91.67,33.76
puts_credit_band,2023-06,1681.1,15,100.0,112.07
puts_credit_band,2023-07,680.44,6,100.0,113.41
puts_credit_band,2023-08,244.58,15,86.67,16.31
puts_credit_band,2023-09,-1674.54,24,75.0,-69.77
puts_credit_band,2023-10,-1034.32,27,81.48,-38.31
puts_credit_band,2023-11,661.1,14,92.86,47.22
puts_credit_band,2023-12,-318.38,12,83.33,-26.53
puts_credit_band,2024-01,1192.62,13,100.0,91.74
puts_credit_band,2024-02,1377.62,13,100.0,105.97
puts_credit_band,2024-03,497.84,15,93.33,33.19
puts_credit_band,2024-04,1013.06,18,94.44,56.28
puts_credit_band,2024-05,855.66,9,100.0,95.07
puts_credit_band,2024-06,1683.5,24,95.83,70.15
puts_credit_band,2024-07,-1716.72,19,84.21,-90.35
puts_credit_band,2024-08,-1584.76,23,86.96,-68.9
puts_credit_band,2024-09,-88.46,19,89.47,-4.66
puts_credit_band,2024-10,-502.38,11,81.82,-45.67
puts_credit_band,2024-11,459.58,16,93.75,28.72
puts_credit_band,2024-12,-577.6,9,88.89,-64.18
puts_credit_band,2025-01,1434.36,14,100.0,102.45
puts_credit_band,2025-02,-964.76,23,86.96,-41.95
puts_credit_band,2025-03,-2708.46,17,76.47,-159.32
puts_credit_band,2025-04,-541.94,17,88.24,-31.88
puts_credit_band,2025-05,2403.28,22,100.0,109.24
puts_credit_band,2025-06,1097.62,13,100.0,84.43
puts_credit_band,2025-07,-1220.86,9,77.78,-135.65
puts_credit_band,2025-08,582.84,15,93.33,38.86
puts_credit_band,2025-09,-287.82,6,83.33,-47.97
puts_credit_band,2025-10,-310.42,15,86.67,-20.69
puts_credit_band,2025-11,-105.2,18,88.89,-5.84
puts_credit_band,2025-12,-1723.98,21,80.95,-82.09
puts_credit_band,2026-01,189.36,13,92.31,14.57
puts_credit_band,2026-02,810.02,21,90.48,38.57
puts_credit_band,2026-03,234.8,18,88.89,13.04
puts_credit_band,2026-04,1866.32,18,100.0,103.68
puts_credit_band,2026-05,697.4,10,100.0,69.74
puts_credit_band,2026-06,-1168.46,19,89.47,-61.5
puts_credit_band,2026-07,1503.06,19,100.0,79.11
puts_credit_band,2026-08,1235.88,12,100.0,102.99
puts_credit_band,2026-09,128.48,2,100.0,64.24
