date,pnl
2025-04-09,-3250.0
2025-03-03,-3025.0
2024-12-18,-2990.0
2025-10-10,-2835.0
2025-02-28,-2808.0
2026-06-17,-2695.0
2024-04-30,-2607.0
2023-12-20,-2315.0
2026-06-09,-2210.0
2024-12-20,-2195.0
2026-01-21,-2180.0
2022-06-09,-2135.0
2026-07-29,-2131.0
2026-02-12,-2090.0
2024-08-01,-2080.0
