date,pnl
2025-04-09,-3249.56
2025-03-03,-3024.56
2024-12-18,-2989.56
2025-10-10,-2834.56
2025-02-28,-2808.04
2024-04-30,-2607.3
2023-12-20,-2314.56
2024-12-20,-2194.56
2022-06-09,-2134.56
2024-08-01,-2079.56
2023-05-02,-2049.56
2024-08-05,-1999.56
2023-08-29,-1994.56
2023-12-13,-1969.56
