book,total,n,win_pct,exp,pf,maxdd
eod streams (4),-179038,3950,59.7,-45.3,0.7,-182242
eod condors,-19913,1801,83.1,-11.1,0.89,-26218
eod flies,-159125,2149,40.2,-74.0,0.62,-161018
open streams nowait,-63295,4056,55.2,-15.6,0.88,-72481
open streams calwait,-64361,4053,55.5,-15.9,0.88,-72514
COMBINED (nowait),-242333,8006,57.5,-30.3,0.79,-247057
COMBINED (calwait),-243399,8003,57.6,-30.4,0.79,-247746
