date,strat,center,em,short_k,long_k,credit,exit_kind,exit_val,pnl,note
2022-08-10,eodic_p,4122.47,56.5,4065.0,4040.0,-0.05,settle,0.0,-8.26,
2022-08-22,eodic_c,4228.48,54.9,4285.0,4310.0,-0.05,settle,0.0,-8.26,
2022-09-13,eodic_c,4110.41,61.8,4170.0,4195.0,-0.05,settle,0.0,-8.26,
2022-10-13,eodic_c,3577.03,75.6,3655.0,3680.0,-0.05,stop,12.9,-1301.52,
2022-11-10,eodic_p,3748.57,61.6,3685.0,3660.0,-0.05,settle,0.0,-8.26,
2022-11-25,openic_p,4023.34,51.6,3970.0,3945.0,-0.05,settle,0.0,-8.26,
2022-12-13,eodic_p,3990.56,62.8,3930.0,3905.0,-0.05,settle,0.0,-8.26,
2023-04-25,eodic_c,4137.04,44.0,4180.0,4205.0,-0.05,settle,0.0,-8.26,
2023-07-03,openic_p,4450.48,38.1,4410.0,4385.0,-0.05,settle,0.0,-8.26,
2023-11-24,openic_p,4555.84,36.9,4520.0,4495.0,-0.05,settle,0.0,-8.26,
2023-11-24,openic_c,4555.84,36.9,4595.0,4620.0,-0.05,settle,0.0,-8.26,
2023-12-04,eodic_c,4594.63,36.6,4630.0,4655.0,-0.05,settle,0.0,-8.26,
2024-02-27,openic_c,5074.6,43.9,5120.0,5145.0,-0.05,settle,0.0,-8.26,
2024-04-02,eodic_c,5243.77,45.1,5290.0,5315.0,-0.05,settle,0.0,-8.26,
2024-05-29,eodic_c,5306.04,43.2,5350.0,5375.0,-0.05,settle,0.0,-8.26,
2024-07-17,eodic_c,5667.2,47.1,5715.0,5740.0,-0.05,settle,0.0,-8.26,
2024-08-05,eodic_c,5346.56,78.8,5425.0,5450.0,-0.4,settle,0.0,-43.26,
2024-10-09,openic_c,5751.8,77.6,5830.0,5855.0,-0.05,settle,0.0,-8.26,
2024-10-09,eodic_c,5751.13,77.6,5830.0,5855.0,-0.05,settle,0.0,-8.26,
2024-10-10,eodic_c,5792.04,76.1,5870.0,5895.0,-0.05,settle,0.0,-8.26,
2024-10-15,eodic_c,5859.85,72.7,5935.0,5960.0,-0.05,settle,0.0,-8.26,
2024-10-15,openic_c,5866.74,72.7,5940.0,5965.0,-0.05,settle,0.0,-8.26,
2024-10-16,openic_c,5816.58,75.6,5890.0,5915.0,-0.05,settle,0.0,-8.26,
2024-10-17,openic_c,5875.62,72.1,5950.0,5975.0,-0.05,settle,0.0,-8.26,
2024-10-21,eodic_c,5864.67,66.6,5930.0,5955.0,-0.05,settle,0.0,-8.26,
2024-10-21,openic_c,5857.82,66.6,5925.0,5950.0,-0.05,settle,0.0,-8.26,
2024-10-23,openic_c,5834.5,67.1,5900.0,5925.0,-0.05,settle,0.0,-8.26,
2024-10-23,eodic_c,5851.2,67.1,5920.0,5945.0,-0.05,settle,0.0,-8.26,
2024-10-28,openic_c,5833.93,74.4,5910.0,5935.0,-0.05,settle,0.0,-8.26,
