filter,total,vs_base,killer_pnl,dodged,other_cost,killers_still_hit
credit_rich>2.5,-17165.259999999977,11367.600000000002,-26781.159999999993,-7468.900000000012,-3898.69999999999,12
credit_rich>2.0,-23397.919999999984,5134.939999999995,-26781.159999999993,-7468.900000000012,2333.9600000000173,12
vix_spike>20%,-21307.89999999998,7224.959999999999,-23998.339999999997,-10251.720000000008,3026.7600000000093,10
vix_high>25,-17714.879999999976,10817.980000000003,-31000.5,-3249.560000000005,-7568.419999999998,13
gap>0.75%,-17361.29999999998,11171.559999999998,-32250.5,-1999.560000000005,-9171.999999999993,13
gap>0.5%,-9294.11999999998,19238.739999999998,-32250.5,-1999.560000000005,-17239.179999999993,13
prior_wild>1.5%,-38026.739999999976,-9493.879999999997,-23168.339999999997,-11081.720000000008,20575.600000000006,10
puts_only,-5624.719999999992,22908.139999999985,-20789.439999999995,-13460.62000000001,-9447.519999999977,9
puts+credit>2.5,-2247.599999999992,26285.259999999987,-17343.36,-16906.700000000004,-9378.559999999983,8
gap0.5+credit2.5,-12543.759999999984,15989.099999999995,-26854.639999999996,-7395.420000000009,-8593.679999999986,12
