month,ic_condor,fly,puts_band
2022-05,-3247.0,-2634.0,-1706.0
2022-06,-4020.0,-7323.0,253.0
2022-07,2463.0,-5370.0,2720.0
2022-08,1931.0,-5446.0,220.0
2022-09,2095.0,-10582.0,1680.0
2022-10,-2371.0,-6631.0,1453.0
2022-11,2071.0,-5679.0,1880.0
2022-12,-865.0,-2965.0,-787.0
2023-01,-2110.0,-1298.0,915.0
2023-02,2245.0,-5084.0,285.0
2023-03,-3132.0,-5983.0,1211.0
2023-04,-1181.0,-6666.0,-1.0
2023-05,1320.0,-630.0,810.0
2023-06,884.0,-4354.0,1681.0
2023-07,1333.0,-76.0,680.0
2023-08,-1428.0,-5161.0,245.0
2023-09,293.0,-3501.0,-1675.0
2023-10,-629.0,-5507.0,-1034.0
2023-11,317.0,-3492.0,661.0
2023-12,-2283.0,-4658.0,-318.0
2024-01,806.0,-4829.0,1193.0
2024-02,-446.0,-1601.0,1378.0
2024-03,1111.0,1769.0,498.0
2024-04,-6637.0,-6367.0,1013.0
2024-05,840.0,-4990.0,856.0
2024-06,2156.0,-9378.0,1684.0
2024-07,-5662.0,-1269.0,-1717.0
2024-08,-4709.0,-2899.0,-1585.0
2024-09,1226.0,-426.0,-88.0
2024-10,-1018.0,-2135.0,-502.0
2024-11,1961.0,2359.0,460.0
2024-12,-5043.0,-2944.0,-578.0
2025-01,3059.0,-5732.0,1434.0
2025-02,-801.0,-4260.0,-965.0
2025-03,-1903.0,-9566.0,-2708.0
2025-04,-7507.0,-12280.0,-542.0
2025-05,5081.0,-3218.0,2403.0
2025-06,2998.0,-3764.0,1098.0
2025-07,-188.0,-1847.0,-1221.0
2025-08,-330.0,3724.0,583.0
2025-09,1220.0,-2377.0,-288.0
2025-10,-1668.0,-3993.0,-310.0
2025-11,-4431.0,-2849.0,-105.0
2025-12,139.0,47.0,-1724.0
2026-01,-2144.0,-4948.0,189.0
2026-02,384.0,-3049.0,810.0
2026-03,1659.0,-6934.0,235.0
2026-04,2608.0,-387.0,1866.0
2026-05,1958.0,-4585.0,697.0
2026-06,-2361.0,-7709.0,-1168.0
2026-07,915.0,-2907.0,1503.0
2026-08,-1712.0,304.0,1236.0
2026-09,-195.0,1246.0,128.0
