book,vix_bucket,pnl,n,win_pct,avg
ic_condor,<15,-3553.12,1076,81.23,-3.31
ic_condor,15-20,-13946.7,1972,79.46,-7.08
ic_condor,20-25,2464.96,768,82.42,3.22
ic_condor,25-30,-1301.56,356,79.49,-3.72
ic_condor,30+,-8612.02,148,75.68,-58.99
fly,<15,-30587.34,1076,35.22,-28.48
fly,15-20,-74927.94,1978,34.02,-38.02
fly,20-25,-34534.88,768,31.38,-45.14
fly,25-30,-39106.54,356,26.97,-110.78
fly,30+,-21678.9,148,25.68,-146.48
puts_credit_band,<15,3396.78,181,90.06,18.77
puts_credit_band,15-20,-4834.28,388,89.18,-12.46
puts_credit_band,20-25,11289.5,166,94.58,68.01
puts_credit_band,25-30,4874.46,75,93.33,64.99
puts_credit_band,30+,207.64,33,90.91,6.29
