strat,n,cr_live,cr_bt,d_cr,pnl_live,pnl_bt,d_pnl,win_live,win_bt,pf_live,pf_bt,exp_live,exp_bt
eodfly_c,17,173.95,177.2,-3.25,-104,175,-279,41.2,58.8,0.95,1.08,-6.1,10.3
eodfly_p,17,131.5,136.45,-4.95,-520,275,-795,47.1,52.9,0.82,1.13,-30.6,16.2
eodic_c,10,7.9,7.85,0.05,764,752,12,100.0,100.0,,,76.4,75.2
eodic_p,15,8.25,9.0,-0.75,786,828,-42,100.0,100.0,,,52.4,55.2
openfly_c,18,153.9,162.05,-8.15,2714,452,2262,44.4,33.3,2.25,1.15,150.8,25.1
openfly_p,18,146.0,135.7,10.3,1394,-726,2120,38.9,22.2,1.83,0.7,77.5,-40.3
openic_c,7,1.5,1.3,0.2,132,107,25,100.0,100.0,,,18.8,15.3
openic_p,16,6.35,5.95,0.4,593,543,50,100.0,100.0,,,37.1,33.9
