month,pnl
2022-05,-3246.9999999999995
2022-06,-4019.7399999999993
2022-07,2463.12
2022-08,1930.7400000000005
2022-09,2094.7800000000007
2022-10,-2371.2199999999993
2022-11,2070.5600000000004
2022-12,-865.4799999999996
2023-01,-2109.9199999999996
2023-02,2244.6400000000003
2023-03,-3131.5599999999995
2023-04,-1180.7999999999997
2023-05,1320.3000000000004
2023-06,883.5600000000002
2023-07,1332.9
2023-08,-1427.5199999999995
2023-09,293.12000000000035
2023-10,-629.4799999999993
2023-11,316.8200000000001
2023-12,-2282.8799999999997
2024-01,806.0800000000003
2024-02,-445.8799999999999
2024-03,1110.64
2024-04,-6636.78
2024-05,840.3000000000002
2024-06,2155.9400000000005
2024-07,-5661.78
2024-08,-4709.259999999999
2024-09,1226.3800000000003
2024-10,-1017.9599999999999
2024-11,1960.94
2024-12,-5043.179999999999
2025-01,3059.42
2025-02,-801.06
2025-03,-1902.739999999999
2025-04,-7507.299999999999
2025-05,5081.38
2025-06,2997.68
2025-07,-188.39999999999998
2025-08,-330.1399999999998
2025-09,1219.6399999999999
2025-10,-3334.2799999999997
