marked_at,day,a_idx,a_time,a_price,a_cvd,b_idx,b_time,b_price,b_cvd,kind,reveal_idx,note
2026-07-17T22:06:49Z,2026-07-13,0,08:30,7594.5,-157.0,4,08:50,7590.25,-99.0,reg_bull,4,
2026-07-17T22:10:26Z,2026-07-13,9,09:15,7573.5,-1048.0,15,09:45,7580.75,-2963.0,hid_bull,58,
