day,time,setup,dir,lag,lag_ok,entry,stop_mode,stop,risk_pts,mgmt,result,r
2026-07-13,08:35,fade2,short,88,False,7604.5,sb,7607.75,3.25,2R,target,2.0
2026-07-13,08:35,fade2,short,88,False,7604.5,sb,7607.75,3.25,3R,target,3.0
2026-07-13,08:35,fade2,short,88,False,7604.5,sb,7607.75,3.25,2R+BE,be,-0.0
2026-07-13,08:35,fade2,short,88,False,7604.5,sb,7607.75,3.25,trail,trail,0.46
2026-07-13,08:35,fade2,short,88,False,7604.5,struct,7609.0,4.5,2R,target,2.0
2026-07-13,08:35,fade2,short,88,False,7604.5,struct,7609.0,4.5,3R,target,3.0
2026-07-13,08:35,fade2,short,88,False,7604.5,struct,7609.0,4.5,2R+BE,be,-0.0
2026-07-13,08:35,fade2,short,88,False,7604.5,struct,7609.0,4.5,trail,trail,0.33
2026-07-13,08:35,fade2,short,88,False,7604.5,swing,7610.0,5.5,2R,target,2.0
2026-07-13,08:35,fade2,short,88,False,7604.5,swing,7610.0,5.5,3R,stop,-1.0
2026-07-13,08:35,fade2,short,88,False,7604.5,swing,7610.0,5.5,2R+BE,be,-0.0
2026-07-13,08:35,fade2,short,88,False,7604.5,swing,7610.0,5.5,trail,trail,0.27
2026-07-13,09:15,fade2,short,16,False,7600.5,sb,7604.25,3.75,2R,target,2.0
2026-07-13,09:15,fade2,short,16,False,7600.5,sb,7604.25,3.75,3R,target,3.0
2026-07-13,09:15,fade2,short,16,False,7600.5,sb,7604.25,3.75,2R+BE,target,2.0
2026-07-13,09:15,fade2,short,16,False,7600.5,sb,7604.25,3.75,trail,trail,4.33
2026-07-13,09:15,fade2,short,16,False,7600.5,struct,7610.75,10.25,2R,target,2.0
2026-07-13,09:15,fade2,short,16,False,7600.5,struct,7610.75,10.25,3R,target,3.0
2026-07-13,09:15,fade2,short,16,False,7600.5,struct,7610.75,10.25,2R+BE,target,2.0
2026-07-13,09:15,fade2,short,16,False,7600.5,struct,7610.75,10.25,trail,trail,1.59
2026-07-13,09:15,fade2,short,16,False,7600.5,swing,7610.75,10.25,2R,target,2.0
2026-07-13,09:15,fade2,short,16,False,7600.5,swing,7610.75,10.25,3R,target,3.0
2026-07-13,09:15,fade2,short,16,False,7600.5,swing,7610.75,10.25,2R+BE,target,2.0
2026-07-13,09:15,fade2,short,16,False,7600.5,swing,7610.75,10.25,trail,trail,1.59
2026-07-13,09:23,bopb,long,33,False,7591.5,sb,7586.25,5.25,2R,target,2.0
2026-07-13,09:23,bopb,long,33,False,7591.5,sb,7586.25,5.25,3R,stop,-1.0
2026-07-13,09:23,bopb,long,33,False,7591.5,sb,7586.25,5.25,2R+BE,target,2.0
2026-07-13,09:23,bopb,long,33,False,7591.5,sb,7586.25,5.25,trail,trail,1.24
2026-07-13,09:23,bopb,long,33,False,7591.5,struct,7585.0,6.5,2R,stop,-1.0
2026-07-13,09:23,bopb,long,33,False,7591.5,struct,7585.0,6.5,3R,stop,-1.0
2026-07-13,09:23,bopb,long,33,False,7591.5,struct,7585.0,6.5,2R+BE,be,0.0
2026-07-13,09:23,bopb,long,33,False,7591.5,struct,7585.0,6.5,trail,trail,1.0
2026-07-13,09:23,bopb,long,33,False,7591.5,swing,7573.25,18.25,2R,stop,-1.0
2026-07-13,09:23,bopb,long,33,False,7591.5,swing,7573.25,18.25,3R,stop,-1.0
2026-07-13,09:23,bopb,long,33,False,7591.5,swing,7573.25,18.25,2R+BE,be,0.0
2026-07-13,09:23,bopb,long,33,False,7591.5,swing,7573.25,18.25,trail,trail,0.36
2026-07-13,09:55,fade2,long,105,False,7591.75,sb,7586.0,5.75,2R,stop,-1.0
2026-07-13,09:55,fade2,long,105,False,7591.75,sb,7586.0,5.75,3R,stop,-1.0
2026-07-13,09:55,fade2,long,105,False,7591.75,sb,7586.0,5.75,2R+BE,be,0.0
2026-07-13,09:55,fade2,long,105,False,7591.75,sb,7586.0,5.75,trail,trail,0.13
2026-07-13,09:55,fade2,long,105,False,7591.75,struct,7585.75,6.0,2R,stop,-1.0
2026-07-13,09:55,fade2,long,105,False,7591.75,struct,7585.75,6.0,3R,stop,-1.0
2026-07-13,09:55,fade2,long,105,False,7591.75,struct,7585.75,6.0,2R+BE,be,0.0
2026-07-13,09:55,fade2,long,105,False,7591.75,struct,7585.75,6.0,trail,trail,0.12
2026-07-13,09:55,fade2,long,105,False,7591.75,swing,7580.5,11.25,2R,stop,-1.0
2026-07-13,09:55,fade2,long,105,False,7591.75,swing,7580.5,11.25,3R,stop,-1.0
2026-07-13,09:55,fade2,long,105,False,7591.75,swing,7580.5,11.25,2R+BE,be,0.0
2026-07-13,09:55,fade2,long,105,False,7591.75,swing,7580.5,11.25,trail,trail,0.07
2026-07-13,11:04,bopb,short,49,False,7581.75,sb,7585.0,3.25,2R,stop,-1.0
2026-07-13,11:04,bopb,short,49,False,7581.75,sb,7585.0,3.25,3R,stop,-1.0
2026-07-13,11:04,bopb,short,49,False,7581.75,sb,7585.0,3.25,2R+BE,stop,-1.0
2026-07-13,11:04,bopb,short,49,False,7581.75,sb,7585.0,3.25,trail,stop,-1.0
2026-07-13,11:04,bopb,short,49,False,7581.75,struct,7588.25,6.5,2R,stop,-1.0
2026-07-13,11:04,bopb,short,49,False,7581.75,struct,7588.25,6.5,3R,stop,-1.0
2026-07-13,11:04,bopb,short,49,False,7581.75,struct,7588.25,6.5,2R+BE,stop,-1.0
2026-07-13,11:04,bopb,short,49,False,7581.75,struct,7588.25,6.5,trail,stop,-1.0
2026-07-13,11:04,bopb,short,49,False,7581.75,swing,7596.75,15.0,2R,target,2.0
2026-07-13,11:04,bopb,short,49,False,7581.75,swing,7596.75,15.0,3R,flat_time,1.28
2026-07-13,11:04,bopb,short,49,False,7581.75,swing,7596.75,15.0,2R+BE,target,2.0
2026-07-13,11:04,bopb,short,49,False,7581.75,swing,7596.75,15.0,trail,trail,0.08
2026-07-13,14:38,fade2,long,73,False,7554.75,sb,7552.0,2.75,2R,target,2.0
2026-07-13,14:38,fade2,long,73,False,7554.75,sb,7552.0,2.75,3R,target,3.0
2026-07-13,14:38,fade2,long,73,False,7554.75,sb,7552.0,2.75,2R+BE,target,2.0
2026-07-13,14:38,fade2,long,73,False,7554.75,sb,7552.0,2.75,trail,trail,2.0
2026-07-13,14:38,fade2,long,73,False,7554.75,struct,7551.5,3.25,2R,target,2.0
2026-07-13,14:38,fade2,long,73,False,7554.75,struct,7551.5,3.25,3R,target,3.0
2026-07-13,14:38,fade2,long,73,False,7554.75,struct,7551.5,3.25,2R+BE,target,2.0
2026-07-13,14:38,fade2,long,73,False,7554.75,struct,7551.5,3.25,trail,trail,1.69
2026-07-13,14:38,fade2,long,73,False,7554.75,swing,7550.75,4.0,2R,target,2.0
2026-07-13,14:38,fade2,long,73,False,7554.75,swing,7550.75,4.0,3R,target,3.0
2026-07-13,14:38,fade2,long,73,False,7554.75,swing,7550.75,4.0,2R+BE,target,2.0
2026-07-13,14:38,fade2,long,73,False,7554.75,swing,7550.75,4.0,trail,trail,1.38
