day,t5,Open,Close,High,Low,delta,vol,poc,hi_minfrac,lo_minfrac,cvd,kind,delta_flip,delta_close_mismatch,churn_absorption,cvd_div_local,vol_climax,finished_rej,rng,close_pos,wick_up,wick_dn,delta3,px_prog3,cvd_d1,cvd_kink,dist_mq,ERD,CVDkink,Trapped,WickRej,ExhPulse,LvlDiv,TurnScore
2026-07-13,2026-07-13 08:30:00,7595.5,7605.75,7609.75,7594.5,1866,34000,7606.75,0.0,0.0,1866,control,0,0,1,1,1,,15.25,0.7377049180327869,0.26229508196721313,0.06557377049180328,1866.0,,,,17.0,0,0,0,0,0,0,3.2
2026-07-13,2026-07-13 08:35:00,7605.75,7602.75,7608.75,7601.0,464,20000,7605.75,0.0,0.0,2330,control,0,1,1,0,0,,7.75,0.22580645161290322,0.3870967741935484,0.22580645161290322,2330.0,,464.0,,29.0,0,0,0,0,0,0,0.0
2026-07-13,2026-07-13 08:40:00,7602.75,7595.75,7602.75,7595.0,-1820,24000,7600.25,0.0,0.0,510,control,1,0,1,0,0,,7.75,0.0967741935483871,0.0,0.0967741935483871,510.0,,-1820.0,2284.0,43.0,0,1,0,0,0,0,0.0
2026-07-13,2026-07-13 08:45:00,7595.75,7598.75,7602.25,7593.75,10,20000,7599.25,0.0,0.2142857142857142,520,control,1,0,1,0,0,,8.5,0.5882352941176471,0.4117647058823529,0.23529411764705882,-1346.0,-28.0,10.0,1830.0,45.0,0,1,0,0,0,0,0.0
2026-07-13,2026-07-13 08:50:00,7598.75,7597.75,7600.5,7590.25,-65,17999,7593.0,0.0,0.2727272727272727,455,LOW,1,0,1,0,0,0.0,10.25,0.7317073170731707,0.17073170731707318,0.7317073170731707,-1875.0,-20.0,-65.0,75.0,21.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 08:55:00,7597.75,7607.5,7608.75,7597.0,1251,16001,7607.5,0.0,0.3068181818181818,1706,control,1,0,1,0,0,,11.75,0.8936170212765957,0.10638297872340426,0.06382978723404255,1196.0,47.0,1251.0,1316.0,10.0,0,1,0,0,0,0,0.0
2026-07-13,2026-07-13 09:00:00,7607.5,7599.5,7610.5,7597.5,-220,24000,7601.5,0.0,0.3380281690140845,1486,HIGH,1,0,1,1,0,1.0,13.0,0.15384615384615385,0.23076923076923078,0.15384615384615385,966.0,3.0,-220.0,1471.0,2.0,0,1,0,0,0,1,2.8
2026-07-13,2026-07-13 09:05:00,7599.5,7599.75,7601.25,7593.5,794,14000,7596.75,0.1458333333333333,0.0,2280,control,1,0,1,0,0,,7.75,0.8064516129032258,0.1935483870967742,0.7741935483870968,1825.0,8.0,794.0,1014.0,41.0,0,0,0,1,0,0,1.0
2026-07-13,2026-07-13 09:10:00,7599.75,7603.25,7604.75,7598.25,1168,12000,7602.25,0.2307692307692307,0.0,3448,control,0,0,0,0,0,,6.5,0.7692307692307693,0.23076923076923078,0.23076923076923078,1742.0,-17.0,1168.0,374.0,27.0,1,0,0,0,0,0,0.6
2026-07-13,2026-07-13 09:15:00,7603.25,7590.25,7604.0,7573.5,-3588,44000,7584.75,0.0,0.0,-140,LOW,1,0,0,1,1,1.0,30.5,0.5491803278688525,0.02459016393442623,0.5491803278688525,-1626.0,-37.0,-3588.0,4756.0,46.0,0,1,0,1,1,0,5.0
