date,bar,event,side,minor_tag,disp,is_major,major_lab,promoted_at,confirm_bar,confirm_i,is_ob,ob_kind,ob_dir,ref_bar,price
2022-04-12,1,seed,H,,,,,,,,,,,,5265.0
2022-04-12,1,seed,L,,,,,,,,,,,,5256.25
2022-04-12,2,seed,H,,,,,,,,,,,,5273.5
2022-04-12,4,seed,H,,,,,,,,,,,,5279.75
2022-04-12,5,pivot,H,hh,H,1,H,10,7,,0,up,,,5290.25
2022-04-12,8,pivot,L,hl,hl,1,LL,10,9,,0,down,,,5274.25
2022-04-12,10,pivot,H,lh,lh,1,LH,10,10,i,1,OB U-first,U,,5282.25
2022-04-12,10,start,bear,,,,,,,,,,,8,5274.25
2022-04-12,13,pivot,L,ll,ll,1,LL,14,14,,0,down,,,5265.5
2022-04-12,14,pivot,H,lh,lh,1,LH,14,14,i,1,OB U-first,U,,5271.5
2022-04-12,15,pivot,L,ll,ll,1,LL,16,16,,0,down,,,5259.75
2022-04-12,16,pivot,H,lh,lh,1,LH,16,16,i,1,OB U-first,U,,5265.0
2022-04-12,17,pivot,L,ll,ll,1,LL,18,18,,0,down,,,5254.75
2022-04-12,18,pivot,H,lh,lh,0,,,19,,0,up,,,5261.25
2022-04-12,19,pivot,L,dl,dl,0,,,19,i,1,OB D-first,D,,5254.75
2022-04-12,22,term,bear,,,,,,,,,,,16,5265.0
2022-04-12,25,pivot,H,hh,hh,1,HH,31,26,,0,up,,,5278.25
2022-04-12,29,pivot,L,hl,hl,1,LL,31,30,,0,down,,,5266.5
2022-04-12,30,pivot,H,lh,lh,1,LH,31,31,,0,up,,,5273.25
2022-04-12,31,start,bear,,,,,,,,,,,29,5266.5
2022-04-12,33,pivot,L,ll,ll,1,LL,34,34,,0,down,,,5257.75
2022-04-12,34,pivot,H,lh,lh,1,LH,35,35,,0,up,,,5268.75
2022-04-12,36,pivot,L,ll,ll,1,LL,38,38,,0,down,,,5249.0
2022-04-12,38,pivot,H,lh,lh,1,LH,39,39,,1,OB D-first,D,,5254.0
2022-04-12,40,pivot,L,ll,ll,1,LL,41,41,,0,down,,,5245.0
2022-04-12,41,pivot,H,hh,hh,0,,,43,,0,up,,,5256.5
2022-04-12,41,term,bear,,,,,,,,,,,38,5254.0
2022-04-12,43,pivot,L,ll,ll,0,,,45,,1,OB U-first,U,,5244.25
2022-04-12,47,pivot,H,hh,hh,1,HH,50,48,,0,up,,,5259.5
2022-04-12,49,pivot,L,hl,hl,1,LL,50,50,,0,down,,,5245.0
2022-04-12,50,pivot,H,lh,lh,1,LH,50,50,i,1,OB U-first,U,,5252.0
2022-04-12,50,start,bear,,,,,,,,,,,49,5245.0
2022-04-12,55,pivot,L,ll,ll,1,LL,55,55,i,1,OB D-first,D,,5224.75
2022-04-12,56,pivot,H,lh,lh,1,LH,57,57,,0,up,,,5236.0
2022-04-12,61,pivot,L,ll,ll,1,LL,62,62,,0,down,,,5212.5
2022-04-12,62,pivot,H,lh,lh,0,,,63,,0,up,,,5222.75
2022-04-12,63,pivot,L,hl,hl,0,,,64,,0,down,,,5214.25
2022-04-12,66,pivot,H,hh,hh,1,LH,67,67,,0,up,,,5225.5
2022-04-12,69,pivot,L,ll,ll,1,LL,71,71,,0,down,,,5201.5
2022-04-12,71,pivot,H,lh,lh,1,LH,72,72,,0,up,,,5212.25
2022-04-12,72,pivot,L,ll,ll,1,LL,74,74,,0,down,,,5199.0
2022-04-12,74,term,bear,,,,,,,,,,,71,5212.25
2022-04-12,75,pivot,H,hh,hh,1,HH,76,76,,0,up,,,5215.25
2022-04-12,76,pivot,L,hl,hl,1,HL,76,76,i,1,OB D-first,D,,5206.25
2022-04-12,76,start,bull,,,,,,,,,,,75,5215.25
2022-04-12,78,pivot,H,hh,hh,1,HH,79,79,,0,up,,,5220.75
2022-04-12,79,pivot,L,hl,hl,1,HL,80,80,,0,down,,,5211.25
