t,o,h,l,c,v
2026-07-09 18:08:00-05:00,7588.0,7588.75,7588.0,7588.5,46.0
2026-07-09 18:09:00-05:00,7588.75,7589.25,7588.25,7589.0,89.0
2026-07-09 18:10:00-05:00,7589.25,7589.25,7588.5,7588.75,90.0
2026-07-09 18:11:00-05:00,7588.5,7589.0,7588.25,7588.5,25.0
2026-07-09 18:12:00-05:00,7588.75,7589.0,7588.5,7588.5,35.0
2026-07-09 18:13:00-05:00,7589.0,7589.75,7589.0,7589.5,70.0
2026-07-09 18:14:00-05:00,7589.5,7589.5,7589.0,7589.25,67.0
2026-07-09 18:15:00-05:00,7589.5,7589.5,7588.75,7588.75,45.0
2026-07-09 18:16:00-05:00,7588.75,7589.0,7588.0,7588.75,28.0
2026-07-09 18:17:00-05:00,7589.0,7589.0,7588.5,7588.75,19.0
2026-07-09 18:18:00-05:00,7588.5,7589.0,7588.25,7589.0,24.0
2026-07-09 18:19:00-05:00,7589.25,7590.0,7589.25,7589.75,116.0
2026-07-09 18:20:00-05:00,7589.5,7590.0,7589.0,7589.0,127.0
2026-07-09 18:21:00-05:00,7589.0,7589.75,7589.0,7589.5,48.0
2026-07-09 18:22:00-05:00,7589.75,7589.75,7589.0,7589.5,46.0
2026-07-09 18:23:00-05:00,7589.25,7590.25,7589.25,7590.0,48.0
2026-07-09 18:24:00-05:00,7590.0,7591.5,7590.0,7590.75,221.0
2026-07-09 18:25:00-05:00,7590.5,7591.5,7590.5,7591.0,103.0
2026-07-09 18:26:00-05:00,7590.75,7591.25,7590.75,7591.0,40.0
2026-07-09 18:27:00-05:00,7591.0,7591.25,7591.0,7591.0,38.0
2026-07-09 18:28:00-05:00,7591.0,7591.75,7591.0,7591.25,62.0
2026-07-09 18:29:00-05:00,7591.5,7591.5,7591.25,7591.25,32.0
2026-07-09 18:30:00-05:00,7591.5,7591.75,7590.0,7590.5,116.0
2026-07-09 18:31:00-05:00,7590.25,7591.0,7590.25,7590.75,43.0
2026-07-09 18:32:00-05:00,7590.75,7591.25,7590.75,7591.0,25.0
2026-07-09 18:33:00-05:00,7591.0,7591.0,7590.25,7590.5,53.0
2026-07-09 18:34:00-05:00,7590.75,7591.0,7589.75,7590.0,61.0
2026-07-09 18:35:00-05:00,7590.0,7590.5,7590.0,7590.5,30.0
2026-07-09 18:36:00-05:00,7590.75,7590.75,7590.25,7590.75,62.0
2026-07-09 18:37:00-05:00,7590.5,7590.75,7590.5,7590.75,27.0
2026-07-09 18:38:00-05:00,7590.75,7590.75,7590.25,7590.5,37.0
2026-07-09 18:39:00-05:00,7590.75,7591.0,7590.75,7590.75,39.0
2026-07-09 18:40:00-05:00,7590.75,7591.0,7590.25,7590.25,18.0
