date,spot,cr,ps,hvl,cr0,ps0,hvl0,gw0,d1_min,d1_max,gex_1,gex_2,gex_3,gex_4,gex_5,gex_6,gex_7,gex_8,gex_9,gex_10,source
2025-07-01,,6200.0,5500.0,6095.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-02,,6300.0,5600.0,6095.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-03,,6300.0,5600.0,6040.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-07,,6500.0,5500.0,6145.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-08,,6300.0,5500.0,6170.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-09,,6300.0,5700.0,6145.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-10,,6300.0,5700.0,6145.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-11,,6300.0,5700.0,6195.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-14,,6300.0,5500.0,6195.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-15,,6300.0,5700.0,6195.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-16,,6300.0,5700.0,6195.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-17,,6300.0,6050.0,6195.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-18,,6400.0,6050.0,6265.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-21,,6500.0,6100.0,6270.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-22,,6500.0,6100.0,6270.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-23,,6400.0,6100.0,6270.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-24,,6400.0,6100.0,6290.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-25,,6500.0,5800.0,6285.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-28,,6500.0,5800.0,6290.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-29,,6500.0,6100.0,6345.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-30,,6500.0,6300.0,6345.0,,,,,,,,,,,,,,,,,quin_backfill
2025-07-31,,6500.0,6300.0,6345.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-01,,6500.0,6200.0,6345.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-04,,6500.0,6000.0,6290.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-05,,6500.0,6200.0,6315.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-06,,6500.0,6000.0,6315.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-07,,6400.0,6200.0,6315.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-08,,6400.0,6000.0,6335.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-11,,6500.0,6200.0,6345.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-12,,6500.0,6000.0,6345.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-13,,6500.0,6000.0,6345.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-14,,6500.0,6000.0,6395.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-15,,6500.0,6000.0,6395.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-18,,6500.0,6000.0,6445.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-19,,6500.0,6300.0,6445.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-20,,6500.0,6300.0,6445.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-21,,6500.0,6300.0,6410.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-22,,6500.0,6000.0,6395.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-25,,6500.0,6300.0,6445.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-26,,6500.0,6000.0,6445.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-27,,6500.0,6000.0,6445.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-28,,6500.0,6300.0,6445.0,,,,,,,,,,,,,,,,,quin_backfill
2025-08-29,,6600.0,6400.0,6445.0,,,,,,,,,,,,,,,,,quin_backfill
2025-09-02,,6600.0,6400.0,6450.0,,,,,,,,,,,,,,,,,quin_backfill
2025-09-03,,6600.0,6300.0,6445.0,,,,,,,,,,,,,,,,,quin_backfill
2025-09-04,,6600.0,6300.0,6445.0,,,,,,,,,,,,,,,,,quin_backfill
2025-09-05,,6600.0,6250.0,6450.0,,,,,,,,,,,,,,,,,quin_backfill
2025-09-08,,6600.0,6250.0,6450.0,,,,,,,,,,,,,,,,,quin_backfill
2025-09-09,,6600.0,6300.0,6450.0,,,,,,,,,,,,,,,,,quin_backfill
2025-09-10,,6600.0,6300.0,6450.0,,,,,,,,,,,,,,,,,quin_backfill
2025-09-11,,6600.0,6300.0,6495.0,,,,,,,,,,,,,,,,,quin_backfill
2025-09-12,,6600.0,6300.0,6495.0,,,,,,,,,,,,,,,,,quin_backfill
2025-09-15,,6650.0,6300.0,6495.0,,,,,,,,,,,,,,,,,quin_backfill
2025-09-16,,6700.0,6300.0,6495.0,,,,,,,,,,,,,,,,,quin_backfill
2025-09-17,,6600.0,6300.0,6495.0,,,,,,,,,,,,,,,,,quin_backfill
