entry,epx,exit,xpx,pts,pnl
2021-12-01,5322.75,2021-12-06,5399.5,76.75,378.75
2022-08-22,4967.25,2022-08-25,5016.25,49.0,240.0
2023-02-21,4780.5,2023-03-02,4756.75,-23.75,-123.75
2024-04-04,5728.75,2024-04-08,5784.5,55.75,273.75
2024-04-15,5626.75,2024-04-23,5637.25,10.5,47.5
2024-07-24,5943.75,2024-07-31,6029.5,85.75,423.75
2024-10-31,6145.25,2024-11-05,6222.0,76.75,378.75
2024-12-18,6261.25,2024-12-23,6369.25,108.0,535.0
2025-10-10,6775.75,2025-10-15,6885.75,110.0,545.0
2025-12-17,6905.5,2025-12-19,7000.5,95.0,470.0
2026-06-05,7429.5,2026-06-11,7468.0,38.5,187.5
