Date,year,dir,stype,reg,hour,gap,R,n1r,neod,weod
2021-08-31,2021,S,Trap,NEUTRAL,13,0.038,2.5,107.5,-142.5,-317.5
2021-08-31,2021,S,Trap,NEUTRAL,14,0.038,5.25,-280.0,-280.0,-442.5
2021-08-31,2021,L,Trap,NEUTRAL,14,0.038,5.25,245.0,257.5,257.5
2021-09-01,2021,S,Trap,BEAR,10,0.061,4.0,-217.5,-217.5,-492.5
2021-09-01,2021,L,IB,BEAR,10,0.061,3.25,145.0,-180.0,-180.0
2021-09-01,2021,L,Trap,BEAR,14,0.061,4.25,-230.0,-230.0,-117.5
2021-09-01,2021,L,Trap,NEUTRAL,15,0.061,5.0,7.5,7.5,7.5
2021-09-02,2021,L,OB,NEUTRAL,09,0.23,4.75,-255.0,-255.0,-417.5
2021-09-02,2021,L,IB,BULL,10,0.23,3.75,-205.0,-205.0,-417.5
2021-09-02,2021,L,IB,NEUTRAL,12,0.23,3.0,-167.5,-167.5,-417.5
2021-09-02,2021,S,Trap,NEUTRAL,12,0.23,2.5,107.5,7.5,7.5
2021-09-02,2021,L,BO,BULL,15,0.23,10.0,-30.0,-30.0,-30.0
