Date,year,dir,stype,reg,hour,gap,R,n1r,neod,weod
2021-07-02,2021,L,IB,BULL,10,0.279,2.0,82.5,732.5,732.5
2021-07-02,2021,L,IB,BULL,12,0.279,3.25,145.0,7.5,7.5
2021-07-06,2021,L,OB,NEUTRAL,10,0.039,9.25,-480.0,-480.0,-292.5
2021-07-07,2021,L,Trap,NEUTRAL,09,0.234,6.25,-330.0,-330.0,-292.5
2021-07-07,2021,L,Trap,NEUTRAL,13,0.234,4.5,207.5,107.5,107.5
2021-07-08,2021,L,Trap,BEAR,09,1.112,9.5,457.5,932.5,-317.5
2021-07-08,2021,S,Trap,BULL,12,1.112,4.25,195.0,470.0,470.0
2021-07-08,2021,L,Trap,NEUTRAL,14,1.112,6.0,282.5,-317.5,-317.5
2021-07-08,2021,S,BO,NEUTRAL,14,1.112,6.75,-355.0,-355.0,-317.5
2021-07-12,2021,S,Trap,BULL,10,0.005,1.75,70.0,-105.0,-392.5
2021-07-12,2021,S,BO,BULL,12,0.005,2.5,-142.5,-142.5,-392.5
2021-07-12,2021,S,Trap,BULL,13,0.005,2.0,-117.5,-117.5,-130.0
2021-07-12,2021,S,OB,BULL,14,0.005,2.25,-130.0,-130.0,-92.5
2021-07-13,2021,L,IB,BEAR,13,0.174,7.25,-380.0,-380.0,-405.0
2021-07-14,2021,L,BO,BEAR,09,0.354,6.0,-317.5,-317.5,-417.5
2021-07-14,2021,L,BO,BEAR,11,0.354,10.75,520.0,132.5,132.5
2021-07-14,2021,S,IB,BEAR,12,0.354,5.0,-267.5,-267.5,-417.5
2021-07-14,2021,S,IB,BULL,13,0.354,2.75,-155.0,-155.0,182.5
2021-07-15,2021,L,IB,BEAR,09,0.29,0.25,-30.0,-30.0,-442.5
2021-07-15,2021,S,Trap,BULL,10,0.29,3.5,157.5,357.5,357.5
2021-07-15,2021,L,BO,BEAR,13,0.29,6.5,307.5,432.5,432.5
2021-07-16,2021,L,Trap,BEAR,10,0.335,5.75,-305.0,-305.0,-455.0
2021-07-16,2021,L,OB,BEAR,10,0.335,3.5,-192.5,-192.5,-455.0
2021-07-16,2021,S,OB,NEUTRAL,11,0.335,3.0,132.5,1470.0,1470.0
2021-07-16,2021,L,Trap,BEAR,12,0.335,3.75,-205.0,-205.0,-455.0
2021-07-16,2021,S,BO,NEUTRAL,12,0.335,8.25,395.0,1132.5,1132.5
2021-07-16,2021,L,Trap,BEAR,14,0.335,7.75,-405.0,-405.0,-455.0
2021-07-19,2021,L,IB,BEAR,09,0.939,9.25,445.0,-480.0,-492.5
2021-07-19,2021,L,Trap,BULL,09,0.939,15.25,-780.0,-780.0,-492.5
2021-07-19,2021,S,Trap,BULL,11,0.939,5.0,232.5,-67.5,-67.5
2021-07-19,2021,S,OB,BEAR,13,0.939,12.0,-617.5,-617.5,-492.5
2021-07-19,2021,S,Trap,BULL,14,0.939,12.25,-630.0,-630.0,-492.5
2021-07-20,2021,S,Trap,NEUTRAL,11,0.134,4.25,-230.0,-230.0,-555.0
2021-07-20,2021,S,OB,NEUTRAL,12,0.134,9.0,-467.5,-467.5,-555.0
2021-07-20,2021,L,Trap,BEAR,12,0.134,2.75,-155.0,-155.0,157.5
2021-07-20,2021,L,OB,NEUTRAL,13,0.134,7.75,370.0,-42.5,-42.5
2021-07-20,2021,S,Trap,BEAR,13,0.134,2.75,-155.0,-155.0,70.0
2021-07-20,2021,S,Trap,BEAR,14,0.134,0.5,-42.5,-42.5,145.0
2021-08-02,2021,L,Trap,BEAR,09,0.072,8.75,-455.0,-455.0,-580.0
2021-08-02,2021,L,Trap,NEUTRAL,10,0.072,3.75,-205.0,-205.0,-580.0
2021-08-02,2021,S,IB,BEAR,12,0.072,3.25,145.0,482.5,482.5
2021-08-09,2021,S,IB,NEUTRAL,12,0.868,0.75,-55.0,-55.0,-42.5
2021-08-09,2021,S,Trap,NEUTRAL,13,0.868,2.25,95.0,145.0,145.0
2021-08-09,2021,L,Trap,NEUTRAL,14,0.868,4.5,-242.5,-242.5,-217.5
2021-08-09,2021,L,BO,NEUTRAL,15,0.868,4.5,-117.5,-117.5,-117.5
2021-08-10,2021,S,OB,NEUTRAL,09,0.067,7.5,357.5,120.0,120.0
2021-08-10,2021,S,Trap,BULL,11,0.067,2.25,-130.0,-130.0,307.5
2021-08-10,2021,S,OB,NEUTRAL,11,0.067,3.75,170.0,270.0,270.0
2021-08-10,2021,L,Trap,NEUTRAL,13,0.067,4.0,-217.5,-217.5,-230.0
2021-08-11,2021,L,Trap,BEAR,09,0.273,3.25,-180.0,-180.0,7.5
2021-08-11,2021,S,OB,BULL,12,0.273,2.25,-130.0,-130.0,-205.0
2021-08-11,2021,S,IB,BULL,13,0.273,3.25,-180.0,-180.0,-255.0
2021-08-11,2021,S,BO,NEUTRAL,14,0.273,1.5,57.5,-92.5,-42.5
2021-08-16,2021,S,IB,NEUTRAL,11,0.177,2.75,-155.0,-155.0,-505.0
2021-08-16,2021,S,IB,BULL,13,0.177,2.75,-155.0,-155.0,-505.0
2021-08-16,2021,S,Trap,BULL,14,0.177,2.0,-117.5,-117.5,-505.0
2021-08-17,2021,S,Trap,BULL,10,0.536,7.5,357.5,370.0,370.0
2021-08-17,2021,L,OB,BEAR,12,0.536,12.0,582.5,707.5,707.5
2021-08-17,2021,S,BO,BEAR,13,0.536,8.75,-455.0,-455.0,-530.0
2021-08-18,2021,S,BO,BULL,09,0.1,5.75,270.0,2395.0,2395.0
2021-08-18,2021,L,Trap,BULL,10,0.1,1.75,70.0,-105.0,-542.5
2021-08-18,2021,S,OB,BEAR,12,0.1,3.25,-180.0,-180.0,-542.5
2021-08-18,2021,S,Trap,NEUTRAL,13,0.1,19.0,932.5,1582.5,-542.5
2021-08-19,2021,L,OB,NEUTRAL,10,0.554,19.75,-1005.0,-1005.0,-555.0
2021-08-19,2021,S,OB,BULL,12,0.554,7.5,357.5,-392.5,32.5
2021-08-19,2021,L,Trap,BEAR,13,0.554,11.5,557.5,732.5,732.5
2021-08-19,2021,L,Trap,NEUTRAL,15,0.554,10.5,-117.5,-117.5,-117.5
2021-08-20,2021,S,Trap,NEUTRAL,09,0.024,6.5,-342.5,-342.5,-555.0
2021-08-20,2021,L,OB,BEAR,10,0.024,3.5,157.5,-192.5,345.0
2021-08-20,2021,L,Trap,NEUTRAL,11,0.024,6.75,320.0,207.5,207.5
2021-08-20,2021,S,Trap,NEUTRAL,11,0.024,3.5,-192.5,-192.5,-555.0
2021-08-20,2021,S,IB,BULL,12,0.024,2.25,95.0,-130.0,107.5
2021-08-20,2021,L,BO,BULL,13,0.024,3.5,-192.5,-192.5,-5.0
2021-08-20,2021,L,IB,BULL,14,0.024,4.25,195.0,95.0,95.0
2021-08-20,2021,S,Trap,NEUTRAL,15,0.024,4.25,82.5,82.5,82.5
2021-08-23,2021,S,IB,BULL,10,0.396,2.25,-130.0,-130.0,-30.0
2021-08-23,2021,S,BO,NEUTRAL,12,0.396,5.25,245.0,70.0,70.0
2021-08-23,2021,L,IB,NEUTRAL,12,0.396,3.5,157.5,-192.5,-130.0
2021-08-24,2021,L,IB,NEUTRAL,10,0.076,2.75,-155.0,-155.0,-255.0
2021-08-24,2021,L,IB,BEAR,11,0.076,0.75,20.0,-55.0,-55.0
2021-08-24,2021,L,IB,BULL,13,0.076,2.25,-130.0,-130.0,-342.5
2021-08-24,2021,S,IB,BULL,14,0.076,1.25,-80.0,-80.0,270.0
2021-08-25,2021,S,Trap,BULL,09,0.066,2.5,-142.5,-142.5,-505.0
2021-08-25,2021,L,OB,BULL,12,0.066,1.5,-92.5,-92.5,-130.0
2021-08-25,2021,S,Trap,BEAR,13,0.066,3.25,-180.0,-180.0,-55.0
2021-08-26,2021,L,BO,NEUTRAL,10,0.071,14.0,-717.5,-717.5,-505.0
2021-08-26,2021,L,Trap,NEUTRAL,12,0.071,4.75,-255.0,-255.0,-505.0
2021-08-26,2021,L,IB,BEAR,14,0.071,5.25,-142.5,-142.5,-142.5
2021-08-27,2021,L,IB,BULL,10,0.128,5.75,270.0,120.0,120.0
2021-08-27,2021,S,Trap,BULL,14,0.128,2.5,-142.5,-142.5,107.5
2021-08-27,2021,S,Trap,NEUTRAL,15,0.128,5.0,20.0,20.0,20.0
2021-08-30,2021,L,IB,BULL,14,0.17,2.75,-155.0,-155.0,-292.5
2021-08-31,2021,S,Trap,NEUTRAL,10,0.038,1.75,-105.0,-105.0,7.5
2021-08-31,2021,L,OB,NEUTRAL,11,0.038,3.25,-180.0,-180.0,-530.0
2021-08-31,2021,L,Trap,NEUTRAL,12,0.038,4.0,-217.5,-217.5,207.5
