Time,price,bid,ask,recorder,isasktrade,at_bid,at_ask,inside
2026-09-16 08:30:00.031,7676.5,7676.25,7676.5,B,A,False,True,False
2026-09-16 08:30:00.031,7676.5,7676.25,7676.5,B,A,False,True,False
2026-09-16 08:30:00.033,7676.5,7676.5,7676.75,A,B,True,False,False
2026-09-16 08:30:00.033,7676.5,7676.5,7676.75,A,B,True,False,False
2026-09-16 08:30:00.033,7676.5,7676.5,7676.75,A,B,True,False,False
2026-09-16 08:30:00.033,7676.5,7676.25,7676.5,B,A,False,True,False
2026-09-16 08:30:00.033,7676.5,7676.25,7676.5,B,A,False,True,False
2026-09-16 08:30:00.033,7676.5,7676.25,7676.5,B,A,False,True,False
2026-09-16 08:30:00.033,7676.5,7676.25,7676.5,B,A,False,True,False
2026-09-16 08:30:00.045,7676.25,7676.0,7676.25,B,A,False,True,False
2026-09-16 08:30:00.045,7676.25,7676.0,7676.25,B,A,False,True,False
2026-09-16 08:30:00.045,7676.25,7676.0,7676.25,B,A,False,True,False
2026-09-16 08:30:00.045,7676.25,7676.0,7676.25,B,A,False,True,False
2026-09-16 08:30:00.047,7676.0,7676.25,7676.5,A,B,True,False,False
2026-09-16 08:30:00.047,7676.0,7676.25,7676.0,B,A,True,True,False
2026-09-16 08:30:00.047,7676.0,7676.25,7676.0,B,A,True,True,False
2026-09-16 08:30:00.047,7676.0,7676.0,7676.0,B,A,True,True,False
2026-09-16 08:30:00.047,7676.0,7676.0,7676.0,B,A,True,True,False
2026-09-16 08:30:00.047,7676.0,7676.0,7676.0,B,A,True,True,False
2026-09-16 08:30:00.047,7676.0,7676.0,7676.0,B,A,True,True,False
2026-09-16 08:30:00.047,7676.0,7676.0,7676.0,B,A,True,True,False
2026-09-16 08:30:00.047,7676.0,7676.0,7676.0,B,A,True,True,False
2026-09-16 08:30:00.048,7676.0,7676.0,7676.25,A,B,True,False,False
2026-09-16 08:30:00.048,7676.0,7676.0,7676.25,A,B,True,False,False
2026-09-16 08:30:00.048,7676.0,7676.0,7676.25,A,B,True,False,False
2026-09-16 08:30:00.057,7676.0,7676.0,7676.0,B,A,True,True,False
2026-09-16 08:30:00.133,7677.0,7676.75,7677.0,B,A,False,True,False
2026-09-16 08:30:00.133,7677.0,7676.75,7677.0,B,A,False,True,False
2026-09-16 08:30:00.133,7677.0,7676.75,7677.0,B,A,False,True,False
2026-09-16 08:30:00.136,7676.75,7676.5,7677.0,B,A,False,False,True
2026-09-16 08:30:00.181,7676.5,7676.5,7676.75,A,B,True,False,False
2026-09-16 08:30:00.185,7676.25,7676.25,7676.25,B,A,True,True,False
2026-09-16 08:30:00.185,7676.25,7676.25,7676.25,B,A,True,True,False
2026-09-16 08:30:00.185,7676.25,7676.25,7676.5,A,B,True,False,False
2026-09-16 08:30:00.203,7676.5,7676.25,7676.5,B,A,False,True,False
2026-09-16 08:30:00.203,7676.5,7676.25,7676.5,B,A,False,True,False
2026-09-16 08:30:00.237,7676.25,7676.25,7676.25,B,A,True,True,False
2026-09-16 08:30:00.237,7676.25,7676.25,7676.25,B,A,True,True,False
2026-09-16 08:30:00.237,7676.25,7676.25,7676.25,B,A,True,True,False
2026-09-16 08:30:00.237,7676.25,7676.25,7676.25,B,A,True,True,False
2026-09-16 08:30:00.237,7676.25,7676.25,7676.25,B,A,True,True,False
2026-09-16 08:30:00.237,7676.25,7676.25,7676.25,B,A,True,True,False
2026-09-16 08:30:00.237,7676.25,7676.25,7676.25,B,A,True,True,False
2026-09-16 08:30:00.237,7676.25,7676.25,7676.25,B,A,True,True,False
2026-09-16 08:30:00.255,7676.0,7675.75,7676.25,A,B,False,False,True
2026-09-16 08:30:00.255,7676.0,7675.75,7676.25,A,B,False,False,True
2026-09-16 08:30:00.339,7675.5,7675.25,7675.5,B,A,False,True,False
2026-09-16 08:30:00.339,7675.5,7675.5,7675.75,A,B,True,False,False
2026-09-16 08:30:00.339,7675.5,7675.5,7675.75,A,B,True,False,False
2026-09-16 08:30:00.340,7675.5,7675.25,7675.5,B,A,False,True,False
2026-09-16 08:30:00.351,7675.5,7675.5,7675.75,A,B,True,False,False
2026-09-16 08:30:00.351,7675.5,7675.5,7675.75,A,B,True,False,False
2026-09-16 08:30:00.351,7675.5,7675.5,7675.75,A,B,True,False,False
2026-09-16 08:30:00.351,7675.5,7675.5,7675.75,A,B,True,False,False
2026-09-16 08:30:00.351,7675.5,7675.5,7675.75,A,B,True,False,False
2026-09-16 08:30:00.383,7675.25,7675.0,7675.5,A,B,False,False,True
2026-09-16 08:30:00.394,7675.5,7675.25,7675.5,B,A,False,True,False
2026-09-16 08:30:00.394,7675.5,7675.5,7675.5,B,A,True,True,False
2026-09-16 08:30:00.421,7675.5,7675.25,7675.5,B,A,False,True,False
2026-09-16 08:30:00.421,7675.5,7675.5,7675.5,B,A,True,True,False
2026-09-16 08:30:00.421,7675.5,7675.5,7675.5,B,A,True,True,False
2026-09-16 08:30:00.424,7675.5,7675.5,7675.75,A,B,True,False,False
2026-09-16 08:30:00.458,7675.5,7675.25,7675.5,B,A,False,True,False
2026-09-16 08:30:00.516,7675.25,7675.25,7675.25,B,A,True,True,False
2026-09-16 08:30:00.516,7675.25,7675.25,7675.25,B,A,True,True,False
2026-09-16 08:30:00.573,7675.5,7675.5,7675.75,A,B,True,False,False
2026-09-16 08:30:00.573,7675.5,7675.5,7675.75,A,B,True,False,False
2026-09-16 08:30:00.573,7675.5,7675.5,7675.75,A,B,True,False,False
2026-09-16 08:30:00.573,7675.5,7675.5,7675.75,A,B,True,False,False
2026-09-16 08:30:00.593,7675.5,7675.25,7675.75,B,A,False,False,True
2026-09-16 08:30:00.651,7675.25,7675.0,7675.25,B,A,False,True,False
2026-09-16 08:30:00.658,7675.25,7675.25,7675.5,A,B,True,False,False
2026-09-16 08:30:00.658,7675.25,7675.25,7675.5,A,B,True,False,False
2026-09-16 08:30:00.658,7675.25,7675.25,7675.5,A,B,True,False,False
2026-09-16 08:30:00.658,7675.25,7675.25,7675.5,A,B,True,False,False
2026-09-16 08:30:00.658,7675.25,7675.25,7675.5,A,B,True,False,False
2026-09-16 08:30:00.659,7675.25,7675.25,7675.25,B,A,True,True,False
2026-09-16 08:30:00.659,7675.25,7675.25,7675.25,B,A,True,True,False
