t_start,t_end,dir,p_start,p_end,move,vol,delta,bars,vol_per_pt
2026-09-15 08:30:00,2026-09-15 08:40:00,up,7604.25,7614.75,10.5,64219,,2,6116.0
2026-09-15 08:40:00,2026-09-15 08:45:00,dn,7614.75,7608.5,-6.25,26209,,1,4193.0
2026-09-15 08:45:00,2026-09-15 08:50:00,up,7608.5,7611.75,3.25,26993,,1,8306.0
2026-09-15 08:50:00,2026-09-15 09:10:00,dn,7611.75,7594.5,-17.25,71749,,4,4159.0
2026-09-15 09:10:00,2026-09-15 09:15:00,up,7594.5,7597.0,2.5,35875,,1,14350.0
2026-09-15 09:15:00,2026-09-15 09:55:00,dn,7597.0,7578.5,-18.5,152572,,8,8247.0
2026-09-15 09:55:00,2026-09-15 10:00:00,up,7578.5,7586.25,7.75,33310,,1,4298.0
2026-09-15 10:00:00,2026-09-15 10:05:00,dn,7586.25,7583.0,-3.25,26927,,1,8285.0
2026-09-15 10:05:00,2026-09-15 10:40:00,up,7583.0,7589.5,6.5,80110,,7,12325.0
2026-09-15 10:40:00,2026-09-15 10:45:00,dn,7589.5,7584.0,-5.5,18392,,1,3344.0
2026-09-15 10:45:00,2026-09-15 11:00:00,up,7584.0,7587.5,3.5,42949,,3,12271.0
2026-09-15 11:00:00,2026-09-15 11:05:00,dn,7587.5,7581.5,-6.0,14433,,1,2406.0
2026-09-15 11:05:00,2026-09-15 11:50:00,up,7581.5,7594.25,12.75,71705,,9,5624.0
2026-09-15 11:50:00,2026-09-15 12:20:00,dn,7594.25,7580.75,-13.5,53049,,6,3930.0
2026-09-15 12:20:00,2026-09-15 13:10:00,up,7580.75,7592.5,11.75,62925,,10,5355.0
2026-09-15 13:10:00,2026-09-15 13:45:00,dn,7592.5,7583.0,-9.5,56228,,7,5919.0
2026-09-15 13:45:00,2026-09-15 13:55:00,up,7583.0,7589.25,6.25,20038,,2,3206.0
2026-09-15 13:55:00,2026-09-15 14:35:00,dn,7589.25,7581.5,-7.75,52027,,8,6713.0
2026-09-15 14:35:00,2026-09-15 15:10:00,up,7581.5,7596.5,15.0,138262,,7,9217.0
