bar,open,high,low,close,vol,buy,sell,delta,cvd,poc,aoi
2026-09-16 08:30:00,7676.5,7679.0,7673.25,7673.75,22856,11310,11546,-236,-236,7676.75,
2026-09-16 08:35:00,7674.0,7676.75,7669.25,7670.25,13360,6585,6775,-190,-426,7671.0,
2026-09-16 08:40:00,7670.0,7673.25,7669.0,7669.75,12644,6806,5838,968,542,7670.5,absorption:sellers absorb buying
2026-09-16 08:45:00,7669.75,7681.5,7669.5,7681.25,16587,9171,7416,1755,2297,7678.25,
2026-09-16 08:50:00,7681.25,7686.5,7680.75,7684.5,12383,6368,6015,353,2650,7684.25,
2026-09-16 08:55:00,7684.5,7686.25,7681.75,7684.25,8637,4414,4223,191,2841,7684.25,
2026-09-16 09:00:00,7684.5,7686.5,7678.0,7678.75,10785,5124,5661,-537,2304,7682.5,
2026-09-16 09:05:00,7678.75,7680.5,7675.25,7679.0,11818,6299,5519,780,3084,7678.0,
2026-09-16 09:10:00,7679.0,7680.0,7673.0,7677.5,9496,4535,4961,-426,2658,7678.5,
2026-09-16 09:15:00,7677.75,7679.25,7674.0,7675.0,9536,4661,4875,-214,2444,7678.0,
2026-09-16 09:20:00,7674.75,7675.5,7671.25,7671.75,8620,4054,4566,-512,1932,7672.0,
2026-09-16 09:25:00,7671.75,7672.25,7669.5,7671.75,8156,4011,4145,-134,1798,7671.75,
2026-09-16 09:30:00,7671.75,7674.25,7670.0,7673.75,10894,5552,5342,210,2008,7672.0,
2026-09-16 09:35:00,7673.75,7677.25,7671.25,7676.0,9506,4897,4609,288,2296,7675.75,
2026-09-16 09:40:00,7676.0,7680.75,7675.5,7680.75,7529,3882,3647,235,2531,7678.75,
2026-09-16 09:45:00,7680.5,7682.0,7678.0,7678.25,8226,3838,4388,-550,1981,7680.5,
2026-09-16 09:50:00,7678.25,7681.25,7678.0,7678.75,5766,3075,2691,384,2365,7679.75,
2026-09-16 09:55:00,7679.0,7685.0,7679.0,7684.25,7711,4070,3641,429,2794,7680.0,
2026-09-16 10:00:00,7684.5,7688.5,7683.75,7687.25,13155,6684,6471,213,3007,7687.0,
2026-09-16 10:05:00,7687.25,7692.75,7684.5,7691.25,18560,9569,8991,578,3585,7691.25,
2026-09-16 10:10:00,7691.25,7692.5,7687.25,7689.75,14202,7066,7136,-70,3515,7689.25,
2026-09-16 10:15:00,7690.0,7690.25,7685.75,7688.5,7975,3797,4178,-381,3134,7687.0,
2026-09-16 10:20:00,7688.5,7688.5,7686.25,7688.0,6842,3630,3212,418,3552,7687.0,
2026-09-16 10:25:00,7687.75,7690.5,7685.25,7686.0,7783,3874,3909,-35,3517,7685.75,
2026-09-16 10:30:00,7685.75,7687.0,7682.0,7683.75,9303,4411,4892,-481,3036,7684.25,
2026-09-16 10:35:00,7683.75,7688.0,7683.5,7686.25,6776,3687,3089,598,3634,7684.0,
2026-09-16 10:40:00,7686.25,7688.25,7685.5,7688.0,4546,2197,2349,-152,3482,7686.75,
2026-09-16 10:45:00,7687.75,7699.0,7687.0,7692.5,26715,13799,12916,883,4365,7693.75,
2026-09-16 10:50:00,7692.75,7693.0,7688.75,7689.75,9161,4597,4564,33,4398,7691.0,
2026-09-16 10:55:00,7690.0,7690.75,7688.25,7689.0,5861,2766,3095,-329,4069,7690.25,
2026-09-16 11:00:00,7689.0,7689.75,7685.25,7685.5,7593,3810,3783,27,4096,7685.5,
2026-09-16 11:05:00,7685.25,7687.25,7685.0,7686.75,4833,2514,2319,195,4291,7685.75,
2026-09-16 11:10:00,7686.75,7687.25,7683.75,7685.75,4418,2178,2240,-62,4229,7685.0,
2026-09-16 11:15:00,7685.75,7686.75,7684.75,7685.5,3987,2047,1940,107,4336,7686.25,
2026-09-16 11:20:00,7685.25,7685.25,7681.5,7681.75,5806,2751,3055,-304,4032,7684.0,
2026-09-16 11:25:00,7681.75,7683.5,7680.25,7683.25,4381,2189,2192,-3,4029,7682.25,
2026-09-16 11:30:00,7683.25,7684.0,7678.25,7678.75,5266,2526,2740,-214,3815,7679.0,
2026-09-16 11:35:00,7678.75,7681.25,7678.5,7680.75,4008,2121,1887,234,4049,7680.5,
2026-09-16 11:40:00,7680.75,7682.0,7679.75,7680.75,3181,1596,1585,11,4060,7680.5,
2026-09-16 11:45:00,7680.75,7683.5,7680.75,7682.5,3966,2143,1823,320,4380,7683.0,
2026-09-16 11:50:00,7682.5,7683.0,7678.75,7680.75,5794,2287,3507,-1220,3160,7680.0,
2026-09-16 11:55:00,7680.75,7681.75,7679.25,7679.25,3081,1487,1594,-107,3053,7680.75,
2026-09-16 12:00:00,7679.5,7679.75,7674.0,7675.5,6791,3133,3658,-525,2528,7675.75,
2026-09-16 12:05:00,7675.5,7677.75,7675.5,7677.5,4576,2566,2010,556,3084,7676.25,
2026-09-16 12:10:00,7677.5,7679.75,7675.75,7678.75,4938,2596,2342,254,3338,7676.5,
2026-09-16 12:15:00,7678.75,7680.0,7678.25,7679.25,4651,2297,2354,-57,3281,7679.25,
2026-09-16 12:20:00,7679.25,7680.75,7676.75,7677.75,3907,1835,2072,-237,3044,7680.0,
2026-09-16 12:25:00,7677.75,7681.0,7677.75,7680.75,3594,1894,1700,194,3238,7679.75,
2026-09-16 12:30:00,7681.0,7682.25,7678.0,7679.5,5017,2480,2537,-57,3181,7678.5,
2026-09-16 12:35:00,7679.5,7680.5,7677.75,7677.75,3151,1485,1666,-181,3000,7680.0,
2026-09-16 12:40:00,7677.75,7678.0,7674.5,7674.75,4662,2225,2437,-212,2788,7676.75,
2026-09-16 12:45:00,7674.75,7678.75,7674.75,7677.0,4608,2334,2274,60,2848,7678.5,
2026-09-16 12:50:00,7677.25,7680.0,7676.25,7679.25,4567,2336,2231,105,2953,7679.25,
2026-09-16 12:55:00,7679.25,7684.75,7677.75,7683.5,5025,2704,2321,383,3336,7679.0,
2026-09-16 13:00:00,7684.5,7691.0,7668.75,7683.75,27937,13847,14090,-243,3093,7678.5,
2026-09-16 13:05:00,7684.0,7694.25,7682.75,7688.5,25465,12484,12981,-497,2596,7686.0,absorption:buyers absorb selling | divergence:price HH / CVD LH (bearish)
2026-09-16 13:10:00,7688.25,7690.25,7679.5,7681.25,16373,7904,8469,-565,2031,7684.75,
2026-09-16 13:15:00,7681.25,7685.0,7678.0,7681.0,16735,8081,8654,-573,1458,7680.5,
2026-09-16 13:20:00,7681.0,7684.5,7677.5,7680.25,12635,6072,6563,-491,967,7681.5,
2026-09-16 13:25:00,7680.25,7681.5,7669.25,7678.0,19813,9474,10339,-865,102,7671.0,
2026-09-16 13:30:00,7678.25,7680.75,7656.25,7657.5,36965,17277,19688,-2411,-2309,7661.25,
