bar,open,high,low,close,vol,buy,sell,delta,cvd,poc,aoi
2026-09-16 13:35:00,7657.25,7661.25,7641.0,7660.0,45177,22213,22964,-751,-3060,7649.75,absorption:buyers absorb selling
2026-09-16 13:40:00,7659.75,7683.25,7658.75,7671.25,44359,21777,22582,-805,-3865,7679.75,absorption:buyers absorb selling
2026-09-16 13:45:00,7671.75,7677.25,7655.25,7656.5,26102,12921,13181,-260,-4125,7674.0,
2026-09-16 13:50:00,7656.25,7659.25,7631.0,7631.75,38151,18543,19608,-1065,-5190,7644.75,
2026-09-16 13:55:00,7632.0,7638.0,7617.5,7618.75,47451,22788,24663,-1875,-7065,7624.0,
2026-09-16 14:00:00,7618.75,7633.75,7617.0,7627.5,39730,20724,19006,1718,-5347,7630.0,
2026-09-16 14:05:00,7627.25,7627.75,7609.75,7611.75,35197,16586,18611,-2025,-7372,7620.0,
2026-09-16 14:10:00,7611.75,7613.5,7591.0,7592.5,40208,20715,19493,1222,-6150,7600.0,absorption:sellers absorb buying
2026-09-16 14:15:00,7592.5,7600.75,7584.0,7588.75,32666,16208,16458,-250,-6400,7591.75,
2026-09-16 14:20:00,7589.0,7593.0,7580.25,7586.25,33818,17437,16381,1056,-5344,7583.5,absorption:sellers absorb buying
2026-09-16 14:25:00,7586.5,7592.75,7575.0,7591.75,30625,15751,14874,877,-4467,7577.5,
2026-09-16 14:30:00,7591.75,7606.0,7590.5,7605.25,34227,18675,15552,3123,-1344,7600.5,
2026-09-16 14:35:00,7605.5,7606.25,7594.0,7604.0,23971,12097,11874,223,-1121,7602.5,
2026-09-16 14:40:00,7604.0,7608.0,7597.25,7600.75,21692,11267,10425,842,-279,7603.0,absorption:sellers absorb buying
2026-09-16 14:45:00,7600.75,7616.75,7600.5,7615.0,20492,11543,8949,2594,2315,7609.0,
2026-09-16 14:50:00,7615.0,7623.25,7614.0,7621.75,25795,12832,12963,-131,2184,7617.25,
2026-09-16 14:55:00,7621.75,7625.0,7618.5,7622.25,68262,32735,35527,-2792,-608,7622.25,absorption:buyers absorb selling
2026-09-16 15:00:00,7622.25,7626.0,7620.0,7623.75,24394,12163,12231,-68,-676,7622.5,
2026-09-16 15:05:00,7623.5,7624.25,7620.5,7622.0,6915,2995,3920,-925,-1601,7623.0,
2026-09-16 15:10:00,7621.75,7622.75,7620.75,7621.75,3508,1560,1948,-388,-1989,7621.5,
