t_start,t_end,open,high,low,close,vol,buy,sell,trades,delta,cvd,poc
2026-09-15 22:32:32.233,2026-09-15 22:32:59.040,7672.0,7672.25,7671.75,7672.25,52,19,33,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-14,-14,7672.0
2026-09-15 22:33:07.492,2026-09-15 22:33:58.093,7672.25,7672.25,7671.75,7672.25,68,27,41,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-14,-28,7672.25
2026-09-15 22:34:01.399,2026-09-15 22:34:57.383,7672.0,7672.0,7671.5,7671.5,47,12,35,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-23,-51,7671.5
2026-09-15 22:35:03.065,2026-09-15 22:35:51.211,7671.75,7671.75,7671.25,7671.5,82,38,44,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-6,-57,7671.25
2026-09-15 22:36:01.709,2026-09-15 22:36:56.052,7671.5,7671.5,7670.75,7670.75,73,17,56,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-39,-96,7671.0
2026-09-15 22:37:00.028,2026-09-15 22:37:59.944,7670.75,7671.5,7670.0,7670.25,182,76,106,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-30,-126,7670.5
2026-09-15 22:38:00.199,2026-09-15 22:38:59.098,7670.5,7671.25,7670.25,7671.25,142,91,51,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,40,-86,7670.75
2026-09-15 22:39:00.424,2026-09-15 22:39:57.106,7671.5,7671.75,7671.25,7671.5,109,67,42,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,25,-61,7671.5
2026-09-15 22:40:03.085,2026-09-15 22:40:49.928,7671.75,7672.25,7671.5,7671.75,91,68,23,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,45,-16,7671.75
2026-09-15 22:41:03.102,2026-09-15 22:41:47.584,7671.75,7671.75,7671.25,7671.5,93,37,56,<bound method GroupBy.size of <pandas.api.typing.SeriesGroupBy object at 0x000002A46FA13530>>,-19,-35,7671.5
