t_start,t_end,dir,p_start,p_end,move,vol,delta,bars,vol_per_pt
2026-09-14 17:31:35.924,2026-09-14 19:11:31.320,dn,7629.0,7626.5,-2.5,8949,,3,3580.0
2026-09-14 19:11:31.320,2026-09-14 20:27:26.052,up,7626.5,7630.75,4.25,8939,,3,2103.0
2026-09-14 20:27:26.052,2026-09-15 00:23:40.816,dn,7630.75,7597.0,-33.75,31658,,13,938.0
2026-09-15 00:23:40.816,2026-09-15 01:04:27.412,up,7597.0,7609.75,12.75,8942,,3,701.0
2026-09-15 01:04:27.412,2026-09-15 02:00:07.560,dn,7609.75,7597.75,-12.0,11695,,4,975.0
2026-09-15 02:00:07.560,2026-09-15 02:04:25.532,up,7597.75,7602.25,4.5,4562,,1,1014.0
2026-09-15 02:04:25.532,2026-09-15 02:12:18.888,dn,7602.25,7593.5,-8.75,4531,,1,518.0
2026-09-15 02:12:18.888,2026-09-15 02:27:17.320,up,7593.5,7597.0,3.5,7114,,2,2033.0
2026-09-15 02:27:17.320,2026-09-15 02:52:59.368,dn,7597.0,7587.25,-9.75,12207,,4,1252.0
2026-09-15 02:52:59.368,2026-09-15 03:00:06.076,up,7587.25,7590.5,3.25,4882,,1,1502.0
2026-09-15 03:00:06.076,2026-09-15 03:11:12.408,dn,7590.5,7578.75,-11.75,9815,,3,835.0
2026-09-15 03:11:12.408,2026-09-15 03:24:26.557,up,7578.75,7587.75,9.0,6953,,2,773.0
2026-09-15 03:24:26.557,2026-09-15 04:23:02.239,dn,7587.75,7581.0,-6.75,19003,,7,2815.0
2026-09-15 04:23:02.239,2026-09-15 07:14:54.266,up,7581.0,7616.0,35.0,55410,,23,1583.0
2026-09-15 07:14:54.266,2026-09-15 07:24:13.033,dn,7616.0,7611.0,-5.0,7139,,2,1428.0
2026-09-15 07:24:13.033,2026-09-15 07:36:16.342,up,7611.0,7618.25,7.25,6993,,2,965.0
2026-09-15 07:36:16.342,2026-09-15 07:42:52.820,dn,7618.25,7614.5,-3.75,4506,,1,1202.0
2026-09-15 07:42:52.820,2026-09-15 07:53:59.510,up,7614.5,7627.0,12.5,14035,,5,1123.0
2026-09-15 07:53:59.510,2026-09-15 07:55:39.470,dn,7627.0,7620.5,-6.5,5123,,1,788.0
2026-09-15 07:55:39.470,2026-09-15 07:56:04.581,up,7620.5,7625.75,5.25,5200,,1,990.0
2026-09-15 07:56:04.581,2026-09-15 08:19:14.116,dn,7625.75,7620.75,-5.0,17420,,6,3484.0
2026-09-15 08:19:14.116,2026-09-15 08:25:52.348,up,7620.75,7625.25,4.5,7740,,2,1720.0
2026-09-15 08:25:52.348,2026-09-15 08:34:09.177,dn,7625.25,7603.25,-22.0,37469,,14,1703.0
2026-09-15 08:34:09.177,2026-09-15 08:45:25.122,up,7603.25,7615.75,12.5,40033,,15,3203.0
2026-09-15 08:45:25.122,2026-09-15 08:51:15.889,dn,7615.75,7607.5,-8.25,17430,,6,2113.0
2026-09-15 08:51:15.889,2026-09-15 08:52:50.212,up,7607.5,7612.25,4.75,7161,,2,1508.0
2026-09-15 08:52:50.212,2026-09-15 09:14:20.733,dn,7612.25,7594.25,-18.0,62844,,24,3491.0
2026-09-15 09:14:20.733,2026-09-15 09:18:21.490,up,7594.25,7598.75,4.5,18310,,6,4069.0
2026-09-15 09:18:21.490,2026-09-15 09:23:31.163,dn,7598.75,7587.5,-11.25,21171,,7,1882.0
2026-09-15 09:23:31.163,2026-09-15 09:28:49.932,up,7587.5,7591.5,4.0,18275,,6,4569.0
2026-09-15 09:28:49.932,2026-09-15 09:34:28.813,dn,7591.5,7586.75,-4.75,21951,,8,4621.0
2026-09-15 09:34:28.813,2026-09-15 09:36:59.618,up,7586.75,7589.75,3.0,9988,,3,3329.0
2026-09-15 09:36:59.618,2026-09-15 09:40:49.865,dn,7589.75,7583.25,-6.5,13201,,4,2031.0
2026-09-15 09:40:49.865,2026-09-15 09:46:24.036,up,7583.25,7587.25,4.0,15410,,5,3852.0
2026-09-15 09:46:24.036,2026-09-15 09:52:06.692,dn,7587.25,7577.25,-10.0,29433,,10,2943.0
2026-09-15 09:52:06.692,2026-09-15 09:58:03.824,up,7577.25,7582.75,5.5,22998,,8,4181.0
2026-09-15 09:58:03.824,2026-09-15 09:58:12.691,dn,7582.75,7579.75,-3.0,5075,,1,1692.0
2026-09-15 09:58:12.691,2026-09-15 10:05:13.612,up,7579.75,7586.25,6.5,25661,,9,3948.0
2026-09-15 10:05:13.612,2026-09-15 10:11:19.225,dn,7586.25,7581.5,-4.75,14785,,5,3113.0
2026-09-15 10:11:19.225,2026-09-15 10:20:39.149,up,7581.5,7587.5,6.0,23026,,8,3838.0
2026-09-15 10:20:39.149,2026-09-15 10:21:51.433,dn,7587.5,7584.5,-3.0,5074,,1,1691.0
2026-09-15 10:21:51.433,2026-09-15 10:30:24.060,up,7584.5,7589.0,4.5,17555,,6,3901.0
2026-09-15 10:30:24.060,2026-09-15 10:32:37.663,dn,7589.0,7583.75,-5.25,7395,,2,1409.0
2026-09-15 10:32:37.663,2026-09-15 10:42:00.406,up,7583.75,7590.5,6.75,21578,,8,3197.0
2026-09-15 10:42:00.406,2026-09-15 10:49:40.345,dn,7590.5,7583.75,-6.75,14664,,5,2172.0
2026-09-15 10:49:40.345,2026-09-15 10:50:33.848,up,7583.75,7588.75,5.0,12324,,4,2465.0
2026-09-15 10:50:33.848,2026-09-15 10:55:20.754,dn,7588.75,7585.0,-3.75,9460,,3,2523.0
2026-09-15 10:55:20.754,2026-09-15 10:55:59.698,up,7585.0,7589.25,4.25,7349,,2,1729.0
2026-09-15 10:55:59.698,2026-09-15 11:15:25.418,dn,7589.25,7581.5,-7.75,29481,,11,3804.0
2026-09-15 11:15:25.418,2026-09-15 11:28:58.224,up,7581.5,7592.75,11.25,25592,,9,2275.0
2026-09-15 11:28:58.224,2026-09-15 11:31:25.034,dn,7592.75,7588.75,-4.0,7165,,2,1791.0
2026-09-15 11:31:25.034,2026-09-15 11:33:50.612,up,7588.75,7592.0,3.25,7348,,2,2261.0
2026-09-15 11:33:50.612,2026-09-15 11:48:44.838,dn,7592.0,7588.25,-3.75,19425,,7,5180.0
2026-09-15 11:48:44.838,2026-09-15 11:55:39.775,up,7588.25,7594.75,6.5,12694,,4,1953.0
2026-09-15 11:55:39.775,2026-09-15 12:05:19.099,dn,7594.75,7586.0,-8.75,19982,,7,2284.0
2026-09-15 12:05:19.099,2026-09-15 12:11:13.286,up,7586.0,7589.5,3.5,12896,,4,3685.0
2026-09-15 12:11:13.286,2026-09-15 12:25:28.313,dn,7589.5,7581.0,-8.5,20643,,7,2429.0
2026-09-15 12:25:28.313,2026-09-15 12:40:49.484,up,7581.0,7586.75,5.75,22332,,8,3884.0
2026-09-15 12:40:49.484,2026-09-15 12:43:22.625,dn,7586.75,7583.75,-3.0,5119,,1,1706.0
2026-09-15 12:43:22.625,2026-09-15 13:13:14.998,up,7583.75,7592.5,8.75,32859,,12,3755.0
2026-09-15 13:13:14.998,2026-09-15 13:49:23.536,dn,7592.5,7582.25,-10.25,53776,,20,5246.0
2026-09-15 13:49:23.536,2026-09-15 14:01:03.280,up,7582.25,7590.75,8.5,17971,,6,2114.0
2026-09-15 14:01:03.280,2026-09-15 14:43:29.200,dn,7590.75,7581.25,-9.5,51766,,19,5449.0
2026-09-15 14:43:29.200,2026-09-15 14:47:41.908,up,7581.25,7584.75,3.5,10734,,3,3067.0
2026-09-15 14:47:41.908,2026-09-15 14:53:34.352,dn,7584.75,7581.75,-3.0,17178,,5,5726.0
2026-09-15 14:53:34.352,2026-09-15 15:15:58.440,up,7581.75,7596.75,15.0,105849,,26,7057.0
