BarIdx,BarTime,Open,Close,High,Low,MinDelta,MaxDelta,Delta,DurationSec,DeltaRate,UnfHigh,UnfLow
0,2026-08-09 17:00:00,7776.75,7766.5,7779.25,7763,-887,210,-664,1437.8,-0.46,7779.25,0
1,2026-08-09 17:23:58,7766.75,7769.25,7773.25,7766.5,-39,428,220,5482.3,0.04,0,0
2,2026-08-09 18:55:20,7769.25,7772,7778,7765.25,-85,476,92,2274.6,0.04,0,0
3,2026-08-09 19:33:19,7772.25,7780,7780,7768.75,-201,354,339,3248.1,0.10,7780,0
4,2026-08-09 20:27:28,7780,7782,7783.25,7776,-51,580,577,5551.9,0.10,0,0
5,2026-08-09 22:00:00,7782,7787.25,7788.75,7780.5,-25,704,694,6613.4,0.10,0,0
6,2026-08-09 23:50:18,7787.25,7787.75,7792.75,7785.75,-5,654,466,5640.4,0.08,7792.75,0
7,2026-08-10 01:24:18,7787.75,7785.75,7788.75,7783.5,-19,324,184,3135.8,0.06,7788.75,0
8,2026-08-10 02:16:34,7785.75,7793.5,7796.25,7785.75,-9,563,458,1812.8,0.25,7796.25,7785.75
9,2026-08-10 02:46:46,7793.5,7792.5,7793.75,7789,-106,159,154,2939.2,0.05,7793.75,7789
10,2026-08-10 03:35:46,7792.5,7788.75,7793.25,7788.5,-122,409,306,4106.4,0.07,7793.25,0
11,2026-08-10 04:44:12,7788.75,7785.25,7791,7785.25,-328,90,-326,3365.7,-0.10,0,7785.25
12,2026-08-10 05:40:18,7785.25,7778.75,7788,7778.75,-291,148,-130,1953.8,-0.07,0,7778.75
13,2026-08-10 06:12:52,7778.75,7786,7787.25,7778.5,-168,247,173,1474.3,0.12,7787.25,7778.5
