BarIdx,BarTime,Price,BidVol,AskVol,BidVolLarge,AskVolLarge
0,2026-08-09 17:01:22,7775.75,7,8,0,0
0,2026-08-09 17:01:22,7776.25,30,18,0,0
0,2026-08-09 17:01:22,7776,9,9,0,0
0,2026-08-09 17:01:22,7775.5,32,16,0,0
0,2026-08-09 17:01:22,7776.5,2,13,0,0
0,2026-08-09 17:01:22,7776.75,0,7,0,0
0,2026-08-09 17:01:22,7777,0,3,0,0
0,2026-08-09 17:01:22,7775.25,13,24,0,0
0,2026-08-09 17:01:22,7775,31,20,0,0
0,2026-08-09 17:01:22,7774.75,49,11,11,0
0,2026-08-09 17:01:22,7774.5,58,42,0,0
0,2026-08-09 17:01:22,7774.25,15,6,0,0
0,2026-08-09 17:01:22,7774,17,5,0,0
0,2026-08-09 17:01:22,7773.75,8,38,0,0
0,2026-08-09 17:01:22,7773.5,78,57,0,0
0,2026-08-09 17:01:22,7773.25,49,29,0,0
0,2026-08-09 17:01:22,7773,79,69,0,0
0,2026-08-09 17:01:22,7772.75,46,59,0,0
0,2026-08-09 17:01:22,7772.5,66,48,0,0
0,2026-08-09 17:01:22,7772.25,57,48,0,0
0,2026-08-09 17:01:22,7772,158,79,10,0
0,2026-08-09 17:01:22,7771.75,78,70,0,0
0,2026-08-09 17:01:22,7771.5,117,117,0,0
0,2026-08-09 17:01:22,7771.25,101,89,0,0
0,2026-08-09 17:01:22,7771,104,83,0,10
0,2026-08-09 17:01:22,7770.75,84,26,10,0
0,2026-08-09 17:01:22,7770.5,47,60,0,0
0,2026-08-09 17:01:22,7770.25,83,67,0,0
0,2026-08-09 17:01:22,7770,118,44,0,16
0,2026-08-09 17:01:22,7769.75,92,39,0,0
0,2026-08-09 17:01:22,7769.5,72,37,0,13
0,2026-08-09 17:01:22,7769.25,45,17,0,0
0,2026-08-09 17:01:22,7769,33,35,0,0
0,2026-08-09 17:01:22,7768.75,54,45,0,25
0,2026-08-09 17:01:22,7768.5,46,15,0,0
0,2026-08-09 17:01:22,7768.25,44,15,0,0
0,2026-08-09 17:01:22,7768,50,20,0,0
0,2026-08-09 17:01:22,7767.75,23,45,0,0
0,2026-08-09 17:01:22,7767.5,49,73,0,0
0,2026-08-09 17:01:22,7767.25,118,99,22,0
0,2026-08-09 17:01:22,7767,155,109,14,0
0,2026-08-09 17:01:22,7766.75,91,56,0,0
0,2026-08-09 17:01:22,7766.25,84,79,0,0
0,2026-08-09 17:01:22,7766,70,34,10,0
0,2026-08-09 17:01:22,7766.5,67,79,0,0
0,2026-08-09 17:01:22,7765.75,31,34,0,11
0,2026-08-09 17:01:22,7765.5,27,46,0,18
0,2026-08-09 17:01:22,7765.25,39,49,0,0
0,2026-08-09 17:01:22,7765,54,105,0,59
0,2026-08-09 17:01:22,7764.75,49,55,0,0
0,2026-08-09 17:01:22,7764.5,58,45,10,0
0,2026-08-09 17:01:22,7764.25,37,15,0,0
0,2026-08-09 17:01:22,7764,42,20,0,0
0,2026-08-09 17:01:22,7763.75,38,17,0,0
0,2026-08-09 17:01:22,7763.5,44,0,0,0
0,2026-08-09 17:01:22,7763.25,25,0,0,0
0,2026-08-09 17:01:22,7763,4,0,0,0
1,2026-08-09 17:23:58,7766.75,45,38,0,0
1,2026-08-09 17:23:58,7767,29,52,0,0
1,2026-08-09 17:23:58,7767.25,35,42,0,0
1,2026-08-09 17:23:58,7767.5,45,46,0,0
1,2026-08-09 17:23:58,7767.75,48,26,0,0
1,2026-08-09 17:23:58,7768,144,107,0,0
1,2026-08-09 17:23:58,7768.25,263,264,61,0
1,2026-08-09 17:23:58,7768.5,195,275,25,53
1,2026-08-09 17:23:58,7768.75,205,130,10,0
1,2026-08-09 17:23:58,7769,146,169,0,0
