BarIdx,BarTime,Price,BidVol,AskVol,BidVolLarge,AskVolLarge
0,2026-07-23 15:15:00,7453.25,0,2,0,0
0,2026-07-23 15:15:00,7449,150,78,28,0
0,2026-07-23 15:15:00,7449.25,73,77,0,0
0,2026-07-23 15:15:00,7448.75,45,46,0,0
0,2026-07-23 15:15:00,7448.5,70,8,44,0
0,2026-07-23 15:15:00,7449.5,112,107,0,0
0,2026-07-23 15:15:00,7449.75,167,137,0,0
0,2026-07-23 15:15:00,7450,324,271,78,0
0,2026-07-23 15:15:00,7450.25,91,74,0,0
0,2026-07-23 15:15:00,7450.5,139,184,0,0
0,2026-07-23 15:15:00,7450.75,124,231,0,0
0,2026-07-23 15:15:00,7451,95,123,0,0
0,2026-07-23 15:15:00,7451.25,9,48,0,0
0,2026-07-23 15:15:00,7451.5,0,16,0,0
