BarIdx,BarTime,Open,Close,High,Low,MinDelta,MaxDelta,Delta,DurationSec,DeltaRate,UnfHigh,UnfLow
0,2026-07-23 17:00:00,7450.5,7452.75,7454,7442.75,-442,21,-116,3756.8,-0.03,0,0
1,2026-07-23 18:02:36,7452.75,7453,7454.75,7444.5,-236,24,-180,3568.0,-0.05,7454.75,7444.5
2,2026-07-23 19:02:05,7453,7446.75,7455.25,7443.5,-343,340,-289,1087.1,-0.27,7455.25,0
3,2026-07-23 19:20:12,7446.75,7448.75,7457,7446.25,-621,58,-621,2101.1,-0.30,0,0
4,2026-07-23 19:55:13,7448.75,7457.75,7458,7448.5,-306,106,-240,2610.1,-0.09,0,0
5,2026-07-23 20:38:43,7457.75,7448.25,7459.25,7448,-276,121,-230,3205.5,-0.07,0,0
6,2026-07-23 21:32:09,7448.25,7442,7448.25,7439.25,-435,1,-400,2824.8,-0.14,7448.25,7439.25
7,2026-07-23 22:19:14,7442,7438.5,7444,7435.25,-271,50,-244,3760.7,-0.06,0,0
8,2026-07-23 23:21:56,7438.5,7446.75,7449.25,7437.5,-250,144,-230,4086.9,-0.06,0,0
9,2026-07-24 00:30:03,7446.75,7439.5,7450.5,7436.5,-75,291,290,2874.2,0.10,0,0
10,2026-07-24 01:18:02,7439.25,7443.25,7447.25,7433.75,-40,225,177,2564.6,0.07,7447.25,0
11,2026-07-24 02:00:46,7443.5,7456.5,7458,7443.25,0,297,149,997.7,0.15,0,7443.25
12,2026-07-24 02:17:24,7456.5,7457,7463.25,7454.5,-10,452,90,1708.1,0.05,0,7454.5
13,2026-07-24 02:45:53,7457.25,7453.25,7458.5,7449.25,-380,48,-332,2150.8,-0.15,7458.5,0
14,2026-07-24 03:21:44,7453.25,7457.25,7462,7451.5,-201,185,-179,2293.3,-0.08,7462,0
15,2026-07-24 03:59:57,7457.25,7464,7465.25,7456.25,-252,1,-183,1690.2,-0.11,7465.25,7456.25
16,2026-07-24 04:28:07,7464,7464,7467.5,7462,-274,30,-260,2170.5,-0.12,0,0
17,2026-07-24 05:04:18,7464,7461.25,7464.5,7459,-317,6,-260,2676.5,-0.10,0,7459
18,2026-07-24 05:48:54,7461.25,7461.5,7463,7457.75,-47,586,536,2144.8,0.25,0,0
19,2026-07-24 06:24:39,7461.5,7458.25,7461.5,7454,-176,401,400,1665.5,0.24,0,7454
20,2026-07-24 06:52:25,7458.25,7466.5,7469,7453,-264,1833,1776,417.9,4.25,0,0
21,2026-07-24 06:59:23,7466.25,7463,7468.75,7457.5,-556,74,-342,680.2,-0.50,0,7457.5
22,2026-07-24 07:10:52,7463,7464.25,7467.75,7462.5,-2,785,547,856.4,0.64,7467.75,0
23,2026-07-24 07:25:08,7464.25,7459.75,7467.25,7459,-440,13,-437,885.7,-0.49,0,7459
24,2026-07-24 07:39:54,7459.75,7452.25,7460.25,7451.75,-912,47,-907,916.9,-0.99,0,0
25,2026-07-24 07:55:11,7452.25,7450.5,7452.5,7448.5,-348,63,-7,577.0,-0.01,7452.5,7448.5
26,2026-07-24 08:04:48,7450.5,7450.5,7451.5,7446.5,-360,9,-272,750.6,-0.36,0,0
27,2026-07-24 08:17:18,7450.5,7449.75,7453.75,7447.75,-115,311,100,595.3,0.17,0,0
28,2026-07-24 08:27:14,7449.75,7444.25,7449.75,7442.75,-383,102,-213,166.5,-1.28,7449.75,0
29,2026-07-24 08:30:00,7444.25,7446.5,7448.75,7444,0,743,743,24.5,30.37,7448.75,7444
30,2026-07-24 08:30:25,7446.5,7444,7449,7443.75,-106,262,210,44.0,4.77,7449,0
31,2026-07-24 08:31:09,7444,7445.25,7446,7442.25,-100,345,308,50.4,6.11,0,0
32,2026-07-24 08:31:59,7445.25,7453.25,7453.5,7445.25,0,786,784,70.5,11.12,0,7445.25
33,2026-07-24 08:33:10,7453.25,7453.75,7453.75,7448.25,-171,686,683,111.4,6.13,7453.75,7448.25
34,2026-07-24 08:35:01,7453.75,7447.75,7455,7447.75,-219,189,-217,83.3,-2.61,0,7447.75
35,2026-07-24 08:36:24,7447.75,7454,7454.75,7447,-66,314,248,99.3,2.50,7454.75,7447
36,2026-07-24 08:38:04,7454,7448.5,7454.5,7448.25,-583,71,-578,116.3,-4.97,0,0
37,2026-07-24 08:40:00,7448.5,7448.5,7450,7445.25,-501,14,-258,106.5,-2.42,7450,0
38,2026-07-24 08:41:46,7448.5,7445.75,7449.25,7445,-75,329,266,143.1,1.86,0,0
39,2026-07-24 08:44:09,7445.75,7448.5,7449.5,7444.25,-31,428,344,137.6,2.50,0,7444.25
40,2026-07-24 08:46:27,7448.5,7455,7455.25,7448.25,0,473,446,100.4,4.44,0,7448.25
41,2026-07-24 08:48:08,7455,7456.5,7456.75,7452.75,-249,462,456,78.7,5.79,0,7452.75
42,2026-07-24 08:49:26,7456.5,7443.25,7457.25,7443,-834,284,-798,62.1,-12.86,7457.25,0
43,2026-07-24 08:50:28,7443.5,7443.5,7448.75,7443.25,-252,195,-188,61.4,-3.06,7448.75,0
44,2026-07-24 08:51:30,7443.5,7438,7444,7437.5,-699,12,-696,54.4,-12.79,7444,0
45,2026-07-24 08:52:24,7438,7437.25,7440.25,7436.75,-370,120,-362,95.0,-3.81,0,7436.75
46,2026-07-24 08:53:59,7437.25,7433,7438.25,7433,-289,352,-289,79.2,-3.65,7438.25,0
47,2026-07-24 08:55:18,7433,7437.25,7437.25,7432.5,-213,200,191,80.7,2.37,7437.25,7432.5
48,2026-07-24 08:56:39,7437.25,7437.5,7437.75,7434,-120,670,658,90.5,7.27,7437.75,7434
49,2026-07-24 08:58:10,7437.5,7433,7440.25,7431.5,-44,412,3,122.8,0.02,7440.25,0
50,2026-07-24 09:00:12,7433,7439,7442.25,7432.5,0,644,581,73.6,7.90,0,0
51,2026-07-24 09:01:26,7439,7444.5,7444.75,7438.75,-4,791,780,75.5,10.33,0,7438.75
52,2026-07-24 09:02:42,7444.5,7442.75,7445.25,7437,-592,57,-32,81.1,-0.39,7445.25,0
53,2026-07-24 09:04:03,7442.75,7439,7442.75,7435,-497,14,-128,87.8,-1.46,7442.75,7435
54,2026-07-24 09:05:31,7439,7440.75,7440.75,7436.25,0,658,658,111.2,5.92,0,0
55,2026-07-24 09:07:22,7440.75,7447.75,7448,7439.75,-19,1096,1002,82.6,12.13,7448,7439.75
56,2026-07-24 09:08:44,7447.75,7451.75,7453.5,7447.25,-42,634,546,76.7,7.11,7453.5,0
57,2026-07-24 09:10:01,7451.75,7452.25,7453,7449,-442,43,-354,83.3,-4.25,7453,0
58,2026-07-24 09:11:24,7452.25,7447.25,7453.5,7447,-353,59,-338,92.5,-3.65,0,0
59,2026-07-24 09:12:57,7447.25,7456.25,7456.25,7446.5,-159,987,694,70.9,9.79,0,0
60,2026-07-24 09:14:08,7456.25,7455.25,7458.25,7453.75,-273,268,-22,62.8,-0.35,0,0
61,2026-07-24 09:15:11,7455.25,7449.75,7455.25,7447,-831,3,-775,90.3,-8.58,7455.25,7447
62,2026-07-24 09:16:41,7449.75,7445,7450.25,7441.25,-752,0,-526,77.0,-6.84,0,0
63,2026-07-24 09:17:58,7445,7441.25,7447,7438.5,-353,136,-299,86.9,-3.44,7447,7438.5
64,2026-07-24 09:19:25,7441,7445.5,7445.75,7439.75,-40,310,246,103.7,2.37,7445.75,0
65,2026-07-24 09:21:09,7445.5,7453,7453,7445.25,-10,1567,1564,70.3,22.26,0,7445.25
66,2026-07-24 09:22:19,7453,7456.5,7458.5,7450.5,-209,382,233,95.1,2.45,0,7450.5
67,2026-07-24 09:23:54,7456.5,7452,7456.75,7449.5,-791,10,-725,94.2,-7.70,7456.75,0
68,2026-07-24 09:25:28,7452,7455.5,7455.5,7450.75,-109,340,331,112.5,2.94,7455.5,0
69,2026-07-24 09:27:21,7455.5,7452.75,7456,7448,-188,91,53,148.8,0.36,0,0
70,2026-07-24 09:29:50,7452.75,7446.75,7452.75,7444.25,-885,8,-746,107.1,-6.97,7452.75,0
71,2026-07-24 09:31:37,7446.75,7445,7449,7444.75,-228,76,-147,144.9,-1.01,7449,7444.75
72,2026-07-24 09:34:01,7445,7444.5,7447,7441.5,-510,32,-445,138.7,-3.21,0,7441.5
73,2026-07-24 09:36:20,7444.5,7442.5,7446,7442.25,-153,94,12,175.5,0.07,7446,0
74,2026-07-24 09:39:16,7442.5,7441.25,7442.75,7437.75,-487,16,-156,101.7,-1.53,7442.75,7437.75
75,2026-07-24 09:40:57,7441.25,7438.75,7442.25,7437,-406,36,-315,124.6,-2.53,7442.25,7437
76,2026-07-24 09:43:02,7438.75,7439,7442.25,7437.5,-218,287,-137,105.8,-1.29,0,0
77,2026-07-24 09:44:48,7439,7435.75,7439,7432.75,-559,45,-356,97.3,-3.66,7439,7432.75
78,2026-07-24 09:46:25,7435.75,7435.75,7441.25,7435,-87,677,412,86.4,4.77,7441.25,0
79,2026-07-24 09:47:52,7435.75,7446,7446,7434.25,-72,431,431,130.7,3.30,0,7434.25
80,2026-07-24 09:50:02,7446,7451.75,7452,7444.25,-237,175,147,111.1,1.32,0,0
