BarIdx,BarTime,Open,Close,High,Low,MinDelta,MaxDelta,Delta,DurationSec,DeltaRate,UnfHigh,UnfLow
0,2026-08-02 17:00:00,7550,7551.5,7559,7545.5,0,1336,1176,179.4,6.55,0,0
1,2026-08-02 17:02:59,7551.5,7555.25,7557.5,7549.75,-54,453,332,863.9,0.38,7557.5,7549.75
2,2026-08-02 17:17:23,7555.5,7548.25,7556.25,7547.75,-514,30,-496,2309.4,-0.21,7556.25,0
3,2026-08-02 17:56:02,7548.5,7554.5,7554.5,7543.5,-194,596,596,3363.2,0.18,7554.5,0
4,2026-08-02 18:52:05,7554.5,7554,7555,7546.25,0,878,359,1364.3,0.26,7555,7546.25
5,2026-08-02 19:14:50,7554,7551.75,7556.75,7545.5,-101,134,47,1270.8,0.04,0,7545.5
6,2026-08-02 19:36:00,7551.75,7554.5,7555.25,7548.25,-163,97,-12,1741.6,-0.01,7555.25,0
7,2026-08-02 20:05:03,7554.75,7557.5,7557.5,7549.75,-159,119,86,2498.0,0.03,0,7549.75
8,2026-08-02 20:46:41,7557.5,7558,7561.75,7556.25,0,427,204,2432.5,0.08,7561.75,0
9,2026-08-02 21:27:14,7558,7560,7562.5,7556.5,-149,202,202,3919.2,0.05,0,0
10,2026-08-02 22:32:33,7560.25,7564.75,7565.5,7559.75,-12,475,426,3629.3,0.12,0,7559.75
11,2026-08-02 23:33:02,7564.75,7563.25,7567,7561.75,-58,450,22,3417.3,0.01,0,0
12,2026-08-03 00:30:00,7563.25,7563.25,7566,7560.25,-523,26,-506,3043.2,-0.17,0,0
13,2026-08-03 01:20:43,7563.25,7554.75,7563.25,7554.5,-240,64,-224,2475.6,-0.09,7563.25,0
14,2026-08-03 02:01:58,7554.75,7553.75,7561.75,7553,-390,5,-388,958.2,-0.40,7561.75,0
15,2026-08-03 02:17:57,7553.75,7553.75,7560,7552.75,-328,28,-295,1536.3,-0.19,0,0
16,2026-08-03 02:43:33,7553.75,7551.25,7560,7551,-66,321,101,1482.2,0.07,7560,7551
17,2026-08-03 03:08:15,7551.25,7550.25,7555.5,7547.5,-830,97,-794,1241.6,-0.64,7555.5,7547.5
18,2026-08-03 03:28:57,7550.25,7555,7557.25,7547.75,-106,129,-18,1513.0,-0.01,0,7547.75
19,2026-08-03 03:54:10,7555,7556.75,7560.25,7554,-28,563,556,1373.2,0.40,7560.25,7554
20,2026-08-03 04:17:03,7556.75,7557.5,7559.75,7553.5,-6,246,40,2577.5,0.02,0,0
21,2026-08-03 05:00:01,7557.5,7560,7560.5,7555.5,-26,191,166,1790.1,0.09,7560.5,0
22,2026-08-03 05:29:55,7560,7560.25,7563.25,7558.5,-3,551,209,2002.2,0.10,7563.25,7558.5
23,2026-08-03 06:03:17,7560.25,7561.25,7564,7557.25,-483,28,-473,1313.7,-0.36,7564,0
24,2026-08-03 06:25:11,7561.25,7561.25,7567.75,7560.5,-156,1196,1021,890.1,1.15,0,7560.5
25,2026-08-03 06:40:01,7561.25,7556.5,7564.5,7556,-400,182,-399,988.2,-0.40,0,7556
26,2026-08-03 06:56:29,7556.5,7554.75,7557.75,7553.5,-366,53,-144,827.6,-0.17,0,0
27,2026-08-03 07:10:17,7554.75,7556.25,7558.75,7553.25,-78,566,478,739.9,0.65,0,0
28,2026-08-03 07:22:37,7556.5,7560.75,7562,7553.75,-91,427,424,812.6,0.52,0,7553.75
29,2026-08-03 07:36:10,7560.75,7565.25,7566.25,7559.5,-35,1214,1156,627.0,1.84,7566.25,0
30,2026-08-03 07:46:37,7565.25,7564.5,7566,7562.25,-175,48,14,814.6,0.02,7566,0
31,2026-08-03 08:00:12,7564.5,7562.5,7565,7562.25,-48,222,168,832.0,0.20,7565,7562.25
32,2026-08-03 08:14:04,7562.5,7563,7565.75,7561.75,-123,371,218,584.2,0.37,0,7561.75
33,2026-08-03 08:23:48,7563,7555.25,7564.75,7554,-1000,74,-868,232.1,-3.74,0,0
34,2026-08-03 08:27:40,7555.25,7547,7557.25,7547,-798,222,-798,131.3,-6.08,0,0
35,2026-08-03 08:29:51,7547.25,7546.25,7548.75,7542.75,-727,54,-646,14.4,-45.01,7548.75,0
36,2026-08-03 08:30:06,7546.25,7552.5,7553.25,7546,-7,512,394,23.5,16.78,7553.25,0
37,2026-08-03 08:30:29,7552.5,7549.5,7554.75,7548.25,-64,248,123,40.3,3.05,0,7548.25
38,2026-08-03 08:31:10,7549.5,7551.25,7551.5,7547.25,-131,1067,1011,49.0,20.62,0,0
39,2026-08-03 08:31:59,7551.25,7554.75,7555.75,7548.5,0,819,812,46.8,17.36,0,7548.5
40,2026-08-03 08:32:45,7554.75,7559.25,7559.5,7552.25,-232,404,374,66.0,5.67,0,0
41,2026-08-03 08:33:51,7559.25,7562.5,7565.25,7557.5,-88,1102,822,38.9,21.16,0,7557.5
42,2026-08-03 08:34:30,7562.5,7562.25,7563.75,7557.75,-337,5,-212,61.4,-3.45,0,7557.75
43,2026-08-03 08:35:32,7562.25,7565,7566.75,7562,-22,402,374,53.0,7.05,7566.75,7562
44,2026-08-03 08:36:25,7565,7569.5,7569.75,7564,-120,497,450,44.8,10.05,7569.75,0
45,2026-08-03 08:37:09,7569.5,7567.75,7571,7566.5,-282,407,-186,53.8,-3.46,7571,7566.5
46,2026-08-03 08:38:03,7567.75,7567.75,7568.25,7564.5,-373,0,-352,66.8,-5.27,0,7564.5
47,2026-08-03 08:39:10,7567.75,7564,7570.25,7563.75,-106,257,-102,72.0,-1.42,0,0
48,2026-08-03 08:40:22,7564,7565.75,7569.25,7562,-407,147,10,54.3,0.18,0,0
49,2026-08-03 08:41:16,7565.75,7563,7568,7562.75,-128,158,-46,75.2,-0.61,7568,7562.75
50,2026-08-03 08:42:32,7563,7563.5,7565,7561,-241,4,-96,93.9,-1.02,7565,7561
51,2026-08-03 08:44:06,7563.5,7567,7571,7563.25,0,415,328,94.5,3.47,0,7563.25
52,2026-08-03 08:45:40,7567,7568.5,7569.5,7565,-83,131,42,101.2,0.41,0,0
53,2026-08-03 08:47:21,7568.75,7570.75,7572.75,7568.5,0,806,455,64.6,7.04,7572.75,0
54,2026-08-03 08:48:26,7570.75,7571,7575,7567.75,-370,692,-89,30.6,-2.91,0,0
55,2026-08-03 08:48:57,7571,7571,7573.5,7569.25,-199,349,-188,64.3,-2.92,0,7569.25
56,2026-08-03 08:50:01,7571,7571.5,7573,7567,-717,0,-448,70.4,-6.36,0,0
57,2026-08-03 08:51:11,7571.5,7576.5,7576.75,7571.5,-2,2164,2150,47.6,45.21,0,7571.5
