BarIdx,BarTime,Open,Close,High,Low,MinDelta,MaxDelta,Delta,DurationSec,DeltaRate,UnfHigh,UnfLow
0,2026-07-21 17:00:00,7545,7541.75,7545.5,7538.25,-32,627,603,6061.2,0.10,0,0
1,2026-07-21 18:41:01,7541.75,7541,7547,7539,-68,329,319,3257.8,0.10,0,0
2,2026-07-21 19:35:18,7541,7534.75,7543,7534.5,-217,52,-158,3307.2,-0.05,0,0
3,2026-07-21 20:30:26,7534.75,7539.5,7544.5,7534.25,-80,224,180,3872.7,0.05,0,0
4,2026-07-21 21:34:58,7539.5,7537.25,7544.75,7537.25,-201,81,-197,4602.8,-0.04,0,7537.25
5,2026-07-21 22:51:42,7537.25,7534.75,7539.25,7533.75,-268,0,-241,5400.9,-0.04,7539.25,0
6,2026-07-22 00:21:43,7534.75,7529,7537,7529,-504,66,-498,3444.9,-0.14,0,0
7,2026-07-22 01:19:08,7529,7524.5,7530.5,7523.5,-359,26,-196,1556.1,-0.13,0,7523.5
8,2026-07-22 01:45:04,7524.5,7518.25,7526.25,7518,-412,15,-400,1285.1,-0.31,7526.25,0
9,2026-07-22 02:06:29,7518.25,7525.25,7527.25,7516,-116,477,444,1404.7,0.32,0,0
10,2026-07-22 02:29:54,7525.25,7516.5,7526.25,7512,-351,150,-242,855.8,-0.28,7526.25,0
11,2026-07-22 02:44:09,7516.5,7521.75,7521.75,7512.75,-116,498,492,1260.9,0.39,0,0
12,2026-07-22 03:05:10,7521.75,7525.75,7526.25,7515.75,-19,977,962,1557.4,0.62,0,0
13,2026-07-22 03:31:08,7525.75,7529.25,7529.5,7521,-1,496,496,2121.8,0.23,7529.5,7521
14,2026-07-22 04:06:30,7529.25,7524,7531.75,7524,-28,283,-21,1636.4,-0.01,0,7524
15,2026-07-22 04:33:46,7524,7527.25,7530.5,7520.25,-256,197,111,2133.9,0.05,7530.5,0
16,2026-07-22 05:09:20,7527.25,7527.75,7533,7524.5,-7,541,462,1865.4,0.25,7533,7524.5
17,2026-07-22 05:40:26,7527.75,7524.5,7532,7523.75,-150,244,156,2172.4,0.07,0,7523.75
