combo,quarter,trades,win_pct,t_per_trade,PF,net_usd_fee
4/8,2021Q2,31,54.8,-1.419,0.607,-658
4/8,2021Q3,214,56.1,-1.369,0.621,-4412
4/8,2021Q4,210,55.7,-1.371,0.619,-4335
4/8,2022Q1,215,61.4,-0.684,0.782,-2590
4/8,2022Q2,218,58.3,-1.037,0.692,-3588
4/8,2022Q3,230,57.4,-1.135,0.669,-4068
4/8,2022Q4,205,53.7,-1.59,0.574,-4792
4/8,2023Q1,209,52.2,-1.818,0.534,-5482
4/8,2023Q2,216,58.8,-1.0,0.702,-3456
4/8,2023Q3,218,58.3,-1.018,0.696,-3538
4/8,2023Q4,204,54.4,-1.471,0.595,-4464
4/8,2024Q1,201,62.2,-0.572,0.813,-2141
4/8,2024Q2,217,58.1,-1.092,0.68,-3722
4/8,2024Q3,228,64.0,-0.338,0.884,-1760
4/8,2024Q4,213,60.1,-0.859,0.737,-3033
4/8,2025Q1,188,57.4,-1.117,0.673,-3283
4/8,2025Q2,209,58.4,-1.062,0.687,-3506
4/8,2025Q3,218,60.1,-0.849,0.739,-3076
4/8,2025Q4,228,53.1,-1.675,0.559,-5573
4/8,2026Q1,212,54.7,-1.458,0.6,-4604
4/8,2026Q2,213,62.4,-0.559,0.817,-2233
4/8,2026Q3,78,61.5,-0.615,0.8,-873
12/24,2021Q2,24,66.7,3.583,1.811,991
12/24,2021Q3,202,59.4,-1.946,0.78,-5620
12/24,2021Q4,206,62.1,-1.524,0.829,-4646
12/24,2022Q1,214,63.6,-1.229,0.861,-4036
12/24,2022Q2,218,68.3,0.541,1.071,712
12/24,2022Q3,229,60.3,-2.424,0.748,-7739
12/24,2022Q4,205,64.4,-0.868,0.899,-2942
12/24,2023Q1,208,64.9,-0.688,0.919,-2516
12/24,2023Q2,210,67.1,0.262,1.034,-48
12/24,2023Q3,215,67.4,0.451,1.059,460
12/24,2023Q4,199,64.8,-0.472,0.942,-1872
12/24,2024Q1,198,66.2,-0.182,0.978,-1143
12/24,2024Q2,215,64.2,-0.953,0.89,-3315
12/24,2024Q3,223,66.8,0.121,1.015,-443
12/24,2024Q4,211,63.0,-1.351,0.848,-4301
12/24,2025Q1,187,61.5,-1.936,0.792,-5180
12/24,2025Q2,204,65.2,-0.475,0.943,-1926
12/24,2025Q3,214,64.0,-0.953,0.889,-3299
12/24,2025Q4,225,69.3,1.151,1.161,2450
12/24,2026Q1,209,68.9,0.679,1.09,1044
12/24,2026Q2,212,69.3,0.901,1.121,1646
12/24,2026Q3,78,62.8,-1.397,0.844,-1636
