oos_start,picked,is_tpt,trades,win_pct,t_per_trade,PF,net_usd_fee
2022-06-01,3/24,-0.834,238,80.7,-2.273,0.516,-7596
2022-09-01,16/8,-0.72,208,27.4,-1.514,0.743,-4666
2022-12-01,12/3,-0.802,200,11.0,-1.445,0.477,-4312
2023-03-01,12/3,-0.874,229,11.4,-1.528,0.471,-5176
2023-06-01,24/16,-0.877,213,44.6,1.709,1.192,3804
2023-09-01,24/24,-0.181,203,45.3,-1.818,0.854,-5323
2023-12-01,24/16,0.198,188,34.0,-2.388,0.773,-6270
2024-03-01,16/24,0.007,215,59.5,-0.284,0.971,-1515
2024-06-01,16/24,0.049,222,57.7,-0.932,0.908,-3364
2024-09-01,16/6,-0.477,213,21.6,-1.333,0.722,-4296
2024-12-01,24/24,-0.625,188,44.7,-2.426,0.815,-6358
2025-03-01,24/6,-0.318,203,17.2,-0.926,0.817,-3060
2025-06-01,24/6,-0.442,217,16.1,-1.267,0.753,-4197
2025-09-01,24/4,-0.587,228,8.8,-1.754,0.545,-5798
2025-12-01,16/24,-0.188,212,62.3,0.844,1.093,1496
2026-03-01,24/24,0.487,206,48.1,-1.078,0.915,-3496
2026-06-01,16/24,0.22,146,57.5,-1.007,0.901,-2348
