tgt,stp,trades,win_pct,t_per_trade,PF,net_usd_fee,usd_per_trade
12,24,3999,65.1,-0.629,0.925,-45422,-11.36
8,24,4050,73.1,-0.66,0.899,-47588,-11.75
16,24,3953,58.3,-0.735,0.927,-50160,-12.69
24,24,3842,48.7,-0.739,0.94,-48922,-12.73
6,24,4078,77.6,-0.756,0.86,-52836,-12.96
6,16,4121,69.2,-0.821,0.835,-56711,-13.76
8,16,4107,63.4,-0.822,0.861,-56574,-13.78
12,16,4077,54.4,-0.826,0.888,-56382,-13.83
16,16,4048,47.5,-0.877,0.896,-58556,-14.47
4,24,4097,82.5,-0.945,0.777,-62740,-15.31
3,24,4105,85.5,-0.958,0.728,-63518,-15.47
12,2,4161,7.9,-0.976,0.491,-65351,-15.71
6,4,4163,30.9,-0.98,0.654,-65546,-15.74
3,2,4168,21.6,-0.985,0.397,-65900,-15.81
24,16,3972,37.8,-0.991,0.901,-63127,-15.89
12,4,4153,19.4,-0.992,0.701,-66036,-15.9
2,2,4168,26.7,-0.994,0.349,-66376,-15.93
3,16,4136,79.1,-0.997,0.704,-66001,-15.96
6,12,4137,61.4,-0.997,0.787,-66042,-15.96
3,3,4168,34.2,-1.007,0.505,-67050,-16.09
4,16,4133,75.1,-1.009,0.749,-66616,-16.12
6,3,4165,22.9,-1.01,0.576,-67152,-16.12
4,2,4167,17.6,-1.01,0.41,-67210,-16.13
12,3,4158,13.8,-1.014,0.621,-67266,-16.18
6,2,4165,13.1,-1.017,0.436,-67540,-16.22
4,3,4167,29.2,-1.021,0.533,-67772,-16.26
3,4,4167,43.4,-1.024,0.559,-67947,-16.31
4,4,4166,38.0,-1.027,0.597,-68044,-16.33
2,4,4167,50.5,-1.027,0.496,-68084,-16.34
2,3,4168,40.6,-1.029,0.441,-68188,-16.36
2,16,4143,83.3,-1.031,0.618,-67876,-16.38
8,2,4164,10.4,-1.035,0.445,-68449,-16.44
12,6,4143,28.0,-1.036,0.765,-68150,-16.45
8,4,4160,25.3,-1.05,0.658,-69135,-16.62
8,3,4163,18.4,-1.051,0.584,-69246,-16.63
2,24,4114,88.4,-1.053,0.627,-68549,-16.66
12,12,4108,45.9,-1.056,0.839,-68628,-16.71
16,2,4160,5.7,-1.058,0.462,-69572,-16.72
16,4,4147,15.2,-1.064,0.695,-69664,-16.8
2,12,4151,78.3,-1.068,0.594,-69954,-16.85
16,12,4090,39.3,-1.071,0.854,-69078,-16.89
12,8,4132,35.0,-1.074,0.796,-69937,-16.93
4,12,4145,68.4,-1.086,0.716,-70782,-17.08
3,12,4147,72.9,-1.091,0.667,-71077,-17.14
6,8,4153,49.7,-1.092,0.732,-71223,-17.15
8,12,4127,54.8,-1.094,0.8,-70894,-17.18
2,8,4161,69.4,-1.099,0.558,-71738,-17.24
16,6,4136,22.6,-1.115,0.765,-72101,-17.43
6,6,4159,41.2,-1.117,0.689,-72632,-17.46
3,8,4159,62.9,-1.122,0.627,-72906,-17.53
2,6,4164,61.5,-1.123,0.523,-73049,-17.54
4,8,4157,57.6,-1.135,0.67,-73512,-17.68
16,3,4155,10.3,-1.135,0.592,-73505,-17.69
3,6,4163,54.6,-1.138,0.59,-73796,-17.73
16,8,4121,28.9,-1.139,0.803,-73086,-17.74
24,2,4156,3.6,-1.145,0.431,-74008,-17.81
8,6,4153,35.2,-1.145,0.711,-73986,-17.81
24,8,4085,21.7,-1.148,0.819,-72910,-17.85
4,6,4162,49.0,-1.158,0.629,-74792,-17.97
24,12,4033,30.4,-1.167,0.862,-72966,-18.09
24,4,4134,10.4,-1.175,0.681,-75169,-18.18
8,8,4146,42.9,-1.199,0.741,-76661,-18.49
24,6,4113,16.3,-1.223,0.761,-77258,-18.78
24,3,4148,6.7,-1.301,0.551,-81956,-19.76
