variant,trades,win_pct,t_per_trade,PF,net_usd_fee,usd_per_trade
ema,4324,56.7,-1.21,0.652,-80509,-18.62
random,4185,57.1,-1.157,0.663,-75172,-17.96
long,4153,57.4,-1.132,0.669,-73298,-17.65
short,4123,57.3,-1.13,0.669,-72680,-17.63
