tgt,stp,trades,win_pct,t_per_trade,PF,net_usd_fee,usd_per_trade
16,24,9621,58.0,-0.701,0.929,-117974,-12.26
12,24,9875,64.1,-0.783,0.907,-131200,-13.29
8,24,10104,72.0,-0.838,0.873,-141202,-13.97
6,24,10220,76.8,-0.866,0.842,-146432,-14.33
4,24,10352,82.3,-0.87,0.791,-148757,-14.37
3,24,10427,85.2,-0.906,0.738,-154544,-14.82
24,8,10518,22.8,-0.929,0.851,-158926,-15.11
2,24,10470,88.5,-0.935,0.654,-159020,-15.19
16,16,10275,47.3,-0.936,0.889,-156188,-15.2
8,2,10643,11.2,-0.941,0.487,-162426,-15.26
24,2,10642,4.4,-0.944,0.523,-162772,-15.3
6,2,10643,13.8,-0.951,0.466,-163726,-15.38
24,3,10633,8.0,-0.956,0.664,-164240,-15.45
16,8,10606,29.9,-0.957,0.832,-163958,-15.46
8,4,10643,26.0,-0.956,0.684,-164488,-15.46
4,2,10643,18.2,-0.96,0.431,-164913,-15.49
16,2,10643,6.1,-0.96,0.505,-165013,-15.5
6,4,10643,31.0,-0.961,0.66,-165050,-15.51
12,16,10401,53.7,-0.966,0.869,-161991,-15.57
12,2,10643,7.8,-0.969,0.492,-166138,-15.61
8,8,10637,44.3,-0.97,0.785,-166167,-15.62
16,4,10639,15.6,-0.974,0.718,-166736,-15.67
8,16,10495,62.6,-0.975,0.837,-164682,-15.69
3,2,10643,21.5,-0.975,0.398,-166963,-15.69
12,4,10642,19.4,-0.976,0.704,-167072,-15.7
16,3,10641,11.1,-0.977,0.644,-167168,-15.71
6,8,10640,50.5,-0.982,0.755,-167865,-15.78
8,3,10643,18.9,-0.984,0.606,-168188,-15.8
24,6,10583,17.3,-0.985,0.805,-167303,-15.81
12,3,10642,13.9,-0.985,0.629,-168222,-15.81
6,3,10643,23.0,-0.991,0.582,-169138,-15.89
4,4,10643,38.2,-0.993,0.606,-169363,-15.91
2,2,10643,26.3,-0.994,0.346,-169476,-15.92
12,8,10629,35.5,-0.994,0.81,-169276,-15.93
24,16,9993,38.1,-0.995,0.899,-159250,-15.94
24,4,10623,11.2,-0.997,0.726,-169568,-15.96
24,12,10320,31.3,-0.997,0.88,-164720,-15.96
4,3,10643,29.3,-1.0,0.54,-170338,-16.0
4,16,10584,74.9,-1.004,0.749,-169906,-16.05
6,16,10544,68.1,-1.005,0.802,-169379,-16.06
2,3,10643,40.6,-1.015,0.444,-172300,-16.19
3,4,10643,43.3,-1.015,0.561,-172288,-16.19
3,3,10643,33.9,-1.016,0.5,-172450,-16.2
16,6,10628,23.2,-1.016,0.783,-172236,-16.21
2,4,10643,50.4,-1.017,0.498,-172576,-16.21
4,8,10643,58.6,-1.018,0.697,-172663,-16.22
8,6,10642,36.1,-1.021,0.738,-173034,-16.26
16,12,10492,39.6,-1.025,0.859,-171210,-16.32
3,16,10604,78.8,-1.029,0.697,-173489,-16.36
6,6,10642,42.0,-1.029,0.71,-174122,-16.36
24,24,9149,48.0,-1.031,0.916,-149984,-16.39
6,12,10617,61.0,-1.04,0.779,-175172,-16.5
4,6,10643,50.1,-1.04,0.658,-175626,-16.5
12,12,10557,45.9,-1.041,0.84,-174324,-16.51
2,16,10610,83.1,-1.047,0.613,-176022,-16.59
3,8,10643,63.6,-1.05,0.645,-176963,-16.63
4,12,10632,68.5,-1.056,0.722,-177524,-16.7
3,6,10643,55.4,-1.058,0.611,-178000,-16.72
8,12,10598,54.9,-1.06,0.805,-177456,-16.74
12,6,10638,27.9,-1.071,0.757,-179708,-16.89
2,6,10643,62.1,-1.073,0.537,-179938,-16.91
2,8,10643,69.5,-1.081,0.563,-181063,-17.01
3,12,10637,72.8,-1.09,0.667,-182192,-17.13
2,12,10638,77.8,-1.121,0.581,-186270,-17.51
