year,days,bars,bars_per_day,abr_pts,abr_ticks,med_daily_median_pts
2021,137,13237,96.6,3.87,15.5,3.25
2022,251,48034,191.4,4.97,19.9,4.25
2023,250,37773,151.1,3.52,14.1,3.0
2024,252,34765,138.0,4.0,16.0,3.5
2025,251,43850,174.7,5.34,21.4,4.25
2026,159,26126,164.3,5.57,22.3,5.0
ALL,1300,203785,156.8,4.62,18.5,3.75
