year,days,bars,bars_per_day,abr_pts,abr_ticks,med_daily_median_pts
2021,137,15453,112.8,3.82,15.3,3.25
2022,251,55258,220.2,4.91,19.6,4.25
2023,250,42870,171.5,3.49,13.9,3.0
2024,252,40244,159.7,3.99,16.0,3.5
2025,251,50236,200.1,5.27,21.1,4.25
2026,146,28314,193.9,5.5,22.0,5.0
ALL,1287,232375,180.6,4.56,18.3,3.75
