target_t,stop_t,trades,win_pct,be_win_pct,tgt,stp,eod,net_ticks,t_per_trade,PF,net_usd_fee,usd_per_trade,mae_avg,mae_med,mfe_avg,mfe_med
4,16,4365,75.2,80.0,3282,1075,8,-4264,-0.977,0.755,-70760,-16.21,7.56,6.0,4.33,5.0
12,12,4358,46.2,50.0,2007,2337,14,-4264,-0.978,0.85,-70732,-16.23,8.74,12.0,8.41,10.0
12,8,4367,35.4,40.0,1543,2814,10,-4312,-0.987,0.811,-71368,-16.34,6.44,8.0,7.07,6.0
16,12,4348,39.6,42.9,1712,2616,20,-4297,-0.988,0.865,-71104,-16.35,9.32,12.0,10.05,10.0
3,2,4379,21.4,40.0,939,3440,0,-4333,-0.989,0.394,-71678,-16.37,1.78,2.0,1.36,1.0
12,3,4374,13.9,20.0,609,3764,1,-4356,-0.996,0.627,-71946,-16.45,2.85,3.0,3.72,2.0
2,2,4379,26.6,50.0,1163,3216,0,-4363,-0.996,0.348,-72054,-16.45,1.71,2.0,1.14,1.0
3,3,4378,34.3,50.0,1501,2877,0,-4382,-1.001,0.507,-72287,-16.51,2.44,3.0,1.96,2.0
6,3,4377,23.0,33.3,1004,3372,1,-4384,-1.002,0.579,-72308,-16.52,2.67,3.0,2.74,2.0
2,16,4367,83.4,88.9,3641,722,4,-4392,-1.006,0.624,-72368,-16.57,5.92,3.0,2.77,3.0
4,2,4379,17.6,33.3,771,3608,0,-4406,-1.006,0.412,-72591,-16.58,1.83,2.0,1.53,1.0
3,4,4378,43.6,57.1,1907,2471,0,-4417,-1.009,0.564,-72724,-16.61,3.0,4.0,2.36,3.0
6,2,4378,13.2,25.0,576,3801,1,-4426,-1.011,0.439,-72837,-16.64,1.9,2.0,1.82,1.0
4,4,4378,38.1,50.0,1669,2709,0,-4426,-1.011,0.601,-72837,-16.64,3.16,4.0,2.74,3.0
4,3,4378,29.2,42.9,1280,3098,0,-4445,-1.015,0.535,-73074,-16.69,2.54,3.0,2.25,2.0
2,4,4378,50.6,66.7,2216,2162,0,-4450,-1.016,0.499,-73137,-16.71,2.79,3.0,1.93,3.0
2,3,4378,40.7,60.0,1782,2596,0,-4467,-1.02,0.444,-73350,-16.75,2.3,3.0,1.62,2.0
16,4,4373,15.4,20.0,671,3699,3,-4470,-1.022,0.706,-73367,-16.78,3.76,4.0,5.41,3.0
2,24,4358,88.4,92.3,3850,502,6,-4491,-1.031,0.632,-73570,-16.88,6.99,3.0,2.89,3.0
8,2,4377,10.4,20.0,453,3923,1,-4530,-1.035,0.445,-74133,-16.94,1.94,2.0,2.03,1.0
16,6,4371,23.0,27.3,1001,3362,8,-4528,-1.036,0.78,-74084,-16.95,5.33,6.0,7.05,4.0
16,2,4377,5.8,11.1,252,4124,1,-4552,-1.04,0.47,-74408,-17.0,2.01,2.0,2.62,1.0
8,4,4375,25.3,33.3,1108,3265,2,-4552,-1.04,0.661,-74400,-17.01,3.51,4.0,3.91,3.0
8,3,4376,18.5,27.3,809,3566,1,-4563,-1.043,0.587,-74542,-17.03,2.76,3.0,3.12,2.0
2,12,4369,78.4,85.7,3425,942,2,-4575,-1.047,0.6,-74664,-17.09,5.19,3.0,2.65,3.0
16,8,4364,29.3,33.3,1273,3078,13,-4598,-1.054,0.816,-74931,-17.17,6.77,8.0,8.3,6.0
6,8,4372,49.9,57.1,2180,2185,7,-4615,-1.056,0.739,-75176,-17.19,5.6,7.0,4.68,6.0
3,12,4369,73.2,80.0,3195,1171,3,-4609,-1.055,0.675,-75088,-17.19,5.89,4.0,3.39,4.0
4,12,4369,68.6,75.0,2995,1370,4,-4637,-1.061,0.721,-75438,-17.27,6.47,6.0,4.08,5.0
24,12,4318,30.8,33.3,1302,2974,42,-4590,-1.063,0.873,-74647,-17.29,10.01,12.0,12.73,10.0
24,8,4347,22.1,25.0,944,3377,26,-4646,-1.069,0.831,-75463,-17.36,7.14,8.0,10.21,6.0
8,12,4362,54.9,60.0,2391,1960,11,-4669,-1.07,0.804,-75810,-17.38,7.96,10.0,6.48,9.0
2,8,4375,69.6,80.0,3045,1329,1,-4687,-1.071,0.565,-76088,-17.39,4.22,3.0,2.44,3.0
3,8,4375,63.3,72.7,2767,1607,1,-4715,-1.078,0.638,-76438,-17.47,4.7,4.0,3.07,4.0
6,6,4376,41.4,50.0,1812,2560,4,-4763,-1.088,0.695,-77042,-17.61,4.57,6.0,4.13,4.0
4,8,4375,57.9,66.7,2532,1841,2,-4790,-1.095,0.679,-77375,-17.69,5.09,6.0,3.65,5.0
16,3,4374,10.5,15.8,458,3915,1,-4805,-1.099,0.604,-77558,-17.73,2.91,3.0,4.16,2.0
2,6,4377,61.7,75.0,2701,1676,0,-4844,-1.107,0.527,-78058,-17.83,3.59,3.0,2.23,3.0
3,6,4377,54.9,66.7,2403,1974,0,-4844,-1.107,0.598,-78058,-17.83,3.94,4.0,2.77,4.0
8,6,4374,35.4,42.9,1547,2823,4,-4885,-1.117,0.717,-78558,-17.96,4.84,6.0,4.86,4.0
24,2,4376,3.7,7.7,160,4215,1,-4943,-1.13,0.437,-79292,-18.12,2.03,2.0,2.97,1.0
4,6,4377,49.2,60.0,2154,2222,1,-4958,-1.133,0.635,-79483,-18.16,4.22,6.0,3.26,4.0
24,4,4368,10.6,14.3,458,3904,6,-5022,-1.15,0.687,-80247,-18.37,3.88,4.0,6.37,3.0
24,6,4362,16.6,20.0,714,3633,15,-5024,-1.152,0.774,-80248,-18.4,5.57,6.0,8.5,4.0
8,8,4371,43.1,50.0,1883,2481,7,-5064,-1.159,0.749,-80784,-18.48,6.01,8.0,5.57,6.0
24,3,4372,6.8,11.1,293,4076,3,-5594,-1.28,0.557,-87413,-19.99,2.98,3.0,4.8,2.0
