date,gex,gex_pct_1y
2025-01-29,62358948.68227035,0.350597609561753
2025-01-30,314425299.2355969,0.4820717131474104
2025-01-31,5167213.840129733,0.2948207171314741
2025-02-03,-332431142.52429515,0.1952191235059761
2025-02-04,-15022164.563408136,0.2749003984063745
2025-02-05,199593653.2354324,0.4342629482071713
2025-02-06,425611497.2350154,0.549800796812749
2025-02-07,-126365493.92470974,0.2350597609561753
2025-02-10,190215165.4495064,0.43824701195219123
2025-02-11,236976511.24362993,0.46613545816733065
2025-02-12,27788765.217494547,0.32669322709163345
2025-02-13,773961152.170615,0.8167330677290837
2025-02-14,713410559.895313,0.7649402390438247
2025-02-18,831976528.433615,0.852
2025-02-19,870895198.395992,0.868
2025-02-20,498919966.6205293,0.616
2025-02-21,-551245721.9253286,0.148
2025-02-24,-775516611.8880215,0.0796812749003984
2025-02-25,-858371110.9330015,0.06772908366533864
2025-02-26,-719617682.3974255,0.099601593625498
2025-02-27,-1134123077.2228537,0.03187250996015936
2025-02-28,-563930511.1732724,0.1553784860557769
2025-03-03,-934840955.6799719,0.06374501992031872
2025-03-04,-1181885608.7783391,0.0199203187250996
2025-03-05,-868724430.7479541,0.07569721115537849
2025-03-06,-1169333842.255793,0.027888446215139442
2025-03-07,-1009892425.1626499,0.055776892430278883
2025-03-10,-1343927780.561883,0.0
2025-03-11,-1418782204.676172,0.0
2025-03-12,-1341154736.583168,0.01195219123505976
2025-03-13,-1496855556.6641586,0.0
2025-03-14,-1107362117.6860027,0.05976095617529881
2025-03-17,-930150344.8937701,0.099601593625498
2025-03-18,-1161522838.7863252,0.05179282868525897
2025-03-19,-793272293.8973873,0.13545816733067728
2025-03-20,-1006133700.3314983,0.08366533864541832
2025-03-21,-813871770.3603855,0.13147410358565736
2025-03-24,-311747913.99472356,0.28286852589641437
2025-03-25,-238188053.23660088,0.29880478087649404
2025-03-26,-655691567.453516,0.19123505976095617
2025-03-27,-848555928.9783616,0.12749003984063745
2025-03-28,-1222461327.1933923,0.035856573705179286
2025-03-31,-913263825.886337,0.11553784860557768
2025-04-01,-735855828.4926591,0.16334661354581673
2025-04-02,-540145112.4009585,0.26294820717131473
2025-04-03,-1313323501.7864978,0.0199203187250996
2025-04-04,-1303386542.158625,0.023809523809523808
2025-04-07,-1202106779.5273788,0.047619047619047616
2025-04-08,-1136589556.0792441,0.07539682539682539
2025-04-09,-712257443.8498327,0.1984126984126984
2025-04-10,-891452167.9390805,0.1388888888888889
2025-04-11,-752861272.5677556,0.18253968253968253
2025-04-14,-685658387.0796914,0.21428571428571427
2025-04-15,-719461058.5360658,0.20634920634920634
2025-04-16,-984311283.725342,0.10714285714285714
2025-04-17,-765677589.3737705,0.1865079365079365
2025-04-21,-938855183.4954597,0.11952191235059761
2025-04-22,-668257116.8529705,0.24302788844621515
2025-04-23,-444481686.387105,0.3187250996015936
2025-04-24,-214608007.71458924,0.35856573705179284
2025-04-25,-153269111.04546976,0.3745019920318725
2025-04-28,-117635028.8688699,0.38247011952191234
2025-04-29,-87679800.43257439,0.3944223107569721
2025-04-30,-103646237.67949843,0.38645418326693226
2025-05-01,31395682.034122586,0.4581673306772908
2025-05-02,146853785.78175485,0.5219123505976095
2025-05-05,-32176249.486173034,0.41434262948207173
2025-05-06,-213508669.09102815,0.3386454183266932
2025-05-07,-130344082.05000949,0.36254980079681276
2025-05-08,8905093.107757807,0.44621513944223107
2025-05-09,-43913969.3753075,0.4063745019920319
2025-05-12,583252395.1084977,0.7450199203187251
