date,bl_1,bl_2,bl_3,bl_4,bl_5,bl_6,bl_7,bl_8,bl_9,bl_10
2026-01-06,422.96,415.03,416.4,423.59,416.9,423.87,424.75,436.9,437.85,438.34
2026-01-07,412.9,418.59,442.63,415.86,420.73,444.81,428.05,430.96,431.86,436.02
2026-01-08,427.89,429.32,422.58,448.31,450.27,420.43,431.62,435.35,436.36,437.12
2026-01-09,441.72,450.84,452.1,427.21,430.3,433.88,436.66,442.44,443.7,445.01
2026-01-12,447.74,435.12,457.15,437.1,450.44,433.7,434.43,454.72,465.57,464.52
2026-01-13,449.53,430.95,457.02,433.12,434.81,463.38,451.35,449.02,434.34,453.23
2026-01-14,445.88,455.98,454.87,440.03,451.24,443.11,425.6,435.91,440.85,445.56
2026-01-15,450.57,444.86,443.37,446.25,452.21,424.13,447.06,436.63,437.94,426.66
2026-01-16,433.25,449.38,450.44,424.6,443.1,434.22,438.32,448.14,445.46,422.9
2026-01-20,432.73,415.03,431.49,413.74,425.38,427.16,409.48,420.66,422.24,423.73
2026-01-21,429.49,422.01,430.96,417.4,435.25,440.77,422.92,418.68,435.96,439.85
2026-01-22,461.13,436.18,432.62,451.85,437.34,449.93,439.99,463.39,451.3,459.5
2026-01-23,448.56,432.3,465.15,456.88,453.51,451.05,450.6,460.56,435.17,446.38
2026-01-26,442.56,441.25,448.67,439.19,420.03,425.3,426.45,427.59,428.0,428.98
2026-01-27,443.28,420.28,438.85,433.7,415.11,441.43,440.38,437.27,436.27,435.05
2026-01-28,443.52,425.6,441.89,445.68,420.16,422.03,423.76,424.14,424.7,426.13
2026-01-29,420.52,412.01,421.74,413.23,423.46,418.78,430.18,410.42,431.9,416.09
2026-01-30,437.14,419.87,426.98,418.41,443.51,442.9,422.88,424.95,433.03,415.63
2026-02-02,426.29,428.22,406.61,421.87,405.11,421.05,418.51,430.51,432.97,435.38
2026-02-03,432.72,423.25,428.35,427.04,431.15,419.09,419.83,420.77,422.61,434.62
2026-02-04,391.33,418.71,419.35,415.08,405.3,415.8,413.6,412.3,409.66,407.78
2026-02-05,382.48,383.93,390.27,389.63,395.04,397.25,398.18,401.2,402.07,408.89
2026-02-06,400.88,423.06,411.74,419.34,415.6,400.55,426.65,421.66,396.57,417.94
2026-02-09,426.87,401.87,427.45,405.61,419.27,412.98,419.86,430.85,423.37,424.99
2026-02-10,437.04,432.47,440.9,417.3,439.07,418.66,423.63,435.4,426.08,427.53
2026-02-11,420.51,435.57,432.06,441.93,436.9,419.71,421.97,423.31,424.74,440.78
2026-02-12,407.04,412.89,401.14,414.35,408.53,426.94,431.21,432.77,425.34,409.42
2026-02-13,426.11,406.33,429.09,400.89,419.93,414.65,416.2,405.58,422.97,404.82
2026-02-17,414.22,417.95,396.57,418.98,424.69,420.74,423.6,399.25,400.55,419.59
2026-02-18,423.64,402.33,417.67,406.65,412.63,424.44,399.08,407.61,428.09,398.07
2026-02-19,404.71,397.38,422.9,408.16,408.99,416.34,420.79,415.26,418.38,418.88
2026-02-20,418.99,416.17,422.22,404.45,402.13,408.4,426.03,418.47,415.14,413.56
2026-02-23,411.45,410.42,408.7,413.18,412.31,397.84,388.52,387.59,389.12,390.08
2026-02-24,418.88,398.22,412.59,414.06,396.45,405.11,402.89,422.86,420.58,420.14
2026-02-25,407.9,406.8,421.96,422.84,430.41,427.96,404.91,429.39,403.59,423.66
2026-02-26,406.2,419.35,409.68,412.84,399.31,414.62,397.79,396.62,418.43,417.36
2026-02-27,388.39,413.54,404.38,405.29,412.51,411.17,406.08,401.24,395.35,409.46
2026-03-02,392.94,394.18,399.18,405.79,415.55,414.34,405.14,407.06,410.92,411.72
2026-03-03,379.94,400.43,396.44,405.27,385.84,402.44,398.5,397.09,404.81,404.55
2026-03-04,415.29,393.67,417.55,396.04,418.26,397.2,412.69,410.37,401.42,392.36
2026-03-05,392.49,396.73,418.63,402.97,395.82,399.04,401.17,407.46,409.09,393.77
2026-03-06,383.44,406.82,397.02,390.52,407.97,401.81,398.82,395.7,409.97,385.26
2026-03-09,402.13,406.96,392.52,401.64,390.56,408.06,396.39,405.8,386.9,398.21
2026-03-10,409.72,391.9,395.78,401.94,408.07,399.92,387.94,408.71,397.18,406.72
2026-03-11,416.2,417.88,396.38,414.45,405.07,412.73,406.23,405.47,412.33,403.84
2026-03-12,399.36,387.12,387.38,406.17,401.01,385.16,393.29,391.89,383.63,397.44
2026-03-13,380.0,399.51,387.82,383.43,403.32,398.92,387.04,401.22,396.15,392.26
2026-03-17,411.21,405.17,409.3,387.57,401.73,401.52,387.11,407.84,388.87,391.8
2026-03-18,380.81,392.92,403.54,402.83,401.47,399.91,384.1,394.4,397.93,383.3
2026-03-19,375.33,383.82,388.09,391.79,383.59,380.65,392.74,392.32,388.53,387.63
2026-03-20,379.17,358.33,365.75,358.67,375.79,371.51,374.25,377.03,356.11,374.57
2026-03-23,386.45,388.65,373.48,382.36,380.42,376.77,385.01,390.11,369.77,389.08
2026-03-24,396.08,374.35,382.28,386.07,371.58,396.82,371.19,389.58,394.23,393.87
2026-03-25,379.56,390.5,373.31,383.25,372.55,392.9,398.25,389.82,396.93,382.42
2026-03-26,364.42,379.53,369.05,369.56,359.12,373.42,383.53,382.5,381.44,378.92
2026-03-27,374.82,348.84,355.2,370.18,363.05,349.86,353.18,366.31,373.88,372.93
2026-03-30,352.92,354.89,346.65,358.97,367.63,345.0,366.81,364.87,343.38,357.24
2026-03-31,386.58,357.82,384.0,371.45,365.18,358.85,375.68,379.6,378.89,381.31
2026-04-01,371.96,390.52,377.98,369.9,395.08,388.17,381.76,366.99,373.02,388.85
2026-04-02,371.22,352.71,368.49,365.35,352.38,345.62,371.6,369.6,367.24,356.5
2026-04-06,359.28,345.17,365.78,363.71,350.37,340.89,343.61,339.73,367.0,365.24
2026-04-07,356.0,351.27,331.79,343.14,361.27,355.73,349.35,346.67,361.55,337.75
