  ES 2025-10: 23 parsed, 23 new
  ES 2025-11: 19 parsed, 19 new
  ES 2025-12: 0 parsed, 0 new
  ES 2026-01: 20 parsed, 20 new
  ES 2026-02: 19 parsed, 19 new
  ES 2026-03: 22 parsed, 22 new
  ES 2026-04: 21 parsed, 21 new
  ES 2026-05: 20 parsed, 20 new
  ES 2026-06: 21 parsed, 21 new
  ES 2026-07: 8 parsed, 8 new

0DTE backfill added 173 rows -> C:\Users\Admin\myquant\data\menthorq\levels0_history.csv
