date,call_resistance,call_resistance_0dte,high_vol_level,put_support,put_support_0dte,1d_max,1d_min,distance_to_hvl_%,implied_vol_30d,total_gex,net_gex,expiring_gex,put_call_gex,total_dex,net_dex,put_call_dex,bl_1,bl_2,bl_3,bl_4,bl_5,bl_6,bl_7,bl_8,bl_9,bl_10,hvl_0dte,gamma_wall_0dte,gex_1,gex_2,gex_3,gex_4,gex_5,gex_6,gex_7,gex_8,gex_9,gex_10,top_gex_strike_1,top_gex_strike_2,top_gex_strike_3,contract,pc_oi,gamma_condition,exp_move_1d_pct,option_score,momentum_score,volatility_score,seasonality_score
2026-03-06,25500,24800,25100,23500,24000,25113.33,24227.17,1.74%,28.51,7.25M,-2.29M,-0.20M,1.92,11.07B,-3.84B,2.06,25197.21,24280.95,25103.33,24878.61,24804.18,24968.52,25386.85,24226.26,24193.11,24677.69,25060.0,24800.0,24250.0,24500.0,24750.0,24900.0,25000.0,24200.0,23900.0,25350.0,23800.0,25300.0,24250,24500,24750,NQH2026,1.74,Negative,1.8,0,2,4,0
2026-03-09,25500,25100,24850,24000,24900,25384.57,24597.43,0.56%,25,8.25M,-1.37M,0.01M,1.4,10.54B,-1.11B,1.24,25090.35,25712.38,24511.33,24288.16,25648.72,25488.69,25338.01,25237.9,24576.98,24762.23,24930.0,25100.0,25200.0,24800.0,25350.0,24750.0,25000.0,24500.0,24250.0,24400.0,24300.0,25700.0,25200,24800,25350,NQH2026,1.60,Negative,1.57,1,2,3,2
2026-03-10,25500,25250,25100,24500,24990,25383.12,24581.88,0.47%,25.46,11.29M,-1.08M,0.12M,1.21,11.97B,-1.05B,1.19,24621.74,25238.43,24417.7,25637.13,25022.15,24475.01,25432.24,25347.72,25494.52,25524.26,25025.0,25250.0,25200.0,24750.0,25350.0,24800.0,25300.0,24200.0,24400.0,24250.0,24300.0,25450.0,25200,24750,25350,NQH2026,1.59,Negative,1.6,2,2,3,0
2026-03-11,25500,25000,24950,24000,24600,25354.07,24612.93,0.13%,23.55,12.12M,-0.48M,0.37M,1.08,11.29B,-351.5M,1.06,24674.51,25562.98,24915.32,24506.52,24837.27,25113.57,25009.76,25378.57,24420.81,25855.6,24950.0,25000.0,25200.0,25100.0,24800.0,24750.0,25250.0,24500.0,24400.0,25600.0,25450.0,25700.0,25200,25100,24800,NQH2026,1.49,Negative,1.48,1,2,2,0
2026-03-12,24600,24600,24550,24000,24400,24992.53,24127.47,0.04%,27.96,11.27M,-2.48M,-0.56M,1.56,12.02B,-3.68B,1.88,25096.3,24721.35,25487.8,25206.82,24912.41,24126.1,24598.54,23999.29,24027.59,24181.23,24550.0,24600.0,24500.0,24200.0,24800.0,24250.0,24750.0,25000.0,25100.0,23750.0,25300.0,25200.0,24500,24200,24800,NQH2026,1.43,Negative,1.76,1,1,4,0
2026-03-13,25500,24900,24875,24000,24000,24811.72,23976.78,1.97%,27.17,7.36M,-2.73M,-0.24M,2.18,9.61B,-3.79B,2.3,24204.73,25028.24,24674.91,24010.71,24814.63,24619.65,23651.57,23853.06,23950.81,24941.7,24590.0,24900.0,24500.0,24200.0,24400.0,24800.0,24750.0,25000.0,23750.0,25100.0,25200.0,23900.0,24500,24200,24400,NQH2026,1.53,Negative,1.71,1,1,4,2
2026-03-16,26000,25100,24700,24000,24000,25237.78,24544.72,0.77%,22.1,4.29M,-0.39M,0.07M,1.2,7.3B,-1.87B,1.69,24858.84,24724.59,24538.31,24118.31,25097.13,25592.91,24592.72,25240.76,25052.11,24896.7,24600.0,25100.0,24750.0,25000.0,24900.0,24800.0,25200.0,24500.0,25450.0,24200.0,24250.0,25500.0,24750,25000,24900,NQM2026,1.48,Negative,1.39,1,1,3,1
2026-03-17,26000,25100,24700,24000,24250,25343.93,24687.07,1.26%,20.84,5.57M,0.49M,0.19M,0.84,8.05B,-240.2M,1.06,24917.35,24606.18,25100.16,25301.43,24738.9,24996.95,25498.12,25341.5,25537.05,,24670.0,25100.0,24750.0,25300.0,24900.0,25000.0,25200.0,24500.0,25600.0,25450.0,24400.0,25400.0,24750,25300,24900,NQM2026,1.31,Positive,1.31,1,1,3,1
2026-03-18,24750,25100,24720,24000,24250,25010.17,24292.33,0.28%,23.11,5.93M,-0.77M,-0.07M,1.3,8.85B,-2.36B,1.73,25151.52,25022.55,25643.71,24778.87,24029.68,25547.86,24953.86,24662.13,23227.68,23911.53,24670.0,25100.0,24500.0,24900.0,24400.0,24300.0,24600.0,24200.0,24100.0,25150.0,25250.0,25300.0,24500,24900,24400,NQM2026,1.37,Negative,1.46,1,1,3,0
2026-03-19,24750,25100,24720,24000,24250,24903.57,24256.43,0.57%,20.9,5.95M,-1.13M,-0.18M,1.47,8.65B,-2.69B,1.9,25113.75,24214.3,25205.77,24723.11,24922.34,24016.27,25320.16,25278.55,24317.67,24405.75,24670.0,25100.0,24500.0,24900.0,24400.0,24600.0,24300.0,24200.0,25000.0,24100.0,25150.0,25200.0,24500,24900,24400,NQM2026,1.37,Negative,1.32,1,1,3,2
2026-03-20,24750,24530,24700,24000,24000,24436.04,23766.96,2.48%,22.03,5.71M,-2.09M,-0.25M,2.15,9.82B,-5.06B,3.12,24610.33,24776.14,24647.32,24424.44,23804.03,24060.43,23554.13,24725.23,25373.51,23395.42,24450.0,24530.0,24200.0,24250.0,24100.0,23900.0,24400.0,23500.0,24500.0,23750.0,24600.0,23600.0,24200,24250,24100,NQM2026,1.40,Negative,1.39,1,1,4,0
2026-03-23,24700,24700,24460,24000,24200,24774.1,24042.4,0.21%,23.79,9.90M,-0.79M,0.11M,1.17,11.64B,-2.92B,1.67,24030.6,24697.5,25019.17,24651.48,23623.48,24774.15,24677.97,24456.16,24279.81,23870.07,24390.0,24700.0,24750.0,24250.0,24600.0,24100.0,24650.0,23750.0,25000.0,24800.0,23800.0,23900.0,24750,24250,24600,NQM2026,1.37,Negative,1.5,1,1,4,0
2026-03-24,24750,24300,24250,24000,24100,24590.23,23837.27,0.15%,24.68,10.15M,-1.37M,0.00M,1.31,12B,-4.21B,2.08,24531.94,24304.31,25117.64,24603.32,24501.92,24871.07,23582.16,23834.16,23708.19,23751.7,24160.0,24300.0,23900.0,24200.0,24500.0,24400.0,24050.0,23500.0,23750.0,23800.0,24700.0,23700.0,23900,24200,24500,NQM2026,1.37,Negative,1.55,1,1,4,2
2026-03-25,24750,24600,24450,24000,24370,24731.22,24004.28,0.34%,23.68,11.32M,-1.31M,-0.59M,1.26,11.91B,-3.22B,1.74,23996.14,23872.64,24743.26,24607.98,24998.3,25236.07,24705.43,24459.77,23632.64,24296.89,24430.0,24600.0,24200.0,24100.0,24700.0,24500.0,24300.0,23750.0,25000.0,23900.0,23800.0,23700.0,24200,24100,24700,NQM2026,1.34,Negative,1.49,1,1,4,2
2026-03-26,24750,24300,24050,24000,23500,24110.4,23478.1,1.07%,21.09,10.59M,-2.67M,-0.79M,1.68,13.74B,-7.42B,3.35,24304.14,23728.97,24223.82,24783.54,23803.53,24464.95,24051.66,23504.9,23075.73,23219.63,24050.0,24300.0,23750.0,23800.0,23700.0,23600.0,23950.0,23300.0,23400.0,23250.0,23200.0,24250.0,23750,23800,23700,NQM2026,1.27,Negative,1.33,1,1,4,0
2026-03-27,24750,23940,24500,24000,23500,23647,23010,5.02%,21.67,5.77M,-2.78M,-0.40M,2.86,12B,-8.62B,6.1,23703.46,24023.95,23910.78,23397.9,23212.09,23004.12,22745.08,22633.14,23596.45,24505.85,24325.0,23940.0,23600.0,23400.0,23300.0,23250.0,23200.0,23000.0,23750.0,23800.0,23700.0,22750.0,23600,23400,23300,NQM2026,1.43,Negative,1.37,1,1,4,2
