date,call_resistance,call_resistance_0dte,high_vol_level,put_support,put_support_0dte,1d_max,1d_min,distance_to_hvl_%,implied_vol_30d,total_gex,net_gex,expiring_gex,put_call_gex,total_dex,net_dex,put_call_dex,bl_1,bl_2,bl_3,bl_4,bl_5,bl_6,bl_7,bl_8,bl_9,bl_10,hvl_0dte,gamma_wall_0dte,gex_1,gex_2,gex_3,gex_4,gex_5,gex_6,gex_7,gex_8,gex_9,gex_10,top_gex_strike_1,top_gex_strike_2,top_gex_strike_3,contract,pc_oi,gamma_condition,exp_move_1d_pct,option_score,momentum_score,volatility_score,seasonality_score
2026-03-06,6950,6900,6875,6600,6600,6846.64,6640.86,1.95%,24.22,261.18M,-110.01M,-15.78M,2.46,77.87B,-40.38B,3.15,6887.65,6638.99,6899.86,6598.76,6800.37,6720.12,6832.55,6679.41,6875.22,6940.46,6860.0,6900.0,6700.0,6800.0,6750.0,6650.0,6725.0,6550.0,6850.0,6625.0,6925.0,6575.0,6700,6800,6750,ESH2026,2.61,Negative,1.53,1,1,4,0
2026-03-09,6950,6855,6850,6700,6700,6892.39,6709.61,0.72%,21.33,283.38M,-63.03M,1.65M,1.57,66.98B,-18.56B,1.77,6979.92,6852.09,6880.96,6673.06,6725.35,6688.33,6658.05,6701.75,6869.02,6935.29,6755.0,6855.0,6750.0,6800.0,6725.0,6775.0,6840.0,6650.0,6900.0,6675.0,6975.0,6925.0,6750,6800,6725,ESH2026,2.58,Negative,1.34,1,1,4,1
2026-03-10,6950,6860,6810,6600,6750,6881.5,6693,0.34%,22.04,330.01M,-76.41M,-6.68M,1.6,73.88B,-18.82B,1.68,6855.87,6648.67,6703.33,6796.87,6906.28,6635.76,6925.72,6901.51,6692.54,6867.73,6815.0,6860.0,6700.0,6800.0,6775.0,6725.0,6875.0,6650.0,6900.0,6675.0,6925.0,6975.0,6700,6800,6775,ESH2026,3.27,Negative,1.39,1,1,3,0
2026-03-11,6950,6850,6800,6700,6700,6868.73,6690.27,0.30%,20.89,339.63M,-78.83M,-4.60M,1.6,69.45B,-17.28B,1.66,6698.37,6853.36,7015.76,6949.66,6886.7,6865.71,6749.63,6587.44,6627.42,6740.81,6770.0,6850.0,6750.0,6725.0,6775.0,6790.0,6710.0,6650.0,6900.0,6675.0,6925.0,6875.0,6750,6725,6775,ESH2026,3.10,Negative,1.32,1,1,3,1
2026-03-12,6950,6720,6800,6600,6600,6784.15,6570.85,1.83%,25.35,323.19M,-141.88M,-54.02M,2.57,82.33B,-43.69B,3.26,6851.82,6823.67,6801.47,6721.31,6599.16,6930.39,6773.45,6532.97,6564.04,6590.63,6775.0,6720.0,6700.0,6750.0,6650.0,6725.0,6675.0,6500.0,6550.0,6850.0,6875.0,6825.0,6700,6750,6650,ESH2026,3.12,Negative,1.6,1,1,4,0
2026-03-13,6755,6755,6840,6500,6600,6740.29,6531.71,3.07%,24.95,211.86M,-110.77M,-16.60M,3.19,63.43B,-38.14B,4.02,6754.37,6546.49,6628.61,6812.37,6711.75,6585.13,6805.49,6592.38,6920.53,6434.72,6715.0,6755.0,6700.0,6650.0,6625.0,6550.0,6725.0,6750.0,6800.0,6450.0,6775.0,6825.0,6700,6650,6625,ESH2026,2.70,Negative,1.57,1,1,4,2
2026-03-16,7000,6900,6875,6500,6550,6836.66,6674.34,1.77%,19.07,290.41M,-99.83M,-25.53M,2.05,153.83B,-11.23B,1.16,6674.74,6547.48,6944.6,6799.95,6651.36,6702.26,6624.05,6631.57,6756.75,6836.11,6875.0,6900.0,6700.0,6800.0,6750.0,6675.0,6825.0,6600.0,6650.0,6625.0,6850.0,6630.0,6700,6800,6750,ESM2026,2.57,Negative,1.2,1,1,4,0
2026-03-17,7000,6830,6800,6500,6550,6850.03,6696.47,0.39%,18,353.55M,-91.46M,-20.32M,1.7,162.77B,-4.29B,1.05,6850.96,6699.65,6662.53,6904.77,6825.57,6653.08,6752.9,6535.23,6886.89,6925.64,6825.0,6830.0,6700.0,6750.0,6775.0,6725.0,6740.0,6650.0,6625.0,6900.0,6675.0,6925.0,6700,6750,6775,ESM2026,2.66,Negative,1.13,1,1,4,0
2026-03-18,6900,6820,6800,6500,6550,6761.62,6592.38,1.84%,20.12,374.57M,-168.12M,-35.89M,2.63,181.85B,-40.4B,1.57,6818.14,6760.27,6551.17,6944.91,6778.99,6602.27,6679.29,6752.06,6291.83,6477.52,6825.0,6820.0,6700.0,6600.0,6650.0,6750.0,6625.0,6525.0,6575.0,6775.0,6580.0,6540.0,6700,6600,6650,ESM2026,2.83,Negative,1.27,1,1,4,0
2026-03-19,6900,6720,6800,6500,6600,6744.22,6575.78,2.10%,20.07,375.45M,-185.90M,-39.39M,2.96,179.37B,-44.1B,1.65,6809.03,6505.07,6721.61,6829.56,6859.65,6612.85,6551.33,6575.74,6652.51,6662.68,6810.0,6720.0,6700.0,6650.0,6625.0,6675.0,6725.0,6550.0,6750.0,6525.0,6575.0,6775.0,6700,6650,6625,ESM2026,2.83,Negative,1.26,1,1,4,1
2026-03-20,7000,6720,6800,6500,6400,6652.38,6465.62,3.67%,22.6,342.49M,-195.82M,-22.71M,3.67,178B,-80.11B,2.64,6700.14,6653.84,6549.15,6722.08,6742.09,6708.24,6645.89,6626.78,6373.9,6399.21,6700.0,6720.0,6600.0,6550.0,6650.0,6525.0,6575.0,6450.0,6675.0,6425.0,6725.0,6375.0,6600,6550,6650,ESM2026,2.54,Negative,1.42,1,1,4,1
2026-03-23,6750,6750,6700,6500,6575,6720.96,6548.54,0.98%,20.63,468.52M,-156.20M,-9.40M,2,188.02B,-53.38B,1.79,6723.98,6548.62,6422.09,6532.06,6648.97,6479.91,6699.42,6472.01,6314.93,6369.79,6700.0,6750.0,6600.0,6550.0,6650.0,6625.0,6675.0,6525.0,6800.0,6475.0,6725.0,6540.0,6600,6550,6650,ESM2026,2.92,Negative,1.3,1,1,4,0
