date,net_gex,gex_percentile_1y
2025-01-29,252108852.24904647,0.3359683794466403
2025-01-30,229460179.22416168,0.30434782608695654
2025-01-31,172518814.7662514,0.24110671936758893
2025-02-03,70574523.23865151,0.11462450592885376
2025-02-04,234391248.2628543,0.3201581027667984
2025-02-05,212317169.9035722,0.2845849802371542
2025-02-06,245907695.10562825,0.3359683794466403
2025-02-07,99218825.24772227,0.1383399209486166
2025-02-10,105072020.14187537,0.14624505928853754
2025-02-11,256848869.17220756,0.35177865612648224
2025-02-12,367606936.82974416,0.4743083003952569
2025-02-13,533622970.52202296,0.7430830039525692
2025-02-14,421819644.1666391,0.5533596837944664
2025-02-18,430746001.39643276,0.5634920634920635
2025-02-19,475958243.0846757,0.626984126984127
2025-02-20,554642704.1917435,0.7817460317460317
2025-02-21,327223049.1783359,0.373015873015873
2025-02-24,349735162.2808425,0.42292490118577075
2025-02-25,318232810.58145326,0.36363636363636365
2025-02-26,97167821.68652292,0.12648221343873517
2025-02-27,82564300.03977837,0.11462450592885376
2025-02-28,173045647.49324137,0.21739130434782608
2025-03-03,119648944.1727444,0.15810276679841898
2025-03-04,88284910.89202708,0.11857707509881422
2025-03-05,68369930.02189909,0.09090909090909091
2025-03-06,92251897.12578554,0.13438735177865613
2025-03-07,137086043.38924494,0.18181818181818182
2025-03-10,-11728800.853163972,0.03557312252964427
2025-03-11,-36231009.208166115,0.015810276679841896
2025-03-12,-74628606.35371628,0.007905138339920948
2025-03-13,-107046006.69800195,0.0
2025-03-14,-28428574.23856705,0.023715415019762844
2025-03-17,-23835326.22127683,0.03162055335968379
2025-03-18,-28881927.11636354,0.023715415019762844
2025-03-19,20643620.186887108,0.05928853754940711
2025-03-20,-6292543.193824299,0.043478260869565216
2025-03-21,79446491.81402928,0.11067193675889328
2025-03-24,120029951.43496235,0.17786561264822134
2025-03-25,213944911.7585653,0.2608695652173913
2025-03-26,138734169.8553029,0.19367588932806323
2025-03-27,226211609.706127,0.28063241106719367
2025-03-28,44617996.66436415,0.07509881422924901
2025-03-31,118853487.71249121,0.16205533596837945
2025-04-01,153269708.46327424,0.2015810276679842
2025-04-02,173810648.40934235,0.22924901185770752
2025-04-03,-106584683.6041695,0.003952569169960474
2025-04-04,-61693418.55175084,0.011811023622047244
